年度,區別,縣市,行政區,單位/醫事機構代碼,醫療院所名稱,地址,連絡電話
2022,北區,苗栗縣,竹南鎮,3535041781,悅健耳鼻喉科診所,苗栗縣竹南鎮民權街53-3號,037-470988
2022,高屏區,屏東縣,內埔鄉,3543131650,龍泉晨安診所,屏東縣內埔鄉昭勝路209號,08-7707111
2022,中區,台中市,北屯區,3503290947,誠光耳鼻喉科診所,台中市北屯區北屯路222號,04-22335220
2022,台北區,新北市,板橋區,3531019943,板橋四維親子診所,新北市板橋區四維路150號,02-82598889
2022,中區,台中市,太平區,3503190415,祥威新光耳鼻喉科兒科診所,台中市太平區育賢路350號1樓,04 -23938119
2022,台北區,新北市,新店區,3531054399,嘉齊診所,新北市新店區北新路一段56號1樓,(02)89193094
2022,高屏區,屏東縣,屏東市,0643010011,屏東榮民總醫院,屏東縣屏東市榮總東路1號,08-7557885
2022,北區,桃園市,桃園區,3532018431,向陽診所,桃園市桃園區力行路707號,03-3600177
2022,北區,桃園市,楊梅區,3532042268,宏彥親子診所,桃園市楊梅區大成路50號,03-4880396
2022,高屏區,高雄市,鳳山區,3507011200,橙田診所,高雄市鳳山區文龍東路48號,07-7330038
2022,北區,新竹市,東　區,1112010537,新竹市立馬偕兒童醫院,新竹市東　區建功二路28號,03-5719999
2022,台北區,基隆市,仁愛區,3511041047,懷仁診所,基隆市仁愛區仁五路10號,02 -24223597
2022,中區,台中市,豐原區,3536012579,林大丕小兒科診所,台中市豐原區三民路130號1樓,04 -25282345
2022,台北區,新北市,板橋區,353101A039,立竹診所,新北市板橋區實踐路121號,02-2963-8111
2022,高屏區,高雄市,鼓山區,3507290890,禾家安診所,高雄市鼓山區文信路252號,07-5526355
2022,高屏區,高雄市,楠梓區,3507310566,小學堂兒科診所,高雄市楠梓區大學南路232號1-3樓,07-3655601、07-3655602
2022,南區,雲林縣,西螺鎮,3539040119,奕雄診所,雲林縣西螺鎮延平路404號,05-5862988
2022,高屏區,高雄市,楠梓區,3507310226,翁仲仁婦產科診所,高雄市楠梓區德民路1010-5號,07-3626158
2022,中區,台中市,東　區,3503230209,博佳耳鼻喉科診所,台中市東　區樂業路220號1樓,04-2326968
2022,高屏區,高雄市,鼓山區,3507290881,心程診所,高雄市鼓山區美術南三路55號1樓,07-5226802
2022,北區,桃園市,中壢區,3532027869,群青診所,桃園市中壢區青商路141號,032873353
2022,北區,桃園市,大園區,3532060604,懷德耳鼻喉科診所,桃園市大園區13鄰中正東路19-1號,03-3868878
2022,台北區,新北市,三重區,3531026733,愷馨耳鼻喉科診所,新北市三重區仁愛街729號,02-28571201
2022,中區,台中市,南屯區,3503281797,辰光診所,台中市南屯區黎明路一段154號1、2樓,04 -24796767
2022,南區,台南市,安南區,3521062307,陳建杉耳鼻喉科診所,台南市安南區海佃路三段360號,06-2450731
2022,中區,台中市,龍井區,3503170100,崇安診所,台中市龍井區遊園南路199號1、2樓,04 -26525927
2022,台北區,新北市,土城區,3531133706,奕馨親子診所,新北市土城區中央路2段61巷32號,02-22700856
2022,台北區,新北市,汐止區,3531113455,汐止有間診所,新北市汐止區福德一路220號,0979272297
2022,台北區,新北市,三峽區,3531092273,蘋果樹北大診所,新北市三峽區大德路127號,02 8672 0222
2022,台北區,台北市,松山區,3501011199,民生翁耳鼻喉科診所,台北市松山區民生東路5段78號,02 -27625922
2022,高屏區,高雄市,大寮區,3507060105,其靈診所,高雄市大寮區鳳林三路541號1～2樓,07-7823335
2022,北區,新竹縣,湖口鄉,3533061801,豐安診所,新竹縣湖口鄉新興路398號,03-5593266
2022,北區,桃園市,中壢區,352027921,松義診所,桃園市中壢區松義路85號,03-4900192
2022,南區,雲林縣,斗六市,3539013050,淳安耳鼻喉科診所,雲林縣斗六市中正路83號1樓,05-5373488轉230
