收件年,陽性數,型別一,比例一%,型別二,比例二%,型別三,比例三%,型別四,比例四%,型別五,比例五%
2001,1631,Cox A16,32%,EV71,31%,ECHO30,6%,Cox A6,5%,ECHO6,2%
2002,1395,ECHO6,19%,Cox A16,16%,EV71,15%,Cox A4,12%,Cox B5,11%
2003,1690,Cox A16,39%,Cox A2,11%,Cox A6,11%,ECHO11,10%,Cox A5,9%
2004,1640,Cox A4,35%,Cox B4,13%,Cox A6,4%,EV71,4%,Cox A5,3%
2005,1924,Cox B3,37%,Cox A16,24%,EV71,18%,Cox A6,6%,Cox A5,4%
2006,1303,Cox A2,19%,Cox A5,15%,Cox A4,15%,ECHO18,15%,Cox B2,10%
2007,1739,Cox A6,25%,Cox A10,21%,Cox A16,19%,Cox A4,7%,ECHO6,5%
2008,2475,Cox A2,34%,EV71,27%,Cox B4,11%,Cox A16,4%,Cox B1,3%
2009,1431,Cox A6,29%,Cox A10,25%,Cox A4,12%,Cox B1,8%,Cox A5,5%
2010,1742,Cox A16,30%,Cox A4,20%,Cox A6,17%,Cox A5,12%,Cox B1,3%
2011,3315,Cox A10,45%,Cox A9,18%,Cox A4,9%,Cox B5,9%,EV71,9%
2012,2250,EV71,39%,Cox A2,19%,Cox B3,12%,Cox A4,7%,ECHO6,6%
2013,1463,Cox A6,31%,Cox A10,9%,Cox A4,8%,Cox B4,6%,Cox B2,5%
2014,1147,Cox A10,32%,Cox A2,19%,Cox A4,12%,Cox A5,10%,Cox A9,8%
2015,1036,Cox A16,32%,Cox A4,16%,Cox A6,15%,Cox A5,10%,ECHO6,3%
2016,1843,Cox A10,29%,Cox A5,18%,Cox A2,16%,Cox A4,7%,Cox A16,5%
2017,802,Cox A4,21%,Cox A6,21%,Cox A2,19%,Cox A9,5%,ECHO5,4%
2018,1293,Cox A10,27%,Cox A4,18%,Cox A16,17%,ECHO11,16%,Cox B5,9%
2019,1314,Cox A10,22%,EV71,17%,Cox A4,14%,Cox A2,13%,Cox A6,12%
