分型,次分型,病毒疫苗株,年份,月份,件數
INF-A,H3N2,A/Hong Kong/4801/2014,2016,1,5
INF-A,H3N2,A/Hong Kong/4801/2014,2016,4,1
INF-A,H3N2,A/Hong Kong/4801/2014,2016,5,1
INF-A,H3N2,A/Hong Kong/4801/2014,2016,6,3
INF-A,H3N2,A/Hong Kong/4801/2014,2016,7,3
INF-A,H3N2,A/Hong Kong/4801/2014,2016,8,6
INF-A,H3N2,A/Hong Kong/4801/2014,2016,9,10
INF-A,H3N2,A/Hong Kong/4801/2014,2016,10,35
INF-A,H3N2,A/Hong Kong/4801/2014,2016,11,33
INF-A,H3N2,A/Hong Kong/4801/2014,2016,12,31
INF-A,H3N2,A/Switzerland/9715293/2013,2016,1,1
INF-A,H1N1,A/Michigan/45/2015,2016,1,28
INF-A,H1N1,A/Michigan/45/2015,2016,2,37
INF-A,H1N1,A/Michigan/45/2015,2016,3,22
INF-A,H1N1,A/Michigan/45/2015,2016,4,10
INF-A,H1N1,A/Michigan/45/2015,2016,5,4
INF-A,H1N1,A/Michigan/45/2015,2016,6,2
INF-A,H1N1,A/Michigan/45/2015,2016,7,1
INF-A,H1N1,A/Michigan/45/2015,2016,8,1
INF-A,H1N1,A/Michigan/45/2015,2016,9,1
INF-A,H1N1,A/Michigan/45/2015,2016,11,2
INF-A,H1N1,A/Michigan/45/2015,2016,12,2
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,1,5
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,2,13
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,3,28
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,4,19
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,5,10
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,6,3
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,7,5
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,9,1
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,11,3
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2016,12,4
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,1,4
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,2,4
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,3,9
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,4,11
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,5,4
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,6,4
INF-B,Yam,B/PHUKET/3073/2013(B/Yam),2016,11,3
INF-B,Yam,B/Massachusetts/02/2012(B/Yam),2016,1,2
INF-A,H3N2,A/Hong Kong/4801/2014,2017,1,19
INF-B,Vic,B/Brisbane/60/2008(B/Vic),2017,1,2
