類群,型別,年份,月份,件數
CA group,CA16,2016,01,1
CA group,CA16,2016,04,4
CA group,CA16,2016,05,1
CA group,CA16,2016,08,2
CA group,CA16,2016,09,4
CA group,CA4,2016,01,1
CA group,CA4,2016,02,1
CA group,CA4,2016,04,2
CA group,CA4,2016,05,5
CA group,CA4,2016,06,4
CA group,CA4,2016,07,6
CA group,CA4,2016,08,2
CA group,CA4,2016,09,3
CA group,CA4,2016,10,1
CA group,CA4,2016,11,2
CA group,CA4,2016,12,3
CA group,CA4,2017,01,1
CA group,CA6,2016,01,4
CA group,CA6,2016,03,2
CA group,CA6,2016,06,1
CA group,CA6,2016,08,2
CA group,CA6,2016,09,3
CA group,CA6,2016,10,5
CA group,CA6,2016,11,5
CA group,CA6,2016,12,6
CA group,CA6,2017,01,3
CA group,CA9,2016,04,1
CA group,CA9,2016,06,1
CA group,CA8,2016,10,1
CA group,CA2,2016,02,1
CA group,CA2,2016,03,1
CA group,CA2,2016,04,1
CA group,CA2,2016,05,3
CA group,CA2,2016,06,1
CA group,CA2,2016,08,1
CA group,CA2,2016,09,2
CA group,CA2,2016,10,7
CA group,CA2,2016,11,9
CA group,CA2,2016,12,12
CA group,CA2,2017,01,8
CA group,CA2,2017,02,1
CA group,CA21,2016,05,1
CA group,CA21,2016,09,1
CA group,CA21,2016,10,3
CA group,CA21,2016,11,8
CA group,CA21,2016,12,5
CA group,CA21,2017,01,1
CA group,CA10,2016,01,8
CA group,CA10,2016,02,4
CA group,CA10,2016,03,13
CA group,CA10,2016,04,14
CA group,CA10,2016,05,18
CA group,CA10,2016,06,14
CA group,CA10,2016,07,12
CA group,CA10,2016,08,7
CA group,CA10,2016,09,5
CA group,CA10,2016,10,8
CA group,CA10,2016,11,2
CA group,CA10,2016,12,1
CA group,CA5,2016,01,1
CA group,CA5,2016,03,2
CA group,CA5,2016,04,5
CA group,CA5,2016,05,9
CA group,CA5,2016,06,15
CA group,CA5,2016,07,10
CA group,CA5,2016,08,14
CA group,CA5,2016,09,6
CA group,CA5,2016,10,1
CB group,CB5,2016,06,1
CB group,CB5,2016,07,1
CB group,CB5,2016,08,2
CB group,CB5,2016,09,1
CB group,CB4,2016,08,1
CB group,CB4,2016,09,3
CB group,CB3,2016,01,1
CB group,CB3,2016,04,2
CB group,CB3,2016,05,3
CB group,CB3,2016,06,3
CB group,CB3,2016,07,5
CB group,CB3,2016,09,2
CB group,CB3,2016,10,3
CB group,CB3,2016,11,1
ECHO group,ECHO18,2016,04,1
ECHO group,ECHO18,2016,05,5
ECHO group,ECHO18,2016,06,7
ECHO group,ECHO18,2016,07,6
ECHO group,ECHO18,2016,08,6
ECHO group,ECHO18,2016,09,5
ECHO group,ECHO18,2016,10,7
ECHO group,ECHO18,2016,11,4
ECHO group,ECHO18,2016,12,1
ECHO group,ECHO25,2016,04,1
ECHO group,ECHO3,2016,01,1
ECHO group,ECHO3,2016,04,1
ECHO group,ECHO3,2016,05,1
ECHO group,ECHO3,2016,06,1
ECHO group,ECHO3,2016,10,1
ECHO group,ECHO3,2016,11,1
ECHO group,ECHO3,2016,12,1
ECHO group,ECHO9,2016,02,1
ECHO group,ECHO6,2016,05,1
ECHO group,ECHO6,2016,07,1
ECHO group,ECHO6,2016,08,4
ECHO group,ECHO6,2016,09,2
ECHO group,ECHO5,2016,09,1
ECHO group,ECHO11,2016,02,1
ECHO group,ECHO16,2016,09,1
ECHO group,ECHO30,2016,11,1
EV group,EV68,2016,01,5
EV group,EV68,2016,03,1
EV group,EV68,2016,04,1
EV group,EV68,2016,06,1
EV group,EV68,2016,11,2
EV group,EV68,2016,12,2
EV group,EV71,2016,02,1
EV group,EV71,2016,03,4
EV group,EV71,2016,04,7
EV group,EV71,2016,05,24
EV group,EV71,2016,06,19
EV group,EV71,2016,07,19
EV group,EV71,2016,08,8
EV group,EV71,2016,09,3
EV group,EV71,2016,10,3
EV group,EV71,2016,11,2
