基因型別,類群,年月,件數
EVD68,EVD68 group,201601,5
EVD68,EVD68 group,201603,1
EVD68,EVD68 group,201604,1
EVD68,EVD68 group,201606,1
EVD68,EVD68 group,201611,2
EVD68,EVD68 group,201612,2
CB3,CB group,201604,1
CB3,CB group,201606,1
CB3,CB group,201607,1
CB3,CB group,201610,1
CA10,CA group,201601,1
CA10,CA group,201602,3
CA10,CA group,201603,1
CA10,CA group,201604,1
CA10,CA group,201605,1
CA10,CA group,201607,2
CA10,CA group,201609,1
CA2,CA group,201610,1
CA21,CA group,201609,1
CA21,CA group,201610,3
CA21,CA group,201611,8
CA21,CA group,201612,4
CA4,CA group,201601,1
CA5,CA group,201601,1
CA5,CA group,201602,2
CA5,CA group,201606,4
CA5,CA group,201608,2
CA8,CA group,201610,1
CA9,CA group,201604,1
ECHO16,ECHO group,201609,1
ECHO18,ECHO group,201604,1
ECHO18,ECHO group,201605,5
ECHO18,ECHO group,201606,7
ECHO18,ECHO group,201607,6
ECHO18,ECHO group,201608,6
ECHO18,ECHO group,201609,5
ECHO18,ECHO group,201610,7
ECHO18,ECHO group,201611,4
ECHO18,ECHO group,201612,1
ECHO25,ECHO group,201604,1
ECHO3,ECHO group,201601,1
ECHO3,ECHO group,201604,1
ECHO3,ECHO group,201605,1
ECHO3,ECHO group,201606,1
ECHO3,ECHO group,201610,1
ECHO3,ECHO group,201611,1
ECHO3,ECHO group,201612,1
ECHO5,ECHO group,201609,1
Other,Other group,201601,2
Other,Other group,201602,2
Other,Other group,201603,3
Other,Other group,201604,3
Other,Other group,201605,4
Other,Other group,201607,1
Other,Other group,201610,1
Other,Other group,201611,4
Other,Other group,201612,1
