菌株收集代碼（Strain ID）,菌株分離年代（Year）,菌種 （Species）,組別,Azithromycin,Ampicillin,Cefotaxime,Ceftazidime,Nalidixic acid,Ciprofloxacin,Gentamicin,Chloramphenicol,Trimethoprim／sulfamethoxazole,Tetracylcine
R17.0016,2017,S. sonnei,本國籍無境外旅遊史,S,R,R,R,R,I,S,S,R,R
R17.0033,2017,S. flexneri,本國籍無境外旅遊史,S,S,S,S,R,R,S,R,R,R
R17.0036,2017,S. sonnei,外籍人士或有境外旅遊史,S,R,R,R,R,R,S,S,R,R
R17.0039,2017,S. sonnei,本國籍無境外旅遊史,R,S,S,R,R,R,S,R,R,R
R17.0044,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.0046,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.0049,2017,S. sonnei,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,S
R17.0051,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.0052,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,R,R,R
R17.0073,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.0111,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.0112,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.0190,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.0229,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.0235,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.0261,2017,S. sonnei,外籍人士或有境外旅遊史,R,R,R,S,R,I,R,S,R,R
R17.0262,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.0263,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.0365,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.0443,2017,S. sonnei,本國籍無境外旅遊史,S,S,S,S,R,I,S,S,R,R
R17.0474,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.0651,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.0652,2017,S. flexneri,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,S
R17.0794,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.1401,2017,S. flexneri,本國籍無境外旅遊史,S,R,S,S,S,I,S,R,R,R
R17.1458,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.1523,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.1666,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.1997,2017,S. sonnei,本國籍無境外旅遊史,S,R,R,R,R,R,S,S,R,S
R17.2140,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.2141,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.2238,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.4004,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.4126,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,R,S,S,S,S,S,R,R
R17.4346,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.4348,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,S,R,R
R17.4581,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,R,R
R17.4761,2017,S. flexneri,本國籍無境外旅遊史,S,R,R,R,S,S,S,R,R,R
R17.5242,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,R,R,S,I,S,S,R,R
R17.5424,2017,S. flexneri,本國籍無境外旅遊史,R,R,S,S,S,S,S,R,R,R
R17.5598,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.5803,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.6156,2017,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R17.6159,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,S,S,S,S,R,R
R17.6163,2017,S. sonnei,外籍人士或有境外旅遊史,S,S,S,S,R,R,S,S,R,R
R17.6168,2017,S. flexneri,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
R18.0001,2017,S. sonnei,外籍人士或有境外旅遊史,S,R,S,S,S,S,S,R,R,R
