月份,縣市別,縣市代碼,抗蛇毒血清種類,2019-2023年購買數量總數
01,臺中市,10019,抗雨傘節及飯匙倩蛇毒血清,5
01,臺中市,10019,抗龜殼花及赤尾鮐蛇毒血清,38
01,臺北市,63000,抗百步蛇毒血清,1
01,臺北市,63000,抗雨傘節及飯匙倩蛇毒血清,15
01,臺北市,63000,抗龜殼花及赤尾鮐蛇毒血清,50
01,臺東縣,10014,抗龜殼花及赤尾鮐蛇毒血清,42
01,臺南市,10021,抗雨傘節及飯匙倩蛇毒血清,12
01,臺南市,10021,抗龜殼花及赤尾鮐蛇毒血清,58
01,宜蘭縣,10002,抗雨傘節及飯匙倩蛇毒血清,5
01,宜蘭縣,10002,抗龜殼花及赤尾鮐蛇毒血清,32
01,花蓮縣,10015,抗雨傘節及飯匙倩蛇毒血清,1
01,花蓮縣,10015,抗龜殼花及赤尾鮐蛇毒血清,146
01,花蓮縣,10015,抗鎖鏈蛇毒血清,16
01,南投縣,10008,抗百步蛇毒血清,1
01,南投縣,10008,抗雨傘節及飯匙倩蛇毒血清,7
01,南投縣,10008,抗龜殼花及赤尾鮐蛇毒血清,33
01,屏東縣,10013,抗百步蛇毒血清,1
01,屏東縣,10013,抗雨傘節及飯匙倩蛇毒血清,9
01,屏東縣,10013,抗龜殼花及赤尾鮐蛇毒血清,78
01,苗栗縣,10005,抗雨傘節及飯匙倩蛇毒血清,6
01,苗栗縣,10005,抗龜殼花及赤尾鮐蛇毒血清,29
01,桃園市,68000,抗百步蛇毒血清,2
01,桃園市,68000,抗雨傘節及飯匙倩蛇毒血清,13
01,桃園市,68000,抗龜殼花及赤尾鮐蛇毒血清,36
01,高雄市,64000,抗百步蛇毒血清,1
01,高雄市,64000,抗雨傘節及飯匙倩蛇毒血清,4
01,高雄市,64000,抗龜殼花及赤尾鮐蛇毒血清,77
01,高雄市,64000,抗鎖鏈蛇毒血清,5
01,基隆市,10017,抗雨傘節及飯匙倩蛇毒血清,1
01,基隆市,10017,抗龜殼花及赤尾鮐蛇毒血清,23
01,連江縣,09007,抗龜殼花及赤尾鮐蛇毒血清,1
01,雲林縣,10009,抗龜殼花及赤尾鮐蛇毒血清,5
01,新北市,65000,抗百步蛇毒血清,1
01,新北市,65000,抗雨傘節及飯匙倩蛇毒血清,5
01,新北市,65000,抗龜殼花及赤尾鮐蛇毒血清,48
01,新竹市,10018,抗龜殼花及赤尾鮐蛇毒血清,2
