病原體名稱,政府機關數,醫事機構數,學術機構數,研究機構數,其他機構數,合計數
Acanthamoeba spp.,1,0,0,0,0,1
Acidovorax spp.,0,3,1,0,0,4
Acinetobacter baumannii,5,138,64,25,32,264
Acinetobacter baumannii/calcoaceticus complex,0,16,2,2,3,23
Acinetobacter johnsonii,2,19,2,5,1,29
Acinetobacter lwoffii,1,55,4,4,2,66
Acinetobacter lwoffii/haemolyticus,1,20,1,2,0,24
Acremonium falciforme,0,0,0,2,0,2
Acremonium kiliense,0,2,0,0,0,2
Actinobacillus spp.,3,9,1,1,17,31
Actinomyces pyogenes,1,4,0,1,0,6
Adenovirus,4,39,58,12,42,155
Aerococcus urinae,0,8,0,2,1,11
Aerococcus viridans,1,28,1,6,1,37
Aeromonas caviae,2,32,0,5,1,40
Aeromonas hydrophila,6,75,20,10,6,117
Aeromonas salmonicida,0,4,1,4,4,13
Aeromonas sobria,2,39,0,4,0,45
Aeromonas veronii,1,29,0,6,1,37
Aggregatibacter actinomycetemcomitans,0,13,10,2,5,30
Aggregatibacter aphrophilus,0,20,0,2,1,23
Aggregatibacter segnis,0,2,0,0,0,2
Akabanevirus,1,0,0,0,0,1
Alcaligenes faecalis,0,35,4,6,1,46
Anaerococcus vaginalis,0,2,0,1,0,3
Arcanobacterium haemolyticum,1,7,0,2,2,12
Arizona hinshawii,0,2,0,0,0,2
Ascaris lumbricoides,0,1,0,0,0,1
Aspergillus flavus,3,18,15,5,4,45
Aspergillus fumigatus,2,24,2,5,6,39
Aspergillus hongkongensis,0,0,1,1,0,2
Babesia microti,0,1,0,0,0,1
Bacillus cereus,29,36,30,13,48,156
Bacteroides capillosus,0,13,0,0,0,13
Bacteroides eggerthii,0,8,2,0,0,10
Bacteroides fragilis,0,103,6,7,19,135
Bacteroides ovatus,0,66,4,2,0,72
Bacteroides thetaiotaomicron,0,58,4,6,1,69
Bacteroides ureolyticus,0,12,0,2,0,14
Bacteroides vulgatus,1,45,4,3,2,55
Bartonella bovis,0,0,1,0,0,1
Bartonella henselae,0,0,2,0,0,2
Bartonella quintana,0,0,1,0,0,1
Bartonella spp.,1,0,0,0,0,1
Bartonella vinsonii,0,0,1,0,0,1
Bergeyella zoohelcum,0,3,0,0,0,3
Blastomyces dermatitidis,0,1,0,0,0,1
Bocavirus,0,0,0,0,1,1
Bordetella  pertussis,6,3,3,4,10,26
Bordetella bronchiseptica,5,16,2,7,26,56
Bordetella holmesii,1,0,0,0,0,1
Bordetella parapertussis,2,3,0,0,0,5
Bordetella spp.,3,5,1,6,2,17
