項目,實施縣市,鄉鎮市區,接種時程,備註
山地鄉,新北市,烏來區,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,宜蘭縣,南澳鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,宜蘭縣,大同鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,桃園縣,復興鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,新竹縣,尖石鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,新竹縣,五峰鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,苗栗縣,泰安鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,台中市,和平區,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,南投縣,仁愛鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,南投縣,信義鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,嘉義縣,阿里山鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,高雄市,那瑪夏區,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,高雄市,茂林區,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,高雄市,桃源區,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,三地門鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,牡丹鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,來義鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,春日鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,泰武鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
山地鄉,屏東縣,獅子鄉,設籍於實施地區之幼兒，於出生滿12個月接種第1劑，間隔6-12個月接種第2劑。,兩劑A型肝炎疫苗可與其他疫苗（如麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗、肺炎鏈球菌疫苗、日本腦炎疫苗及五合一疫苗…等）同時接種（分開不同部位）或間隔任何時間接種。
