統計年度,醫院層級,統計對象,加護病房種類,病房數,感染人次數,住院人日數
2023,醫學中心,加護病房,內科ICU,51,2089,239887
2023,醫學中心,加護病房,外科ICU,63,1800,246110
2023,醫學中心,加護病房,心臟科ICU,15,546,77898
2023,醫學中心,加護病房,兒科ICU,45,407,182428
2023,醫學中心,加護病房,綜合科ICU,22,806,118386
2023,區域醫院,加護病房,內科ICU,50,1163,238444
2023,區域醫院,加護病房,外科ICU,45,908,176850
2023,區域醫院,加護病房,心臟科ICU,11,194,38724
2023,區域醫院,加護病房,兒科ICU,69,55,50582
2023,區域醫院,加護病房,綜合科ICU,99,1587,382504
2023,地區醫院,加護病房,<10床,70,261,69533
2023,地區醫院,加護病房,>=10床,65,797,197790
2023,醫學中心,加護病房,內科ICU,51,2089,239887
2023,醫學中心,加護病房,外科ICU,63,1800,246110
2023,醫學中心,加護病房,心臟科ICU,15,546,77898
2023,醫學中心,加護病房,兒科ICU,45,407,182428
2023,醫學中心,加護病房,綜合科ICU,22,806,118386
2023,區域醫院,加護病房,內科ICU,50,1163,238444
2023,區域醫院,加護病房,外科ICU,45,908,176850
2023,區域醫院,加護病房,心臟科ICU,11,194,38724
2023,區域醫院,加護病房,兒科ICU,69,55,50582
2023,區域醫院,加護病房,綜合科ICU,99,1587,382504
2023,地區醫院,加護病房,<10床,70,261,69533
2023,地區醫院,加護病房,>=10床,65,797,197790
2022,醫學中心,加護病房,內科ICU,48,"1,729","228,751"
2022,醫學中心,加護病房,外科ICU,63,1709,"244,914"
2022,醫學中心,加護病房,心臟科ICU,15,499,"68,639"
2022,醫學中心,加護病房,兒科ICU,45,382,"173,908"
2022,醫學中心,加護病房,綜合科ICU,24,896,"123,876"
2022,區域醫院,加護病房,內科ICU,49,"1,071","223,878"
2022,區域醫院,加護病房,外科ICU,44,808,"170,809"
2022,區域醫院,加護病房,心臟科ICU,11,129,"38,349"
2022,區域醫院,加護病房,兒科ICU,63,58,"48,488"
2022,區域醫院,加護病房,綜合科ICU,97,"1,508","371,783"
2022,地區醫院,加護病房,<10床,70,265,"66,576"
2022,地區醫院,加護病房,>=10床,62,737,"197,276"
2021,醫學中心,加護病房,內科ICU,47,"1,675","221,660"
2021,醫學中心,加護病房,外科ICU,63,"1,639","236,822"
2021,醫學中心,加護病房,心臟科ICU,14,433,"64,389"
2021,醫學中心,加護病房,兒科ICU,45,411,"180,627"
2021,醫學中心,加護病房,綜合科ICU,22,823,"120,651"
2021,區域醫院,加護病房,內科ICU,49,"1,095","228,795"
2021,區域醫院,加護病房,外科ICU,46,910,"175,188"
2021,區域醫院,加護病房,心臟科ICU,12,221,"36,253"
2021,區域醫院,加護病房,兒科ICU,64,104,"49,972"
2021,區域醫院,加護病房,綜合科ICU,96,"1,426","347,150"
2021,地區醫院,加護病房,<10床,72,281,"65,559"
2021,地區醫院,加護病房,>=10床,58,693,"186,123"
2020,醫學中心,加護病房,內科ICU,46,"1,436","225,074"
2020,醫學中心,加護病房,外科ICU,66,"1,487","243,957"
2020,醫學中心,加護病房,心臟科ICU,14,384,"63,347"
2020,醫學中心,加護病房,兒科ICU,42,347,"170,896"
2020,醫學中心,加護病房,綜合科ICU,22,712,"119,398"
2020,區域醫院,加護病房,內科ICU,48,"1,022","241,404"
2020,區域醫院,加護病房,外科ICU,46,890,"168,673"
2020,區域醫院,加護病房,心臟科ICU,12,179,"33,817"
2020,區域醫院,加護病房,兒科ICU,64,80,"51,634"
2020,區域醫院,加護病房,綜合科ICU,90,"1,393","334,326"
2020,地區醫院,加護病房,<10床,60,285,"57,313"
2020,地區醫院,加護病房,>=10床,52,584,"157,443"
2019,醫學中心,加護病房,內科ICU,47,"1,854","232,072"
2019,醫學中心,加護病房,外科ICU,64,"1,764","249,176"
2019,醫學中心,加護病房,心臟科ICU,15,371,"66,755"
2019,醫學中心,加護病房,兒科ICU,43,439,"173,192"
2019,醫學中心,加護病房,綜合科ICU,23,913,"126,404"
2019,區域醫院,加護病房,內科ICU,52,"1,121","253,873"
2019,區域醫院,加護病房,外科ICU,48,"1,040","169,974"
2019,區域醫院,加護病房,心臟科ICU,11,132,"27,955"
2019,區域醫院,加護病房,兒科ICU,67,58,"55,232"
2019,區域醫院,加護病房,綜合科ICU,90,"1,791","356,861"
2019,地區醫院,加護病房,>=10床,56,630,"183,835"
2019,地區醫院,加護病房,<10床,74,293,"77,436"
2018,醫學中心,加護病房,內科ICU,48,"1,605","227,836"
2018,醫學中心,加護病房,外科ICU,66,"1,750","246,402"
2018,醫學中心,加護病房,心臟科ICU,16,363,"61,606"
2018,醫學中心,加護病房,兒科ICU,43,431,"169,394"
