縣市名稱,縣市代碼,卡介苗單一劑（完成率）,五合一疫苗第三劑（完成率）,五合一疫苗第四劑（完成率）,B型肝炎疫苗第二劑（完成率）,B型肝炎疫苗第三劑（完成率）,結合型肺炎鏈球菌疫苗第二劑（完成率）,結合型肺炎鏈球菌疫苗第三劑（完成率）,水痘疫苗單一劑（完成率）,麻疹腮腺炎德國麻疹混合疫苗第一劑（完成率）,A型肝炎疫苗第一劑（完成率）,A型肝炎疫苗第二劑（完成率）,活性減毒日本腦炎疫苗第一劑（完成率）,活性減毒日本腦炎疫苗第二劑（完成率）,白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗單一劑（完成率）,麻疹腮腺炎德國麻疹混合疫苗第二劑（完成率）
新北市,65000,97.67,98.12,96.31,98.82,98.24,98.02,97.19,98.63,98.93,97.91,93.82,97.20,93.19,96.79,97.15
臺北市,63000,95.25,97.43,94.26,98.54,97.39,97.39,95.96,97.69,98.08,96.38,91.28,94.64,92.07,96.00,96.61
桃園市,68000,98.20,98.15,96.67,99.26,98.28,98.38,97.30,98.63,98.82,98.16,94.19,97.70,94.54,96.56,96.60
臺中市,66000,98.18,98.19,95.80,99.17,98.39,98.29,96.99,98.53,98.68,98.04,92.45,97.25,93.64,97.56,97.64
臺南市,67000,98.05,98.26,96.48,98.99,98.40,98.55,96.64,98.63,98.81,98.17,94.50,97.46,94.20,97.31,97.58
高雄市,64000,97.83,98.08,96.21,99.04,98.19,98.31,96.75,98.50,98.84,98.16,93.01,97.31,93.69,97.29,97.43
宜蘭縣,10002,97.42,97.59,95.52,98.24,97.63,97.87,96.52,98.19,98.29,97.59,92.51,96.86,93.00,94.10,94.23
新竹縣,10004,97.52,97.74,95.17,98.68,97.86,98.04,96.72,98.55,98.67,98.03,91.84,97.22,91.49,97.12,97.32
苗栗縣,10005,98.60,97.69,95.42,99.04,98.12,98.00,96.80,98.65,98.81,98.25,91.89,97.27,91.67,95.99,96.29
彰化縣,10007,98.99,98.85,97.39,99.44,98.94,98.91,97.98,99.16,99.33,98.82,94.72,98.28,95.17,98.00,98.21
南投縣,10008,98.49,97.94,95.76,98.99,98.32,97.99,96.67,98.73,98.77,98.55,92.72,97.90,95.14,98.62,98.65
雲林縣,10009,98.37,98.72,96.83,99.45,98.89,98.22,97.08,98.98,99.03,98.41,94.27,97.65,95.14,97.62,97.77
嘉義縣,10010,98.47,98.29,95.77,99.05,98.42,98.60,96.50,98.78,99.02,97.92,92.75,97.31,92.22,97.90,98.07
屏東縣,10013,98.33,98.15,95.92,99.00,98.51,98.28,96.33,98.54,98.84,98.14,91.31,97.54,92.65,97.40,97.48
臺東縣,10014,98.47,97.94,95.72,98.93,98.09,98.32,96.30,98.77,98.91,98.18,93.32,97.31,94.97,97.20,97.39
花蓮縣,10015,98.73,97.82,95.13,99.34,98.33,98.23,96.19,98.50,98.84,98.17,90.88,97.68,90.87,97.09,97.17
澎湖縣,10016,99.08,98.95,97.36,99.21,99.21,98.95,97.24,99.28,99.16,98.80,94.24,98.20,94.57,98.06,98.21
基隆市,10017,97.55,97.99,96.16,99.37,98.24,98.18,94.75,98.59,98.65,97.84,92.48,96.59,93.41,98.11,98.19
新竹市,10018,97.01,97.16,94.59,98.23,97.30,97.10,94.69,97.55,97.67,97.01,90.36,96.43,90.91,95.31,95.55
嘉義市,10020,97.45,96.65,94.95,98.62,96.87,97.38,95.91,97.89,98.07,97.53,91.03,96.75,91.39,96.28,96.54
金門縣,09020,98.58,98.15,96.39,98.72,98.30,98.01,96.88,98.08,98.56,97.84,93.63,97.00,93.15,94.79,93.90
連江縣,09007,99.02,98.04,97.14,100.00,99.02,98.04,98.10,100.00,100.00,100.00,91.43,98.10,96.88,98.95,98.95
