縣市別,卡介苗單一劑,五合一疫苗第三劑,五合一疫苗第四劑,B型肝炎疫苗第二劑,B型肝炎疫苗第三劑,結合型肺炎鏈球菌疫苗第二劑,結合型肺炎鏈球菌疫苗第三劑,水痘疫苗單一劑,麻疹腮腺炎德國麻疹混合疫苗第一劑,A型肝炎疫苗第一劑,A型肝炎疫苗第二劑,活性減毒日本腦炎疫苗第一劑,活性減毒日本腦炎疫苗第二劑,白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗單一劑,麻疹腮腺炎德國麻疹混合疫苗第二劑
總計,98.09,98.04,95.65,98.95,98.26,98.45,96.91,98.47,98.57,97.97,92.87,97.08,93.03,95.97,96.16
新北市,97.94,98.02,95.81,98.59,98.19,98.32,97.1,98.67,98.8,97.99,92.65,97.15,92.64,96.09,96.37
臺北市,96.21,97.26,95.04,98.49,97.31,97.83,96.53,97.81,98.07,97.14,92.34,96.05,91.93,96.28,96.63
桃園市,98.75,98.57,96.79,99.47,98.73,98.84,97.39,98.72,98.88,98.42,94.42,97.8,94.87,96.43,96.59
臺中市,98.3,98.09,95.87,99.04,98.4,98.65,97.35,98.65,98.79,98.2,93.38,97.38,93.28,96.89,96.96
臺南市,98.14,98.02,95.98,98.86,98.25,98.34,96.35,98.47,97.94,97.92,93.72,97.11,93.26,95.05,95.25
高雄市,98.06,97.89,95.23,99.07,98.21,98.43,96.87,98.22,98.53,97.81,91.98,96.73,93.33,96.64,96.9
宜蘭縣,98.74,98.67,95.71,99.35,98.77,98.87,96.73,98.33,98.03,97.65,93.29,97.04,94.24,94.25,94.41
新竹縣,98.63,98.51,95.8,99.31,98.73,98.75,96.95,98.6,98.69,98.26,93.03,97.21,93.15,97.31,97.47
苗栗縣,98.24,98.41,93.94,99.24,98.65,98.83,96.25,98.59,98.65,97.82,91.02,96.09,91.53,91.81,92.2
彰化縣,98.86,98.94,97.15,99.43,98.96,99.05,98.1,99.19,99.33,98.77,94.76,98.19,94.9,97.74,97.83
南投縣,98.81,98.09,95.64,99.57,98.34,98.59,96.68,98.62,98.65,98.13,92.05,97.48,94.91,98.33,98.47
雲林縣,98.59,98.44,96.86,99.36,98.67,98.46,97.5,98.99,98.99,98.67,94.16,97.99,92.85,94.34,94.38
嘉義縣,98.78,98.18,94.86,98.82,98.54,99.01,96.69,98.61,98.27,97.9,92.71,97.03,92.23,96.02,95.68
屏東縣,97.7,96.97,93.08,98.34,97.58,97.92,96.42,97.96,98.2,97.64,89.12,96.32,89.8,93.62,93.6
臺東縣,98.45,97.42,96.11,98.97,97.93,98.01,97.21,99.05,98.97,98.61,94.87,98.39,92.83,96.65,97
花蓮縣,98.84,97.21,93.92,99.42,97.83,98.22,94.98,98.07,97.92,97.1,89.09,96.04,91.42,95.8,94.91
澎湖縣,99.09,98.97,95.4,98.74,98.86,98.97,97.93,98.73,98.5,98.73,92.41,97.35,93.47,97.14,97.14
基隆市,97.97,97.64,94.7,99.12,98.19,97.36,93.85,97.78,98.03,96.92,91.77,96.06,92.38,95.81,96.34
新竹市,97.44,96.94,93.04,97.64,97.15,97.41,95.15,97.61,97.66,97.04,90.43,95.8,89.09,89.57,90.09
嘉義市,98.15,98.02,94.76,99.04,98.4,98.6,96.1,98.29,98.48,97.8,90.67,96.52,90.92,95.3,95.41
金門縣,98.78,97.78,96.01,98.45,97.78,98.34,96.25,97.58,98.19,97.7,94.07,97.34,94.34,94.28,93.75
連江縣,100,100,96.91,99.15,100,100,98.97,100,100,100,92.78,100,95.73,100,100
