縣市名稱,縣市代碼,卡介苗（接種人次）,五合一疫苗（接種人次）,白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗（接種人次）,破傷風減量白喉混合疫苗（接種人次）,B型肝炎免疫球蛋白（接種人次）,B型肝炎疫苗（接種人次）,水痘疫苗（接種人次）,麻疹腮腺炎德國麻疹混合疫苗（接種人次）,日本腦炎疫苗（接種人次）,A型肝炎疫苗（接種人次）,結合型肺炎鏈球菌疫苗（接種人次）
新北市,65000,17267,69287,29525,0,350,49351,18866,48578,43500,41269,52366
臺北市,63000,15068,59025,16408,0,394,48864,14227,31148,29658,27286,46436
桃園市,68000,16544,62805,20115,0,324,48554,16459,37388,34704,33761,49498
臺中市,66000,19244,76252,23224,0,380,60218,19319,42789,40397,38850,58695
臺南市,67000,10666,41540,13062,0,207,32535,10875,24366,22901,20292,32861
高雄市,64000,14869,57513,21046,0,317,45117,15159,37118,33112,31268,45532
宜蘭縣,10002,2446,9957,3237,0,40,7172,2517,5822,5288,5130,7467
新竹縣,10004,4449,18314,5504,0,83,15038,4742,10575,9892,9417,13951
苗栗縣,10005,2476,9438,4160,0,20,5620,2585,6733,5960,5483,6981
彰化縣,10007,7106,28795,8825,0,165,21647,7305,16307,15416,15009,21755
南投縣,10008,2141,8652,3108,0,23,5469,2258,5404,5030,4798,6411
雲林縣,10009,2974,12457,4358,0,43,8133,3146,7589,6890,6214,9272
嘉義縣,10010,1660,6101,2354,0,31,4825,1527,3880,3393,3331,4628
屏東縣,10013,3899,15610,5310,0,51,10353,4156,9488,8858,8807,11762
臺東縣,10014,1206,4611,1375,0,15,3253,1176,2559,2450,2301,3497
花蓮縣,10015,1696,7025,2569,1,31,5067,1772,4428,4005,3724,5225
澎湖縣,10016,395,1620,444,0,7,1013,420,892,918,863,1200
基隆市,10017,1328,5500,2378,0,23,4043,1490,3887,3517,3303,4280
新竹市,10018,3963,15257,4543,0,83,11662,3849,8470,7881,7738,11622
嘉義市,10020,2747,11234,2836,0,57,9227,2711,5558,5379,5157,8662
金門縣,09020,418,1648,635,0,8,1008,408,1095,959,899,1238
連江縣,09007,50,188,67,0,0,64,48,113,108,118,133
