sent,source,effective,expires,senderName,headline,description,instruction,web,alert_title,severity_level,alert_disease,areaDesc,areaDesc_EN,circle,ISO3166,areaDetail,ISO3166_2
2020/1/7,CDC,2020/1/7,,疾病管制署,武漢市-嚴重特殊傳染性肺炎第一級:注意(Watch),,提醒遵守當地的一般預防措施,,國際間旅遊疫情建議,第一級:注意(Watch),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,武漢市,CN
2020/1/16,CDC,2020/1/16,,疾病管制署,武漢市-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,武漢市,CN
2020/1/21,CDC,2020/1/21,,疾病管制署,武漢市-嚴重特殊傳染性肺炎第三級:警告(Warning),,避免至當地所有非必要旅遊,,國際間旅遊疫情建議,第三級:警告(Warning),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,武漢市,CN
2020/1/25,CDC,2020/1/25,,疾病管制署,湖北省-嚴重特殊傳染性肺炎第三級:警告(Warning),,避免至當地所有非必要旅遊,,國際間旅遊疫情建議,第三級:警告(Warning),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,湖北省,CN-42
2020/1/25,CDC,2020/1/25,,疾病管制署,新疆維吾爾自治區-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974612",CN,新疆維吾爾自治區,CN-65
2020/1/25,CDC,2020/1/25,,疾病管制署,寧夏回族自治區-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,寧夏回族自治區,CN-64
2020/1/25,CDC,2020/1/25,,疾病管制署,青海省-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,青海省,CN-63
2020/1/25,CDC,2020/1/25,,疾病管制署,甘肅省-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,甘肅省,CN-62
2020/1/25,CDC,2020/1/25,,疾病管制署,陝西省-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,陝西省,CN-61
2020/1/25,CDC,2020/1/25,,疾病管制署,西藏自治區-嚴重特殊傳染性肺炎第二級:警示(Alert),,對當地採取加強防護,,國際間旅遊疫情建議,第二級:警示(Alert),嚴重特殊傳染性肺炎,中國大陸,China,"34.307144,103.974609",CN,西藏自治區,CN-54
