國名(中),國名(英),ISO3166-1（numeric）,主類別,次類別,疾病,警示日期,疫苗
阿富汗,Afghanistan,004,國際旅遊疫情建議等級,第二級:警示(Alert)警示,霍亂,2023-11-01,
阿富汗,Afghanistan,004,國際旅遊疫情建議等級,第二級:警示(Alert)警示,麻疹,2025-04-11,
阿富汗,Afghanistan,004,國際旅遊疫情建議等級,第二級:警示(Alert)警示,小兒麻痺症/急性無力肢體麻痺,2025-02-03,
阿富汗,Afghanistan,004,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,流行性腦脊髓膜炎疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,小兒麻痺疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,傷寒疫苗
阿富汗,Afghanistan,004,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
阿富汗,Afghanistan,004,當地其他相關疾病,蟲媒傳染,瘧疾,,
阿富汗,Afghanistan,004,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
阿富汗,Afghanistan,004,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
阿富汗,Afghanistan,004,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
阿富汗,Afghanistan,004,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
阿富汗,Afghanistan,004,當地其他相關疾病,食物或飲水傳染,霍亂,,
阿富汗,Afghanistan,004,當地其他相關疾病,食物或飲水傳染,傷寒,,
阿富汗,Afghanistan,004,注意飲食安全-建議,選擇安全的食物,,,
阿富汗,Afghanistan,004,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
阿富汗,Afghanistan,004,當地其他相關疾病,接觸傳染,狂犬病,,
阿富汗,Afghanistan,004,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
阿爾巴尼亞,Albania,008,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
阿爾巴尼亞,Albania,008,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
阿爾巴尼亞,Albania,008,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
阿爾巴尼亞,Albania,008,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
阿爾巴尼亞,Albania,008,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
阿爾巴尼亞,Albania,008,當地其他相關疾病,蟲媒傳染,蜱媒腦炎,,
阿爾巴尼亞,Albania,008,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
阿爾巴尼亞,Albania,008,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
阿爾巴尼亞,Albania,008,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
阿爾巴尼亞,Albania,008,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
阿爾巴尼亞,Albania,008,預防蚊蟲叮咬-建議,蜱媒腦炎是一種由蜱蟲傳播的疾病，蜱蟲多活動於森林、草原等有樹木、灌木或草地的地方，建議前往這些地點時加強防蟲措施,,,
阿爾巴尼亞,Albania,008,預防蚊蟲叮咬-建議,如遭蜱蟲叮咬，可以鑷子夾住蜱蟲前半部，垂直皮膚表面緩慢向上拔除，如無適當工具，建議就醫處理，以免口器斷裂於叮咬部位而造成感染,,,
阿爾巴尼亞,Albania,008,當地其他相關疾病,食物或飲水傳染,傷寒,,
阿爾巴尼亞,Albania,008,注意飲食安全-建議,選擇安全的食物,,,
阿爾巴尼亞,Albania,008,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
阿爾巴尼亞,Albania,008,當地其他相關疾病,接觸傳染,狂犬病,,
阿爾巴尼亞,Albania,008,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
阿爾及利亞,Algeria,012,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,小兒麻痺疫苗
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,傷寒疫苗
阿爾及利亞,Algeria,012,預防接種規定及建議,預防接種項目,,,瘧疾預防用藥
阿爾及利亞,Algeria,012,當地其他相關疾病,蟲媒傳染,瘧疾,,
阿爾及利亞,Algeria,012,當地其他相關疾病,蟲媒傳染,利什曼原蟲,,
阿爾及利亞,Algeria,012,預防蚊蟲叮咬-建議,戶外活動時，穿著淺色長袖衣褲、包鞋及長襪，儘量減少裸露部位,,,
阿爾及利亞,Algeria,012,預防蚊蟲叮咬-建議,正確使用防蚊蟲劑,,,
阿爾及利亞,Algeria,012,預防蚊蟲叮咬-建議,選擇有空調、紗窗的旅館，或懸掛蚊帳(確認無破洞)，必要時噴灑環境用殺蟲或防蚊劑,,,
阿爾及利亞,Algeria,012,當地其他相關疾病,食物或飲水傳染,傷寒,,
阿爾及利亞,Algeria,012,注意飲食安全-建議,選擇安全的食物,,,
阿爾及利亞,Algeria,012,注意飲食安全-建議,選擇衛生條件良好的用餐地點，如規模較大的飯店、沒有蟑螂蚊蠅的餐廳,,,
阿爾及利亞,Algeria,012,當地其他相關疾病,接觸傳染,狂犬病,,
阿爾及利亞,Algeria,012,避免接觸動物-建議,在當地應避免逗弄、餵食哺乳動物，並避免至可能有蝙蝠的洞窟，以免感染狂犬病,,,
阿爾及利亞,Algeria,012,感染血吸蟲風險-建議,避免接觸河流、湖泊、池塘等淡水水域,,,
阿爾及利亞,Algeria,012,感染血吸蟲風險-建議,使用河水、湖水洗澡或洗衣，建議添加氯錠消毒，或在乾淨容器至少儲放2天再使用,,,
阿爾及利亞,Algeria,012,感染血吸蟲風險-建議,如不慎碰觸淡水，請立即用酒精和乾毛巾大力擦拭皮膚，減低感染風險,,,
美屬薩摩亞,American Samoa,016,國際旅遊疫情建議等級,第一級:注意(Watch)警示,新冠併發重症,2023-11-01,
美屬薩摩亞,American Samoa,016,國際旅遊疫情建議等級,第一級:注意(Watch)警示,茲卡病毒感染症,2019-07-08,
美屬薩摩亞,American Samoa,016,預防接種規定及建議,預防接種項目,,,黃熱病疫苗
美屬薩摩亞,American Samoa,016,預防接種規定及建議,預防接種項目,,,A型肝炎疫苗
美屬薩摩亞,American Samoa,016,預防接種規定及建議,預防接種項目,,,麻疹、腮腺炎及德國麻疹混合(MMR)疫苗
美屬薩摩亞,American Samoa,016,預防接種規定及建議,預防接種項目,,,狂犬病疫苗
