確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
MPXV,2022,06,台南市,永康區,M,1,20~24,1,67000,67000310
MPXV,2022,07,台北市,大安區,M,1,25~29,1,63000,63000030
MPXV,2022,07,新北市,新莊區,M,1,30~34,1,65000,65000050
MPXV,2022,09,高雄市,鹽埕區,M,1,40~44,1,64000,64000010
MPXV,2023,02,新竹縣,橫山鄉,M,0,40~44,1,10004,10004080
MPXV,2023,02,新竹市,東區,M,0,30~34,1,10018,10018010
MPXV,2023,02,台北市,信義區,M,0,35~39,1,63000,63000020
MPXV,2023,02,台北市,萬華區,M,1,35~39,1,63000,63000070
MPXV,2023,02,高雄市,前金區,M,0,25~29,1,64000,64000070
MPXV,2023,03,宜蘭縣,壯圍鄉,M,0,40~44,1,10002,10002060
MPXV,2023,03,新竹縣,竹東鎮,M,0,45~49,1,10004,10004020
MPXV,2023,03,新竹縣,關西鎮,M,0,55~59,1,10004,10004040
MPXV,2023,03,苗栗縣,竹南鎮,M,0,35~39,1,10005,10005040
MPXV,2023,03,雲林縣,虎尾鎮,M,0,40~44,1,10009,10009030
MPXV,2023,03,台北市,內湖區,M,0,30~34,1,63000,63000100
MPXV,2023,03,台北市,北投區,M,0,55~59,1,63000,63000120
MPXV,2023,03,台北市,萬華區,M,0,20~24,1,63000,63000070
MPXV,2023,03,台北市,萬華區,M,0,25~29,1,63000,63000070
MPXV,2023,03,高雄市,鳥松區,M,0,30~34,1,64000,64000180
MPXV,2023,03,新北市,三重區,M,0,30~34,1,65000,65000020
MPXV,2023,03,新北市,五股區,M,0,50~54,1,65000,65000150
MPXV,2023,03,新北市,新店區,M,0,30~34,1,65000,65000060
MPXV,2023,03,新北市,新莊區,M,0,35~39,1,65000,65000050
MPXV,2023,03,新北市,板橋區,M,0,30~34,1,65000,65000010
MPXV,2023,03,新北市,蘆洲區,M,1,30~34,1,65000,65000140
MPXV,2023,03,新北市,蘆洲區,M,1,35~39,1,65000,65000140
MPXV,2023,04,新竹縣,竹東鎮,M,0,35~39,1,10004,10004020
MPXV,2023,04,彰化縣,大村鄉,M,0,30~34,1,10007,10007130
MPXV,2023,04,台北市,中正區,M,0,30~34,1,63000,63000050
MPXV,2023,04,台北市,中正區,M,0,40~44,1,63000,63000050
MPXV,2023,04,台北市,信義區,M,0,25~29,1,63000,63000020
MPXV,2023,04,台北市,信義區,M,0,30~34,1,63000,63000020
MPXV,2023,04,台北市,北投區,M,0,35~39,1,63000,63000120
MPXV,2023,04,台北市,士林區,M,1,25~29,1,63000,63000110
MPXV,2023,04,台北市,萬華區,M,0,25~29,1,63000,63000070
MPXV,2023,04,台北市,萬華區,M,0,30~34,1,63000,63000070
MPXV,2023,04,台北市,萬華區,M,0,35~39,1,63000,63000070
MPXV,2023,04,台北市,萬華區,M,0,40~44,1,63000,63000070
MPXV,2023,04,高雄市,路竹區,M,0,25~29,1,64000,64000240
MPXV,2023,04,高雄市,鳳山區,M,0,40~44,1,64000,64000120
MPXV,2023,04,新北市,三峽區,M,0,15~19,1,65000,65000090
MPXV,2023,04,新北市,三重區,M,0,20~24,2,65000,65000020
MPXV,2023,04,新北市,三重區,M,0,40~44,1,65000,65000020
MPXV,2023,04,新北市,中和區,M,0,40~44,1,65000,65000030
MPXV,2023,04,新北市,五股區,M,0,25~29,1,65000,65000150
MPXV,2023,04,新北市,五股區,M,0,45~49,1,65000,65000150
MPXV,2023,04,新北市,八里區,M,0,25~29,1,65000,65000230
MPXV,2023,04,新北市,土城區,M,0,25~29,1,65000,65000130
MPXV,2023,04,新北市,新店區,M,0,20~24,1,65000,65000060
MPXV,2023,04,新北市,新店區,M,0,30~34,1,65000,65000060
MPXV,2023,04,新北市,新莊區,M,0,30~34,1,65000,65000050
MPXV,2023,04,新北市,板橋區,M,0,25~29,1,65000,65000010
MPXV,2023,04,新北市,板橋區,M,1,35~39,1,65000,65000010
MPXV,2023,04,新北市,永和區,M,0,25~29,1,65000,65000040
MPXV,2023,04,新北市,永和區,M,0,30~34,1,65000,65000040
MPXV,2023,04,新北市,永和區,M,0,50~54,1,65000,65000040
MPXV,2023,04,新北市,蘆洲區,M,0,30~34,2,65000,65000140
MPXV,2023,04,台中市,中區,M,0,30~34,1,66000,66000010
MPXV,2023,04,台中市,南區,M,0,20~24,1,66000,66000030
MPXV,2023,04,台中市,太平區,M,0,25~29,1,66000,66000270
MPXV,2023,04,台中市,西屯區,M,0,30~34,1,66000,66000060
MPXV,2023,04,台南市,佳里區,M,1,35~39,1,67000,67000120
MPXV,2023,04,台南市,東區,M,0,25~29,1,67000,67000320
MPXV,2023,04,桃園市,中壢區,M,0,30~34,3,68000,68000020
MPXV,2023,04,桃園市,中壢區,M,0,40~44,2,68000,68000020
MPXV,2023,04,桃園市,中壢區,M,0,65~69,1,68000,68000020
MPXV,2023,04,桃園市,平鎮區,M,0,30~34,1,68000,68000100
MPXV,2023,04,桃園市,平鎮區,M,0,35~39,1,68000,68000100
MPXV,2023,04,桃園市,新屋區,M,0,25~29,1,68000,68000110
MPXV,2023,04,桃園市,桃園區,M,0,30~34,1,68000,68000010
MPXV,2023,04,桃園市,桃園區,M,0,35~39,1,68000,68000010
MPXV,2023,04,桃園市,蘆竹區,M,0,20~24,1,68000,68000050
MPXV,2023,04,桃園市,龜山區,M,0,30~34,2,68000,68000070
MPXV,2023,05,新竹縣,新豐鄉,M,0,35~39,1,10004,10004060
MPXV,2023,05,新竹縣,竹北市,M,0,25~29,1,10004,10004010
MPXV,2023,05,新竹縣,竹北市,M,0,30~34,1,10004,10004010
MPXV,2023,05,苗栗縣,三灣鄉,M,0,35~39,1,10005,10005160
MPXV,2023,05,彰化縣,彰化市,M,0,20~24,1,10007,10007010
MPXV,2023,05,南投縣,南投市,M,0,50~54,1,10008,10008010
MPXV,2023,05,南投縣,草屯鎮,M,0,35~39,1,10008,10008030
MPXV,2023,05,雲林縣,斗六市,M,0,25~29,2,10009,10009010
MPXV,2023,05,雲林縣,斗南鎮,M,0,20~24,1,10009,10009020
MPXV,2023,05,花蓮縣,花蓮市,M,0,25~29,1,10015,10015010
MPXV,2023,05,花蓮縣,花蓮市,M,0,40~44,1,10015,10015010
MPXV,2023,05,新竹市,東區,M,0,30~34,2,10018,10018010
MPXV,2023,05,新竹市,東區,M,0,35~39,1,10018,10018010
MPXV,2023,05,台北市,中山區,M,0,20~24,1,63000,63000040
MPXV,2023,05,台北市,中山區,M,0,25~29,1,63000,63000040
MPXV,2023,05,台北市,中山區,M,0,30~34,1,63000,63000040
MPXV,2023,05,台北市,中山區,M,0,35~39,1,63000,63000040
MPXV,2023,05,台北市,中山區,M,0,40~44,1,63000,63000040
MPXV,2023,05,台北市,北投區,M,0,35~39,1,63000,63000120
MPXV,2023,05,台北市,士林區,M,0,30~34,1,63000,63000110
MPXV,2023,05,台北市,士林區,M,0,40~44,1,63000,63000110
MPXV,2023,05,台北市,大同區,M,0,45~49,1,63000,63000060
MPXV,2023,05,台北市,松山區,M,0,25~29,1,63000,63000010
MPXV,2023,05,台北市,松山區,M,0,30~34,1,63000,63000010
MPXV,2023,05,台北市,萬華區,M,0,25~29,3,63000,63000070
MPXV,2023,05,高雄市,前鎮區,M,1,45~49,1,64000,64000090
MPXV,2023,05,高雄市,大寮區,M,0,35~39,2,64000,64000140
MPXV,2023,05,高雄市,左營區,M,0,40~44,1,64000,64000030
MPXV,2023,05,高雄市,鳳山區,M,0,40~44,1,64000,64000120
MPXV,2023,05,新北市,三重區,M,0,25~29,1,65000,65000020
MPXV,2023,05,新北市,三重區,M,0,35~39,1,65000,65000020
MPXV,2023,05,新北市,新店區,M,0,30~34,1,65000,65000060
MPXV,2023,05,新北市,新莊區,M,0,35~39,1,65000,65000050
MPXV,2023,05,新北市,板橋區,M,0,25~29,1,65000,65000010
MPXV,2023,05,新北市,板橋區,M,0,30~34,1,65000,65000010
MPXV,2023,05,新北市,板橋區,M,0,35~39,1,65000,65000010
MPXV,2023,05,新北市,永和區,M,0,30~34,1,65000,65000040
MPXV,2023,05,新北市,永和區,M,0,45~49,1,65000,65000040
MPXV,2023,05,新北市,汐止區,M,0,20~24,1,65000,65000110
MPXV,2023,05,新北市,汐止區,M,0,40~44,1,65000,65000110
MPXV,2023,05,新北市,汐止區,M,0,45~49,1,65000,65000110
MPXV,2023,05,新北市,泰山區,M,0,30~34,1,65000,65000160
MPXV,2023,05,新北市,淡水區,M,0,25~29,1,65000,65000100
MPXV,2023,05,新北市,淡水區,M,0,30~34,1,65000,65000100
MPXV,2023,05,新北市,淡水區,M,1,35~39,1,65000,65000100
MPXV,2023,05,新北市,淡水區,M,0,40~44,1,65000,65000100
MPXV,2023,05,新北市,蘆洲區,M,0,45~49,1,65000,65000140
MPXV,2023,05,台中市,北區,M,0,25~29,1,66000,66000050
MPXV,2023,05,台中市,北區,M,0,30~34,1,66000,66000050
MPXV,2023,05,台中市,北區,M,0,40~44,1,66000,66000050
MPXV,2023,05,台中市,大里區,M,0,35~39,1,66000,66000280
MPXV,2023,05,台中市,大雅區,M,0,25~29,1,66000,66000180
MPXV,2023,05,台中市,西屯區,M,0,30~34,1,66000,66000060
MPXV,2023,05,台中市,霧峰區,M,0,25~29,1,66000,66000260
MPXV,2023,05,台中市,霧峰區,M,0,35~39,1,66000,66000260
MPXV,2023,05,台南市,安平區,M,0,40~44,1,67000,67000360
MPXV,2023,05,桃園市,中壢區,M,0,30~34,2,68000,68000020
MPXV,2023,05,桃園市,中壢區,M,0,35~39,3,68000,68000020
MPXV,2023,05,桃園市,桃園區,M,0,20~24,1,68000,68000010
MPXV,2023,05,桃園市,桃園區,M,0,25~29,1,68000,68000010
MPXV,2023,05,桃園市,桃園區,M,0,40~44,2,68000,68000010
MPXV,2023,05,桃園市,楊梅區,M,0,30~34,1,68000,68000040
MPXV,2023,05,桃園市,觀音區,M,0,25~29,1,68000,68000120
MPXV,2023,05,桃園市,龜山區,M,0,30~34,1,68000,68000070
MPXV,2023,06,宜蘭縣,員山鄉,M,0,30~34,1,10002,10002070
MPXV,2023,06,苗栗縣,頭份市,M,1,30~34,1,10005,10005050
MPXV,2023,06,彰化縣,北斗鎮,M,0,35~39,1,10007,10007190
MPXV,2023,06,雲林縣,斗六市,M,0,30~34,1,10009,10009010
