確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0830,2004,19,彰化縣,埤頭鄉,M,0,35~39,1,10007,10007220
0830,2004,19,高雄市,鳳山區,M,0,45~49,1,64000,64000120
0830,2004,20,彰化縣,花壇鄉,M,0,30~34,1,10007,10007080
0830,2004,21,彰化縣,二林鎮,M,0,50~54,1,10007,10007200
0830,2004,21,彰化縣,溪湖鎮,M,1,40~44,1,10007,10007110
0830,2004,21,彰化縣,福興鄉,M,0,65~69,1,10007,10007060
0830,2004,21,屏東縣,內埔鄉,M,0,40~44,1,10013,10013130
0830,2004,21,高雄市,鳳山區,M,0,35~39,1,64000,64000120
0830,2004,22,彰化縣,福興鄉,M,0,70+,1,10007,10007060
0830,2004,22,花蓮縣,瑞穗鄉,M,0,60~64,1,10015,10015090
0830,2004,23,彰化縣,埤頭鄉,M,0,50~54,1,10007,10007220
0830,2004,23,高雄市,鼓山區,M,0,20~24,1,64000,64000020
0830,2004,24,彰化縣,溪湖鎮,M,0,40~44,1,10007,10007110
0830,2004,24,彰化縣,社頭鄉,M,0,40~44,1,10007,10007170
0830,2004,24,高雄市,鳳山區,M,0,50~54,1,64000,64000120
0830,2004,25,屏東縣,恆春鎮,M,0,65~69,1,10013,10013040
0830,2004,26,高雄市,三民區,M,0,30~34,1,64000,64000050
0830,2004,26,高雄市,楠梓區,M,0,20~24,1,64000,64000040
0830,2004,26,高雄市,燕巢區,F,0,55~59,1,64000,64000210
0830,2004,26,台中市,豐原區,M,1,60~64,1,66000,66000090
0830,2004,26,台南市,佳里區,M,0,30~34,1,67000,67000120
0830,2004,27,台南市,安南區,M,0,70+,1,67000,67000350
0830,2004,28,屏東縣,東港鎮,M,0,20~24,1,10013,10013030
0830,2004,28,屏東縣,竹田鄉,F,0,60~64,1,10013,10013140
0830,2004,28,台南市,關廟區,M,0,40~44,1,67000,67000290
0830,2004,30,彰化縣,和美鎮,M,0,30~34,1,10007,10007030
0830,2004,30,屏東縣,里港鄉,M,0,65~69,1,10013,10013090
0830,2004,30,高雄市,楠梓區,F,0,60~64,1,64000,64000040
0830,2004,31,彰化縣,鹿港鎮,M,0,40~44,1,10007,10007020
0830,2004,31,高雄市,旗山區,F,0,55~59,1,64000,64000300
