確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
侵襲性ｂ型嗜血桿菌感染症,2004,27,桃園市,桃園區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2004,32,新竹市,東區,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2004,35,新北市,新莊區,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2004,35,新北市,板橋區,F,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2004,41,嘉義縣,太保市,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2004,50,台中市,太平區,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2004,51,台中市,霧峰區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2004,51,桃園市,平鎮區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2004,52,台北市,中山區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2004,52,台南市,善化區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2004,53,屏東縣,長治鄉,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2005,2,高雄市,梓官區,M,否,60-64,1
侵襲性ｂ型嗜血桿菌感染症,2005,4,基隆市,仁愛區,M,否,60-64,1
侵襲性ｂ型嗜血桿菌感染症,2005,6,新北市,永和區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2005,6,桃園市,蘆竹區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2005,8,苗栗縣,通霄鎮,M,否,55-59,1
侵襲性ｂ型嗜血桿菌感染症,2005,13,彰化縣,彰化市,F,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2005,23,台東縣,台東市,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2005,37,花蓮縣,花蓮市,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2005,38,新竹縣,竹北市,F,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2005,40,宜蘭縣,南澳鄉,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2005,48,新北市,新莊區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2005,51,台南市,後壁區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2005,52,台東縣,海端鄉,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2006,9,台南市,楠西區,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2006,11,花蓮縣,秀林鄉,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2006,12,新北市,新莊區,M,否,15-19,1
侵襲性ｂ型嗜血桿菌感染症,2006,13,新北市,蘆洲區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2006,20,台北市,萬華區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2006,24,新北市,五股區,M,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2006,24,新北市,板橋區,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2006,26,新竹縣,竹東鎮,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2006,26,台東縣,卑南鄉,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2006,34,台南市,北區,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2006,34,苗栗縣,頭份市,F,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2006,36,新北市,瑞芳區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2006,37,台東縣,達仁鄉,F,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2006,43,台北市,中山區,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2006,51,嘉義縣,民雄鄉,M,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2006,52,彰化縣,彰化市,F,否,3,1
侵襲性ｂ型嗜血桿菌感染症,2007,2,台東縣,卑南鄉,M,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2007,5,苗栗縣,公館鄉,F,否,30-34,1
侵襲性ｂ型嗜血桿菌感染症,2007,9,新北市,瑞芳區,F,否,35-39,1
侵襲性ｂ型嗜血桿菌感染症,2007,10,高雄市,楠梓區,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2007,11,雲林縣,斗六市,M,否,3,1
侵襲性ｂ型嗜血桿菌感染症,2007,13,高雄市,內門區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2007,14,新北市,中和區,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2007,15,南投縣,竹山鎮,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2007,20,基隆市,安樂區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2007,30,台南市,南區,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2007,38,屏東縣,內埔鄉,F,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2007,40,基隆市,中山區,F,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2007,40,基隆市,信義區,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2007,48,桃園市,八德區,M,否,35-39,1
侵襲性ｂ型嗜血桿菌感染症,2008,2,新北市,土城區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2008,4,新北市,新店區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2008,5,台南市,安南區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2008,13,台東縣,台東市,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2008,19,基隆市,七堵區,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2008,24,桃園市,蘆竹區,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2008,35,新北市,新店區,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2008,42,台南市,永康區,F,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2008,44,雲林縣,莿桐鄉,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2008,49,台東縣,卑南鄉,M,否,2,1
侵襲性ｂ型嗜血桿菌感染症,2008,52,雲林縣,虎尾鎮,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2009,2,台中市,大肚區,F,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2009,2,台南市,南區,M,否,10-14,1
侵襲性ｂ型嗜血桿菌感染症,2009,3,新北市,林口區,F,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2009,3,彰化縣,和美鎮,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2009,8,台中市,大里區,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2009,9,花蓮縣,玉里鎮,M,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2009,10,基隆市,中山區,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2009,10,彰化縣,彰化市,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2009,13,彰化縣,溪湖鎮,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2009,19,新竹縣,竹東鎮,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2009,23,雲林縣,林內鄉,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2009,26,彰化縣,大村鄉,F,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2009,32,台中市,西屯區,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2009,33,彰化縣,員林市,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2009,52,台南縣(舊),新化鎮,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2009,53,屏東縣,潮州鎮,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2010,2,花蓮縣,豐濱鄉,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2010,13,苗栗縣,公館鄉,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2010,16,台東縣,海端鄉,M,否,1,1
侵襲性ｂ型嗜血桿菌感染症,2010,18,台東縣,成功鎮,F,否,40-44,1
侵襲性ｂ型嗜血桿菌感染症,2010,19,新竹市,東區,F,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2010,19,彰化縣,二林鎮,M,否,30-34,1
侵襲性ｂ型嗜血桿菌感染症,2010,24,新北市,新莊區,M,否,65-69,1
侵襲性ｂ型嗜血桿菌感染症,2010,30,苗栗縣,公館鄉,M,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2010,39,花蓮縣,吉安鄉,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2010,41,桃園市,楊梅區,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2011,1,台中市,豐原區,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2011,1,台南市,東區,M,否,60-64,1
侵襲性ｂ型嗜血桿菌感染症,2011,7,新竹縣,竹東鎮,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2011,9,新竹縣,竹北市,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2011,10,花蓮縣,玉里鎮,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2011,25,新竹縣,竹東鎮,F,否,4,1
侵襲性ｂ型嗜血桿菌感染症,2011,30,南投縣,埔里鎮,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2011,42,新北市,新莊區,F,否,45-49,1
侵襲性ｂ型嗜血桿菌感染症,2011,42,台東縣,卑南鄉,M,否,30-34,1
侵襲性ｂ型嗜血桿菌感染症,2011,48,台東縣,達仁鄉,F,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2011,51,屏東縣,屏東市,F,否,10-14,1
侵襲性ｂ型嗜血桿菌感染症,2012,1,屏東縣,高樹鄉,M,否,5-9,1
侵襲性ｂ型嗜血桿菌感染症,2012,2,屏東縣,瑪家鄉,M,否,0,1
侵襲性ｂ型嗜血桿菌感染症,2012,3,新北市,土城區,M,否,10-14,1
侵襲性ｂ型嗜血桿菌感染症,2012,48,台東縣,大武鄉,M,否,35-39,1
侵襲性ｂ型嗜血桿菌感染症,2013,6,台中市,太平區,M,否,70+,1
侵襲性ｂ型嗜血桿菌感染症,2013,14,台中市,大里區,F,否,65-69,1
