確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
3200,2003,01,苗栗縣,公館鄉,M,0,50~54,1,10005,10005090
3200,2003,01,彰化縣,線西鄉,M,0,2,1,10007,10007040
3200,2003,01,雲林縣,口湖鄉,F,0,25~29,1,10009,10009190
3200,2003,01,台北市,萬華區,M,0,70+,1,63000,63000070
3200,2003,01,台北市,萬華區,M,0,70+,1,63000,63000071
3200,2003,01,台北市,萬華區,M,0,70+,1,63000,63000072
3200,2003,01,高雄市,桃源區,F,0,0,1,64000,64000370
3200,2003,01,高雄市,苓雅區,F,0,4,1,64000,64000080
3200,2003,01,新北市,三重區,M,0,10~14,1,65000,65000020
3200,2003,02,台中市,烏日區,F,0,5~9,1,66000,66000230
3200,2003,03,宜蘭縣,五結鄉,M,0,70+,1,10002,10002090
3200,2003,03,宜蘭縣,壯圍鄉,M,0,1,1,10002,10002060
3200,2003,03,台南市,東區,M,0,65~69,1,67000,67000320
3200,2003,03,台南市,永康區,M,0,3,1,67000,67000310
3200,2003,03,桃園市,中壢區,M,0,3,1,68000,68000020
3200,2003,03,桃園市,中壢區,M,0,5~9,1,68000,68000020
3200,2003,04,新北市,五股區,M,0,0,1,65000,65000150
3200,2003,04,新北市,八里區,M,0,5~9,1,65000,65000230
3200,2003,06,花蓮縣,花蓮市,M,0,1,1,10015,10015010
3200,2003,08,花蓮縣,花蓮市,M,0,0,1,10015,10015010
3200,2003,08,新北市,八里區,F,0,0,1,65000,65000230
3200,2003,08,桃園市,新屋區,M,0,1,1,68000,68000110
3200,2003,12,花蓮縣,秀林鄉,M,0,70+,1,10015,10015110
3200,2003,12,台南市,新營區,M,0,4,1,67000,67000010
3200,2004,01,高雄市,前鎮區,M,0,0,1,64000,64000090
3200,2004,01,新北市,五股區,F,0,2,1,65000,65000150
3200,2004,02,高雄市,路竹區,M,0,2,1,64000,64000240
3200,2004,02,新北市,板橋區,M,0,25~29,1,65000,65000010
3200,2004,02,台南市,大內區,M,0,5~9,1,67000,67000110
3200,2004,02,台南市,永康區,M,0,5~9,1,67000,67000310
3200,2004,03,新北市,新莊區,M,0,4,1,65000,65000050
3200,2004,03,新北市,樹林區,M,0,4,1,65000,65000070
3200,2004,04,台東縣,延平鄉,F,0,0,1,10014,10014130
3200,2004,06,新竹市,東區,F,0,4,1,10018,10018010
3200,2004,06,桃園市,桃園區,M,0,5~9,1,68000,68000010
3200,2004,08,新北市,新莊區,M,0,4,1,65000,65000050
3200,2004,08,新北市,板橋區,F,0,40~44,1,65000,65000010
3200,2004,12,屏東縣,長治鄉,F,0,4,1,10013,10013060
3200,2004,12,台北市,中山區,F,0,70+,1,63000,63000040
3200,2004,12,高雄市,梓官區,M,0,60~64,1,64000,64000290
3200,2004,12,台中市,太平區,M,0,1,1,66000,66000270
3200,2004,12,台中市,霧峰區,M,0,5~9,1,66000,66000260
3200,2004,12,台南市,善化區,M,0,5~9,1,67000,67000190
3200,2004,12,桃園市,平鎮區,M,0,0,1,68000,68000100
3200,2005,01,苗栗縣,通霄鎮,M,0,55~59,1,10005,10005030
3200,2005,01,基隆市,仁愛區,M,0,60~64,1,10017,10017040
3200,2005,01,新北市,永和區,M,0,5~9,1,65000,65000040
3200,2005,01,桃園市,蘆竹區,M,0,0,1,68000,68000050
3200,2005,02,台東縣,台東市,F,0,0,1,10014,10014010
3200,2005,03,彰化縣,彰化市,F,0,45~49,1,10007,10007010
3200,2005,08,新竹縣,竹北市,F,0,1,1,10004,10004010
3200,2005,08,花蓮縣,花蓮市,F,0,4,1,10015,10015010
3200,2005,09,宜蘭縣,南澳鄉,M,0,4,1,10002,10002120
3200,2005,11,新北市,新莊區,M,0,0,1,65000,65000050
3200,2005,12,台東縣,海端鄉,M,0,1,1,10014,10014120
3200,2005,12,台南市,後壁區,M,0,0,1,67000,67000050
3200,2006,02,花蓮縣,秀林鄉,M,0,0,1,10015,10015110
3200,2006,02,台南市,楠西區,M,0,1,1,67000,67000240
3200,2006,03,新北市,新莊區,M,0,15~19,1,65000,65000050
3200,2006,03,新北市,蘆洲區,M,0,5~9,1,65000,65000140
3200,2006,05,台北市,萬華區,M,0,0,1,63000,63000070
3200,2006,05,台北市,萬華區,M,0,0,1,63000,63000071
3200,2006,05,台北市,萬華區,M,0,0,1,63000,63000072
3200,2006,05,新北市,板橋區,F,0,5~9,1,65000,65000010
3200,2006,06,新竹縣,竹東鎮,F,0,0,1,10004,10004020
3200,2006,06,台東縣,卑南鄉,M,0,0,1,10014,10014040
3200,2006,06,新北市,五股區,M,0,2,1,65000,65000150
3200,2006,08,苗栗縣,頭份市,F,0,2,1,10005,10005050
3200,2006,08,台東縣,達仁鄉,F,0,1,1,10014,10014150
3200,2006,08,新北市,瑞芳區,M,0,5~9,1,65000,65000120
3200,2006,08,台南市,北區,M,0,4,1,67000,67000340
3200,2006,10,台北市,中山區,M,0,4,1,63000,63000040
3200,2006,12,彰化縣,彰化市,F,0,3,1,10007,10007010
3200,2006,12,嘉義縣,民雄鄉,M,0,2,1,10010,10010050
3200,2007,01,苗栗縣,公館鄉,F,0,30~34,1,10005,10005090
3200,2007,01,台東縣,卑南鄉,M,0,40~44,1,10014,10014040
3200,2007,02,雲林縣,斗六市,M,0,3,1,10009,10009010
3200,2007,02,高雄市,楠梓區,M,0,1,1,64000,64000040
3200,2007,02,新北市,瑞芳區,F,0,35~39,1,65000,65000120
3200,2007,03,高雄市,內門區,F,0,70+,1,64000,64000350
3200,2007,03,新北市,中和區,F,0,5~9,1,65000,65000030
3200,2007,04,南投縣,竹山鎮,M,0,1,1,10008,10008040
3200,2007,05,基隆市,安樂區,M,0,5~9,1,10017,10017060
3200,2007,07,台南市,南區,M,0,1,1,67000,67000330
3200,2007,09,屏東縣,內埔鄉,F,0,2,1,10013,10013130
3200,2007,09,基隆市,中山區,F,0,1,1,10017,10017050
3200,2007,09,基隆市,信義區,M,0,4,1,10017,10017070
3200,2007,11,桃園市,八德區,M,0,35~39,1,68000,68000080
3200,2007,12,新北市,土城區,M,0,5~9,1,65000,65000130
3200,2007,12,新北市,新店區,M,0,0,1,65000,65000060
3200,2008,01,台南市,安南區,M,0,5~9,1,67000,67000350
3200,2008,03,台東縣,台東市,M,0,4,1,10014,10014010
3200,2008,04,基隆市,七堵區,F,0,0,1,10017,10017020
3200,2008,05,台東縣,卑南鄉,M,0,2,1,10014,10014040
3200,2008,05,桃園市,蘆竹區,M,0,1,1,68000,68000050
3200,2008,08,新北市,新店區,F,0,0,1,65000,65000060
3200,2008,09,台南市,永康區,F,0,2,1,67000,67000310
3200,2008,10,雲林縣,莿桐鄉,F,0,0,1,10009,10009090
3200,2008,12,雲林縣,虎尾鎮,M,0,1,1,10009,10009030
3200,2008,12,新北市,林口區,F,0,45~49,1,65000,65000170
3200,2008,12,台中市,大肚區,F,0,0,1,66000,66000240
3200,2008,12,台南市,南區,M,0,10~14,1,67000,67000330
3200,2009,01,彰化縣,和美鎮,F,0,5~9,1,10007,10007030
3200,2009,02,彰化縣,彰化市,F,0,5~9,1,10007,10007010
3200,2009,02,花蓮縣,玉里鎮,M,0,45~49,1,10015,10015030
3200,2009,02,基隆市,中山區,F,0,5~9,1,10017,10017050
3200,2009,02,台中市,大里區,M,0,0,1,66000,66000280
3200,2009,03,彰化縣,溪湖鎮,F,0,4,1,10007,10007110
3200,2009,04,新竹縣,竹東鎮,F,0,70+,1,10004,10004020
3200,2009,05,雲林縣,林內鄉,M,0,5~9,1,10009,10009100
3200,2009,06,彰化縣,大村鄉,F,0,1,1,10007,10007130
3200,2009,07,彰化縣,員林市,M,0,5~9,1,10007,10007100
3200,2009,07,台中市,西屯區,M,0,1,1,66000,66000060
3200,2009,12,台南縣(舊),新化鎮,M,0,4,1,10011,10011180
3200,2009,12,屏東縣,潮州鎮,M,0,1,1,10013,10013020
3200,2009,12,花蓮縣,豐濱鄉,M,0,1,1,10015,10015080
3200,2010,03,苗栗縣,公館鄉,M,0,5~9,1,10005,10005090
3200,2010,03,台東縣,海端鄉,M,0,1,1,10014,10014120
3200,2010,04,彰化縣,二林鎮,M,0,30~34,1,10007,10007200
3200,2010,04,台東縣,成功鎮,F,0,40~44,1,10014,10014020
3200,2010,04,新竹市,東區,F,0,5~9,1,10018,10018010
3200,2010,06,新北市,新莊區,M,0,65~69,1,65000,65000050
3200,2010,07,苗栗縣,公館鄉,M,0,4,1,10005,10005090
3200,2010,09,花蓮縣,吉安鄉,F,0,4,1,10015,10015050
3200,2010,09,桃園市,楊梅區,M,0,5~9,1,68000,68000040
3200,2010,12,新竹縣,竹東鎮,F,0,4,1,10004,10004020
3200,2010,12,台中市,豐原區,F,0,70+,1,66000,66000090
3200,2010,12,台南市,東區,M,0,60~64,1,67000,67000320
3200,2011,02,新竹縣,竹北市,M,0,0,1,10004,10004010
3200,2011,02,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
3200,2011,06,新竹縣,竹東鎮,F,0,4,1,10004,10004020
