確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
002,2004,19,嘉義市,西區,M,0,10~14,1,10020,10020020
002,2004,20,苗栗縣,竹南鎮,F,1,15~19,1,10005,10005040
002,2004,21,高雄市,鼓山區,M,1,30~34,1,64000,64000020
002,2004,21,台南市,六甲區,F,1,25~29,1,67000,67000090
002,2004,22,台北市,內湖區,F,1,25~29,1,63000,63000100
002,2004,22,新北市,板橋區,M,1,30~34,1,65000,65000010
002,2004,23,台中市,大甲區,F,0,25~29,1,66000,66000110
002,2004,25,雲林縣,西螺鎮,F,0,25~29,1,10009,10009040
002,2004,27,新北市,三重區,M,1,3,1,65000,65000020
002,2004,28,屏東縣,屏東市,M,0,5~9,1,10013,10013010
002,2004,30,屏東縣,長治鄉,M,0,25~29,1,10013,10013060
002,2004,30,屏東縣,麟洛鄉,F,0,45~49,1,10013,10013070
002,2004,31,屏東縣,長治鄉,F,0,30~34,1,10013,10013060
002,2004,33,台北市,士林區,M,1,4,1,63000,63000110
002,2004,33,台中市,清水區,F,0,40~44,1,66000,66000120
002,2004,35,屏東縣,萬丹鄉,F,0,15~19,1,10013,10013050
002,2004,36,高雄市,岡山區,M,0,70+,1,64000,64000190
002,2004,37,新北市,新店區,F,0,70+,1,65000,65000060
002,2004,38,桃園市,楊梅區,F,1,15~19,1,68000,68000040
002,2004,39,台北市,大安區,F,1,25~29,1,63000,63000030
002,2004,40,桃園市,大溪區,F,0,45~49,1,68000,68000030
002,2004,42,台北市,士林區,F,0,2,1,63000,63000110
002,2004,43,台北市,大安區,M,0,25~29,1,63000,63000030
002,2004,47,新北市,新店區,F,0,65~69,1,65000,65000060
002,2004,53,高雄市,前鎮區,F,0,35~39,1,64000,64000090
002,2005,4,彰化縣,彰化市,F,0,35~39,1,10007,10007010
002,2005,8,台北市,信義區,M,0,20~24,1,63000,63000020
002,2005,11,花蓮縣,秀林鄉,M,0,2,1,10015,10015110
002,2005,19,高雄市,前鎮區,M,0,35~39,1,64000,64000090
002,2005,21,新竹縣,竹東鎮,F,1,50~54,1,10004,10004020
002,2005,27,新北市,新莊區,F,0,25~29,1,65000,65000050
002,2005,27,桃園市,桃園區,F,0,20~24,1,68000,68000010
002,2005,27,桃園市,桃園區,F,0,5~9,1,68000,68000010
002,2005,27,桃園市,蘆竹區,F,0,10~14,1,68000,68000050
002,2005,27,桃園市,蘆竹區,F,0,3,1,68000,68000050
002,2005,28,新北市,三峽區,F,0,4,1,65000,65000090
002,2005,28,台南市,關廟區,F,0,70+,1,67000,67000290
002,2005,28,桃園市,中壢區,F,0,10~14,1,68000,68000020
002,2005,28,桃園市,復興區,F,0,5~9,1,68000,68000130
002,2005,28,桃園市,觀音區,M,0,10~14,1,68000,68000120
002,2005,29,桃園市,桃園區,F,0,5~9,1,68000,68000010
002,2005,30,桃園市,桃園區,F,0,25~29,1,68000,68000010
002,2005,30,桃園市,桃園區,F,0,35~39,1,68000,68000010
002,2005,31,桃園市,八德區,M,0,60~64,1,68000,68000080
002,2005,32,苗栗縣,通霄鎮,F,0,15~19,1,10005,10005030
002,2005,32,桃園市,八德區,F,0,4,1,68000,68000080
002,2005,32,桃園市,大園區,F,0,45~49,1,68000,68000060
002,2005,32,桃園市,桃園區,F,0,35~39,1,68000,68000010
002,2005,34,台北市,松山區,F,1,30~34,1,63000,63000010
002,2005,34,台中市,清水區,M,0,45~49,1,66000,66000120
002,2005,36,宜蘭縣,羅東鎮,F,1,35~39,1,10002,10002020
002,2005,37,桃園市,平鎮區,M,0,20~24,1,68000,68000100
002,2005,39,高雄市,大樹區,F,1,30~34,1,64000,64000150
002,2005,43,台北市,士林區,F,1,25~29,1,63000,63000110
002,2005,44,新北市,新店區,F,0,70+,1,65000,65000060
002,2005,48,雲林縣,斗六市,M,1,70+,1,10009,10009010
002,2005,49,南投縣,南投市,M,0,50~54,1,10008,10008010
002,2005,50,基隆市,中正區,M,0,70+,1,10017,10017010
002,2006,1,台北市,信義區,M,0,2,1,63000,63000020
002,2006,1,桃園市,中壢區,F,0,65~69,1,68000,68000020
002,2006,3,宜蘭縣,羅東鎮,F,1,40~44,1,10002,10002020
002,2006,6,台中市,北屯區,F,1,20~24,1,66000,66000080
002,2006,6,台中市,神岡區,M,1,25~29,1,66000,66000160
002,2006,8,台北市,中山區,F,1,25~29,1,63000,63000040
002,2006,9,台南市,中西區,M,1,35~39,1,67000,67000370
002,2006,11,台北市,大安區,F,1,30~34,1,63000,63000030
002,2006,11,新北市,三峽區,F,1,20~24,1,65000,65000090
002,2006,12,桃園市,桃園區,M,0,1,1,68000,68000010
002,2006,15,新竹縣,竹東鎮,M,0,65~69,1,10004,10004020
002,2006,15,南投縣,埔里鎮,F,0,40~44,1,10008,10008020
002,2006,17,苗栗縣,卓蘭鎮,M,0,35~39,1,10005,10005070
002,2006,17,新北市,中和區,F,1,30~34,1,65000,65000030
002,2006,18,彰化縣,埤頭鄉,M,0,10~14,1,10007,10007220
002,2006,19,台北市,信義區,M,0,25~29,1,63000,63000020
002,2006,21,桃園市,大園區,F,0,30~34,1,68000,68000060
002,2006,21,桃園市,蘆竹區,M,0,20~24,1,68000,68000050
002,2006,22,苗栗縣,苗栗市,M,1,35~39,1,10005,10005010
002,2006,22,桃園市,桃園區,M,0,20~24,1,68000,68000010
002,2006,22,桃園市,桃園區,M,0,25~29,1,68000,68000010
002,2006,24,屏東縣,琉球鄉,M,0,15~19,1,10013,10013220
002,2006,24,高雄市,左營區,F,0,55~59,1,64000,64000030
002,2006,24,桃園市,八德區,F,0,40~44,1,68000,68000080
002,2006,24,桃園市,蘆竹區,F,0,20~24,1,68000,68000050
002,2006,25,桃園市,八德區,M,0,25~29,1,68000,68000080
002,2006,31,台中市,豐原區,M,1,55~59,1,66000,66000090
002,2006,31,台中市,霧峰區,M,0,2,1,66000,66000260
002,2006,31,桃園市,桃園區,M,0,55~59,1,68000,68000010
002,2006,34,桃園市,八德區,M,0,45~49,1,68000,68000080
002,2006,35,新北市,永和區,F,1,35~39,1,65000,65000040
002,2006,36,台北市,萬華區,F,0,70+,1,63000,63000070
002,2006,36,台北市,萬華區,F,0,70+,1,63000,63000071
002,2006,36,台北市,萬華區,F,0,70+,1,63000,63000072
002,2006,36,桃園市,中壢區,F,0,45~49,1,68000,68000020
002,2006,37,新北市,土城區,F,1,15~19,1,65000,65000130
002,2006,38,新北市,中和區,F,1,15~19,1,65000,65000030
002,2006,38,桃園市,桃園區,F,0,5~9,1,68000,68000010
002,2006,38,桃園市,楊梅區,F,1,25~29,1,68000,68000040
002,2006,40,苗栗縣,竹南鎮,M,0,5~9,1,10005,10005040
002,2006,40,台北市,士林區,F,1,30~34,1,63000,63000110
