確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
002,2003,01,新竹縣,芎林鄉,F,1,30~34,1,10004,10004070
002,2003,01,新竹市,東區,F,0,15~19,1,10018,10018010
002,2003,01,新竹市,東區,F,0,70+,1,10018,10018010
002,2003,02,新竹市,北區,M,0,5~9,1,10018,10018020
002,2003,03,新竹市,東區,F,1,25~29,1,10018,10018010
002,2003,03,台北市,文山區,F,0,30~34,1,63000,63000080
002,2003,03,台北市,文山區,F,0,30~34,1,63000,63000081
002,2003,03,台北市,文山區,F,0,30~34,1,63000,63000082
002,2003,03,台中市,潭子區,F,0,10~14,1,66000,66000170
002,2003,04,雲林縣,西螺鎮,F,0,25~29,1,10009,10009040
002,2003,04,台北市,南港區,F,0,20~24,1,63000,63000090
002,2003,04,台北市,文山區,M,0,35~39,1,63000,63000080
002,2003,04,台北市,文山區,M,0,35~39,1,63000,63000081
002,2003,04,台北市,文山區,M,0,35~39,1,63000,63000082
002,2003,04,台北市,文山區,M,1,70+,1,63000,63000080
002,2003,04,台北市,文山區,M,1,70+,1,63000,63000081
002,2003,04,台北市,文山區,M,1,70+,1,63000,63000082
002,2003,04,新北市,三峽區,M,1,1,1,65000,65000090
002,2003,04,新北市,土城區,F,0,15~19,1,65000,65000130
002,2003,04,新北市,新店區,F,0,20~24,1,65000,65000060
002,2003,04,新北市,深坑區,F,0,15~19,1,65000,65000180
002,2003,04,桃園市,桃園區,M,0,60~64,1,68000,68000010
002,2003,04,桃園市,蘆竹區,F,0,30~34,1,68000,68000050
002,2003,05,宜蘭縣,南澳鄉,F,0,55~59,1,10002,10002120
002,2003,05,新北市,新店區,M,0,25~29,1,65000,65000060
002,2003,05,新北市,板橋區,M,0,35~39,1,65000,65000010
002,2003,06,台南縣(舊),永康市,F,1,35~39,1,10011,10011310
002,2003,08,花蓮縣,新城鄉,M,0,10~14,1,10015,10015040
002,2003,08,花蓮縣,新城鄉,M,0,3,1,10015,10015040
002,2003,08,花蓮縣,花蓮市,M,0,10~14,1,10015,10015010
002,2003,08,高雄市,橋頭區,F,0,50~54,1,64000,64000200
002,2003,09,基隆市,暖暖區,M,0,3,1,10017,10017030
002,2003,09,新竹市,北區,F,0,50~54,1,10018,10018020
002,2003,09,台北市,信義區,F,1,40~44,1,63000,63000020
002,2003,09,高雄市,美濃區,M,1,25~29,1,64000,64000310
002,2003,10,新竹市,北區,F,0,70+,1,10018,10018020
002,2003,10,台北市,內湖區,F,1,30~34,1,63000,63000100
002,2003,10,台中市,南區,M,1,45~49,1,66000,66000030
002,2003,11,高雄市,燕巢區,F,0,30~34,1,64000,64000210
002,2003,11,桃園市,平鎮區,F,0,70+,1,68000,68000100
002,2003,11,桃園市,楊梅區,M,1,1,1,68000,68000040
002,2003,12,屏東縣,麟洛鄉,M,1,30~34,1,10013,10013070
002,2003,12,台北市,中山區,F,1,30~34,1,63000,63000040
002,2003,12,台北市,士林區,F,1,25~29,1,63000,63000110
002,2003,12,新北市,新店區,F,1,30~34,1,65000,65000060
002,2003,12,桃園市,龍潭區,F,0,15~19,1,68000,68000090
002,2004,01,宜蘭縣,三星鄉,F,0,70+,1,10002,10002100
002,2004,01,新北市,新店區,M,1,55~59,1,65000,65000060
002,2004,01,台中市,北區,M,0,25~29,1,66000,66000050
002,2004,01,台中市,潭子區,M,0,10~14,1,66000,66000170
002,2004,02,苗栗縣,頭屋鄉,M,1,25~29,1,10005,10005120
002,2004,02,台北市,信義區,F,0,15~19,1,63000,63000020
002,2004,03,新北市,土城區,M,1,65~69,1,65000,65000130
002,2004,03,台中市,北屯區,F,0,70+,1,66000,66000080
002,2004,03,桃園市,大溪區,M,1,60~64,1,68000,68000030
002,2004,03,桃園市,桃園區,M,1,60~64,1,68000,68000010
002,2004,03,桃園市,蘆竹區,M,1,40~44,1,68000,68000050
002,2004,04,苗栗縣,竹南鎮,F,1,15~19,1,10005,10005040
002,2004,04,嘉義市,西區,M,0,10~14,1,10020,10020020
002,2004,04,桃園市,大溪區,F,1,2,1,68000,68000030
002,2004,04,桃園市,大溪區,F,0,25~29,1,68000,68000030
002,2004,05,台北市,內湖區,F,1,25~29,1,63000,63000100
002,2004,05,高雄市,鼓山區,M,1,30~34,1,64000,64000020
002,2004,05,新北市,板橋區,M,1,30~34,1,65000,65000010
002,2004,05,台中市,大甲區,F,0,25~29,1,66000,66000110
002,2004,05,台南市,六甲區,F,1,25~29,1,67000,67000090
002,2004,06,屏東縣,屏東市,M,0,5~9,1,10013,10013010
002,2004,06,新北市,三重區,M,1,3,1,65000,65000020
002,2004,07,屏東縣,長治鄉,M,0,25~29,1,10013,10013060
002,2004,07,屏東縣,長治鄉,F,0,30~34,1,10013,10013060
002,2004,07,屏東縣,麟洛鄉,F,0,45~49,1,10013,10013070
002,2004,07,台北市,士林區,M,1,4,1,63000,63000110
002,2004,07,台中市,清水區,F,0,40~44,1,66000,66000120
002,2004,08,屏東縣,萬丹鄉,F,0,15~19,1,10013,10013050
002,2004,08,高雄市,岡山區,M,0,70+,1,64000,64000190
002,2004,09,台北市,士林區,F,0,2,1,63000,63000110
