確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
002a,2004,24,桃園市,桃園區,F,1,35~39,1,68000,68000010
002a,2004,25,苗栗縣,苗栗市,F,1,40~44,1,10005,10005010
002a,2004,29,新竹市,東區,F,1,30~34,1,10018,10018010
002a,2004,29,台北市,松山區,F,1,55~59,1,63000,63000010
002a,2004,30,桃園市,八德區,M,1,50~54,1,68000,68000080
002a,2004,31,台南市,東區,M,0,45~49,1,67000,67000320
002a,2004,32,桃園市,中壢區,M,1,20~24,1,68000,68000020
002a,2004,35,新北市,板橋區,M,1,40~44,1,65000,65000010
002a,2004,35,新北市,永和區,M,1,10~14,1,65000,65000040
002a,2004,38,台北市,大安區,M,1,35~39,1,63000,63000030
002a,2004,38,台中市,西屯區,M,1,30~34,1,66000,66000060
002a,2004,39,台中市,大里區,F,1,50~54,1,66000,66000280
002a,2004,44,台北市,內湖區,F,1,30~34,1,63000,63000100
002a,2004,45,台北市,中正區,M,1,35~39,1,63000,63000050
002a,2004,45,新北市,土城區,M,1,20~24,1,65000,65000130
002a,2004,46,彰化縣,員林市,M,1,50~54,1,10007,10007100
002a,2004,50,新北市,板橋區,M,0,3,1,65000,65000010
002a,2005,3,嘉義市,東區,F,1,50~54,1,10020,10020010
002a,2005,17,嘉義市,西區,F,0,35~39,1,10020,10020020
002a,2005,19,新竹市,東區,F,0,1,1,10018,10018010
002a,2005,19,新北市,中和區,F,1,20~24,1,65000,65000030
002a,2005,20,新竹市,東區,F,0,40~44,1,10018,10018010
002a,2005,21,桃園市,龜山區,M,1,65~69,1,68000,68000070
002a,2005,22,新北市,汐止區,F,1,30~34,1,65000,65000110
002a,2005,23,台北市,信義區,M,1,55~59,1,63000,63000020
002a,2005,35,高雄市,鼓山區,F,1,55~59,1,64000,64000020
002a,2005,41,新北市,新店區,F,1,25~29,1,65000,65000060
002a,2005,43,台北市,大安區,F,0,40~44,1,63000,63000030
002a,2005,45,台北市,萬華區,M,1,25~29,1,63000,63000070
002a,2005,45,台北市,萬華區,M,1,25~29,1,63000,63000071
002a,2005,45,台北市,萬華區,M,1,25~29,1,63000,63000072
002a,2005,49,高雄市,前鎮區,F,1,25~29,1,64000,64000090
002a,2006,1,新北市,永和區,F,1,55~59,1,65000,65000040
002a,2006,7,台南市,北區,M,1,30~34,1,67000,67000340
002a,2006,21,新北市,三重區,M,1,15~19,1,65000,65000020
002a,2006,28,高雄市,鹽埕區,F,0,65~69,1,64000,64000010
002a,2006,33,台南市,東區,F,1,45~49,1,67000,67000320
002a,2006,34,桃園市,楊梅區,F,1,20~24,1,68000,68000040
002a,2006,36,台中市,大肚區,F,1,25~29,1,66000,66000240
002a,2006,41,桃園市,蘆竹區,M,1,45~49,1,68000,68000050
002a,2006,44,台北市,文山區,F,1,40~44,1,63000,63000080
002a,2006,44,台北市,文山區,F,1,40~44,1,63000,63000081
002a,2006,44,台北市,文山區,F,1,40~44,1,63000,63000082
002a,2006,50,澎湖縣,馬公市,F,0,60~64,1,10016,10016010
002a,2006,52,高雄市,小港區,M,0,55~59,1,64000,64000110
002a,2007,4,桃園市,桃園區,F,1,40~44,1,68000,68000010
002a,2007,12,台北市,大同區,M,0,50~54,1,63000,63000060
002a,2007,20,高雄市,楠梓區,F,0,45~49,1,64000,64000040
002a,2007,22,新竹市,東區,F,1,3,1,10018,10018010
002a,2007,37,桃園市,龍潭區,F,1,60~64,1,68000,68000090
002a,2007,41,台南市,佳里區,M,1,45~49,1,67000,67000120
002a,2008,8,屏東縣,屏東市,M,1,45~49,1,10013,10013010
