確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
002a,2003,03,高雄市,大寮區,M,0,25~29,1,64000,64000140
002a,2003,03,新北市,永和區,M,0,15~19,1,65000,65000040
002a,2003,04,台北市,文山區,F,0,35~39,1,63000,63000080
002a,2003,04,台北市,文山區,F,0,35~39,1,63000,63000081
002a,2003,04,台北市,文山區,F,0,35~39,1,63000,63000082
002a,2003,04,台中市,梧棲區,M,0,45~49,1,66000,66000140
002a,2003,04,台中市,霧峰區,F,1,20~24,1,66000,66000260
002a,2003,05,台南市,永康區,F,0,20~24,1,67000,67000310
002a,2003,08,彰化縣,彰化市,F,0,25~29,1,10007,10007010
002a,2003,08,高雄市,左營區,F,0,45~49,1,64000,64000030
002a,2003,08,新北市,土城區,F,0,40~44,1,65000,65000130
002a,2003,09,彰化縣,福興鄉,F,0,25~29,1,10007,10007060
002a,2003,09,新竹市,東區,M,1,35~39,1,10018,10018010
002a,2003,10,台北市,士林區,F,1,25~29,1,63000,63000110
002a,2003,11,彰化縣,和美鎮,F,0,10~14,1,10007,10007030
002a,2003,12,宜蘭縣,宜蘭市,F,0,60~64,1,10002,10002010
002a,2003,12,新北市,中和區,F,1,50~54,1,65000,65000030
002a,2003,12,新北市,板橋區,M,0,3,1,65000,65000010
002a,2004,04,台北市,北投區,F,1,10~14,1,63000,63000120
002a,2004,04,桃園市,桃園區,M,1,30~34,1,68000,68000010
002a,2004,05,桃園市,桃園區,F,1,35~39,1,68000,68000010
002a,2004,06,苗栗縣,苗栗市,F,1,40~44,1,10005,10005010
002a,2004,06,桃園市,中壢區,M,1,20~24,1,68000,68000020
002a,2004,06,桃園市,八德區,M,1,50~54,1,68000,68000080
002a,2004,07,新竹市,東區,F,1,30~34,1,10018,10018010
002a,2004,07,台北市,松山區,F,1,55~59,1,63000,63000010
002a,2004,07,新北市,永和區,M,1,10~14,1,65000,65000040
002a,2004,07,台南市,東區,M,0,45~49,1,67000,67000320
002a,2004,08,台北市,大安區,M,1,35~39,1,63000,63000030
