確定病名,個案研判日,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19CVS,2023-03-20,宜蘭縣,宜蘭市,F,0,70+,1,10002,10002010
19CVS,2023-03-20,新竹縣,湖口鄉,F,0,65~69,1,10004,10004050
19CVS,2023-03-20,新竹縣,湖口鄉,M,0,70+,1,10004,10004050
19CVS,2023-03-20,新竹縣,竹東鎮,M,0,70+,1,10004,10004020
19CVS,2023-03-20,苗栗縣,竹南鎮,M,0,50~54,1,10005,10005040
19CVS,2023-03-20,苗栗縣,通霄鎮,F,0,70+,1,10005,10005030
19CVS,2023-03-20,彰化縣,二水鄉,F,0,70+,1,10007,10007180
19CVS,2023-03-20,彰化縣,埤頭鄉,F,0,70+,1,10007,10007220
19CVS,2023-03-20,彰化縣,彰化市,F,0,70+,1,10007,10007010
19CVS,2023-03-20,彰化縣,花壇鄉,M,0,65~69,1,10007,10007080
19CVS,2023-03-20,南投縣,南投市,M,0,65~69,1,10008,10008010
19CVS,2023-03-20,南投縣,埔里鎮,F,0,70+,1,10008,10008020
19CVS,2023-03-20,南投縣,竹山鎮,F,0,60~64,1,10008,10008040
19CVS,2023-03-20,雲林縣,斗六市,M,0,70+,2,10009,10009010
19CVS,2023-03-20,嘉義縣,大林鎮,F,0,0,1,10010,10010040
19CVS,2023-03-20,嘉義縣,民雄鄉,M,0,65~69,1,10010,10010050
19CVS,2023-03-20,屏東縣,屏東市,M,0,0,1,10013,10013010
19CVS,2023-03-20,屏東縣,新園鄉,F,0,70+,1,10013,10013170
19CVS,2023-03-20,屏東縣,東港鎮,M,0,1,1,10013,10013030
19CVS,2023-03-20,屏東縣,竹田鄉,F,0,2,1,10013,10013140
19CVS,2023-03-20,台東縣,卑南鄉,F,0,70+,1,10014,10014040
19CVS,2023-03-20,台東縣,台東市,F,0,65~69,1,10014,10014010
19CVS,2023-03-20,基隆市,中山區,F,0,70+,1,10017,10017050
19CVS,2023-03-20,基隆市,信義區,M,0,40~44,1,10017,10017070
19CVS,2023-03-20,基隆市,安樂區,F,0,70+,1,10017,10017060
19CVS,2023-03-20,基隆市,暖暖區,M,0,65~69,1,10017,10017030
19CVS,2023-03-20,新竹市,東區,F,0,70+,1,10018,10018010
19CVS,2023-03-20,台北市,中山區,M,0,60~64,1,63000,63000040
19CVS,2023-03-20,台北市,中山區,F,0,70+,1,63000,63000040
19CVS,2023-03-20,台北市,信義區,F,0,65~69,1,63000,63000020
19CVS,2023-03-20,台北市,信義區,M,0,70+,1,63000,63000020
19CVS,2023-03-20,台北市,南港區,F,0,55~59,1,63000,63000090
19CVS,2023-03-20,台北市,士林區,M,0,60~64,1,63000,63000110
19CVS,2023-03-20,台北市,士林區,M,0,65~69,1,63000,63000110
19CVS,2023-03-20,台北市,士林區,F,0,70+,1,63000,63000110
19CVS,2023-03-20,台北市,士林區,M,0,70+,1,63000,63000110
19CVS,2023-03-20,台北市,大安區,F,0,65~69,1,63000,63000030
19CVS,2023-03-20,台北市,大安區,F,0,70+,2,63000,63000030
19CVS,2023-03-20,台北市,大安區,M,0,70+,2,63000,63000030
19CVS,2023-03-20,台北市,松山區,M,0,70+,1,63000,63000010
19CVS,2023-03-20,台北市,萬華區,F,0,70+,1,63000,63000070
19CVS,2023-03-20,台北市,萬華區,F,0,70+,1,63000,63000071
19CVS,2023-03-20,台北市,萬華區,F,0,70+,1,63000,63000072
19CVS,2023-03-20,高雄市,前鎮區,M,0,70+,1,64000,64000090
19CVS,2023-03-20,高雄市,左營區,F,0,70+,2,64000,64000030
19CVS,2023-03-20,高雄市,鳥松區,M,0,55~59,1,64000,64000180
19CVS,2023-03-20,高雄市,鳳山區,M,0,70+,1,64000,64000120
19CVS,2023-03-20,新北市,三峽區,M,0,45~49,1,65000,65000090
19CVS,2023-03-20,新北市,三峽區,M,0,60~64,1,65000,65000090
19CVS,2023-03-20,新北市,三峽區,F,0,70+,1,65000,65000090
19CVS,2023-03-20,新北市,三峽區,M,0,70+,2,65000,65000090
19CVS,2023-03-20,新北市,三重區,F,0,70+,1,65000,65000020
19CVS,2023-03-20,新北市,三重區,M,0,70+,1,65000,65000020
19CVS,2023-03-20,新北市,中和區,M,0,60~64,1,65000,65000030
19CVS,2023-03-20,新北市,中和區,F,0,65~69,1,65000,65000030
19CVS,2023-03-20,新北市,中和區,F,0,70+,1,65000,65000030
19CVS,2023-03-20,新北市,土城區,M,0,60~64,1,65000,65000130
19CVS,2023-03-20,新北市,新店區,M,0,70+,1,65000,65000060
19CVS,2023-03-20,新北市,新莊區,F,0,65~69,1,65000,65000050
19CVS,2023-03-20,新北市,板橋區,M,0,60~64,1,65000,65000010
19CVS,2023-03-20,新北市,林口區,F,0,60~64,1,65000,65000170
19CVS,2023-03-20,新北市,樹林區,F,0,65~69,1,65000,65000070
19CVS,2023-03-20,新北市,樹林區,M,0,70+,1,65000,65000070
19CVS,2023-03-20,新北市,永和區,M,0,70+,1,65000,65000040
19CVS,2023-03-20,新北市,汐止區,M,0,50~54,1,65000,65000110
19CVS,2023-03-20,新北市,汐止區,F,0,60~64,1,65000,65000110
19CVS,2023-03-20,新北市,汐止區,F,0,70+,2,65000,65000110
19CVS,2023-03-20,新北市,汐止區,M,0,70+,2,65000,65000110
19CVS,2023-03-20,新北市,泰山區,F,0,60~64,1,65000,65000160
19CVS,2023-03-20,新北市,瑞芳區,F,0,70+,1,65000,65000120
19CVS,2023-03-20,新北市,鶯歌區,M,0,70+,3,65000,65000080
19CVS,2023-03-20,台中市,北區,F,0,70+,1,66000,66000050
19CVS,2023-03-20,台中市,北屯區,F,0,70+,2,66000,66000080
19CVS,2023-03-20,台中市,北屯區,M,0,70+,1,66000,66000080
19CVS,2023-03-20,台中市,南區,M,0,70+,1,66000,66000030
19CVS,2023-03-20,台中市,南屯區,M,0,65~69,1,66000,66000070
19CVS,2023-03-20,台中市,大里區,F,0,70+,1,66000,66000280
19CVS,2023-03-20,台中市,太平區,F,0,70+,1,66000,66000270
19CVS,2023-03-20,台中市,潭子區,F,0,70+,1,66000,66000170
19CVS,2023-03-20,台中市,西屯區,F,0,70+,1,66000,66000060
19CVS,2023-03-20,台中市,豐原區,F,0,60~64,1,66000,66000090
19CVS,2023-03-20,台中市,豐原區,F,0,65~69,1,66000,66000090
19CVS,2023-03-20,台中市,豐原區,M,0,70+,1,66000,66000090
19CVS,2023-03-20,台中市,霧峰區,M,0,65~69,1,66000,66000260
19CVS,2023-03-20,台南市,歸仁區,F,0,60~64,1,67000,67000280
19CVS,2023-03-20,桃園市,中壢區,F,0,50~54,1,68000,68000020
19CVS,2023-03-20,桃園市,中壢區,M,0,60~64,1,68000,68000020
19CVS,2023-03-20,桃園市,八德區,M,0,70+,2,68000,68000080
19CVS,2023-03-20,桃園市,平鎮區,M,0,70+,1,68000,68000100
19CVS,2023-03-20,桃園市,新屋區,M,0,60~64,1,68000,68000110
19CVS,2023-03-20,桃園市,桃園區,M,0,55~59,1,68000,68000010
19CVS,2023-03-20,桃園市,桃園區,F,0,65~69,1,68000,68000010
19CVS,2023-03-20,桃園市,桃園區,M,0,70+,3,68000,68000010
19CVS,2023-03-20,桃園市,楊梅區,F,0,70+,1,68000,68000040
19CVS,2023-03-20,桃園市,蘆竹區,M,0,65~69,1,68000,68000050
19CVS,2023-03-20,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19CVS,2023-03-20,桃園市,觀音區,F,0,70+,1,68000,68000120
19CVS,2023-03-20,桃園市,龍潭區,M,0,70+,1,68000,68000090
19CVS,2023-03-20,桃園市,龜山區,M,0,35~39,1,68000,68000070
19CVS,2023-03-20,桃園市,龜山區,F,0,60~64,1,68000,68000070
19CVS,2023-03-20,桃園市,龜山區,M,0,70+,1,68000,68000070
19CVS,2023-03-21,宜蘭縣,宜蘭市,F,0,55~59,1,10002,10002010
19CVS,2023-03-21,宜蘭縣,羅東鎮,F,0,70+,1,10002,10002020
19CVS,2023-03-21,新竹縣,新埔鎮,F,0,70+,2,10004,10004030
19CVS,2023-03-21,新竹縣,湖口鄉,F,0,0,1,10004,10004050
19CVS,2023-03-21,新竹縣,竹北市,F,0,70+,1,10004,10004010
19CVS,2023-03-21,苗栗縣,卓蘭鎮,F,0,70+,1,10005,10005070
19CVS,2023-03-21,苗栗縣,銅鑼鄉,F,0,70+,1,10005,10005100
19CVS,2023-03-21,彰化縣,二林鎮,F,0,70+,1,10007,10007200
19CVS,2023-03-21,彰化縣,二林鎮,M,0,70+,1,10007,10007200
19CVS,2023-03-21,彰化縣,二水鄉,F,0,60~64,1,10007,10007180
19CVS,2023-03-21,彰化縣,彰化市,M,0,65~69,1,10007,10007010
19CVS,2023-03-21,彰化縣,彰化市,F,0,70+,3,10007,10007010
19CVS,2023-03-21,彰化縣,福興鄉,M,0,70+,1,10007,10007060
19CVS,2023-03-21,南投縣,埔里鎮,M,0,70+,1,10008,10008020
19CVS,2023-03-21,南投縣,草屯鎮,F,0,55~59,1,10008,10008030
19CVS,2023-03-21,雲林縣,口湖鄉,M,0,60~64,1,10009,10009190
19CVS,2023-03-21,雲林縣,四湖鄉,F,0,1,1,10009,10009180
19CVS,2023-03-21,雲林縣,四湖鄉,M,0,60~64,1,10009,10009180
19CVS,2023-03-21,雲林縣,斗六市,M,0,2,1,10009,10009010
19CVS,2023-03-21,雲林縣,斗六市,M,0,50~54,1,10009,10009010
