確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2023,12,台北市,中山區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,中山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台北市,中山區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,台北市,中正區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,25-29,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,信義區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,內湖區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台北市,北投區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,北投區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,南港區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台北市,南港區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,士林區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,F,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,大安區,M,否,70+,4
嚴重特殊傳染性肺炎,2023,12,台北市,文山區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,文山區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,松山區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台北市,松山區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,M,否,40-44,1
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台北市,萬華區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,北區,F,否,60-64,2
嚴重特殊傳染性肺炎,2023,12,台中市,北區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,北區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,北區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,M,否,60-64,2
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,F,否,70+,6
嚴重特殊傳染性肺炎,2023,12,台中市,北屯區,M,否,70+,5
嚴重特殊傳染性肺炎,2023,12,台中市,南區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南屯區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,南屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,南屯區,M,是,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,M,否,0,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,后里區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,外埔區,F,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,台中市,外埔區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台中市,大甲區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,大里區,M,否,65-69,2
嚴重特殊傳染性肺炎,2023,12,台中市,大里區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,大里區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,大雅區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,台中市,大雅區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,M,否,30-34,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,太平區,M,否,70+,3
嚴重特殊傳染性肺炎,2023,12,台中市,東區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,東勢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,梧棲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,沙鹿區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,12,台中市,沙鹿區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,清水區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,潭子區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,12,台中市,石岡區,M,否,70+,1
