確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19CoV,2020,01,彰化縣,和美鎮,F,1,50~54,1,10007,10007030
19CoV,2020,01,彰化縣,和美鎮,M,0,50~54,1,10007,10007030
19CoV,2020,01,彰化縣,彰化市,M,0,60~64,1,10007,10007010
19CoV,2020,01,南投縣,南投市,F,0,40~44,1,10008,10008010
19CoV,2020,01,南投縣,南投市,M,1,40~44,1,10008,10008010
19CoV,2020,01,台北市,中正區,F,1,50~54,1,63000,63000050
19CoV,2020,01,台北市,內湖區,M,1,20~24,1,63000,63000100
19CoV,2020,01,台北市,內湖區,F,1,50~54,1,63000,63000100
19CoV,2020,01,台北市,內湖區,M,1,50~54,1,63000,63000100
19CoV,2020,01,台北市,內湖區,F,1,55~59,1,63000,63000100
19CoV,2020,01,高雄市,左營區,M,1,55~59,1,64000,64000030
19CoV,2020,01,高雄市,鳳山區,F,1,55~59,1,64000,64000120
19CoV,2020,01,新北市,新店區,M,0,45~49,1,65000,65000060
19CoV,2020,01,新北市,新店區,M,0,50~54,1,65000,65000060
19CoV,2020,01,新北市,新莊區,F,0,20~24,1,65000,65000050
19CoV,2020,01,新北市,林口區,F,0,65~69,1,65000,65000170
19CoV,2020,01,台中市,太平區,M,0,30~34,1,66000,66000270
19CoV,2020,01,台中市,西屯區,F,1,70+,2,66000,66000060
19CoV,2020,02,宜蘭縣,三星鄉,F,1,25~29,1,10002,10002100
19CoV,2020,02,彰化縣,彰化市,M,0,55~59,1,10007,10007010
19CoV,2020,02,彰化縣,彰化市,F,0,70+,1,10007,10007010
19CoV,2020,02,屏東縣,佳冬鄉,F,1,35~39,1,10013,10013210
19CoV,2020,02,台北市,內湖區,M,1,20~24,1,63000,63000100
19CoV,2020,02,台北市,士林區,M,1,45~49,1,63000,63000110
19CoV,2020,02,台北市,大安區,F,1,70+,1,63000,63000030
19CoV,2020,02,台北市,松山區,F,1,65~69,1,63000,63000010
19CoV,2020,02,新北市,中和區,F,0,30~34,1,65000,65000030
19CoV,2020,02,新北市,中和區,M,0,50~54,1,65000,65000030
19CoV,2020,02,新北市,新店區,M,0,10~14,1,65000,65000060
19CoV,2020,02,新北市,新店區,F,0,70+,1,65000,65000060
19CoV,2020,02,新北市,新店區,M,0,70+,1,65000,65000060
19CoV,2020,02,新北市,林口區,F,0,40~44,1,65000,65000170
19CoV,2020,02,台中市,北屯區,M,0,50~54,1,66000,66000080
19CoV,2020,02,台中市,太平區,F,0,55~59,1,66000,66000270
19CoV,2020,02,台南市,東區,F,1,45~49,1,67000,67000320
19CoV,2020,02,桃園市,大園區,M,1,30~34,1,68000,68000060
19CoV,2020,02,桃園市,桃園區,F,0,25~29,1,68000,68000010
19CoV,2020,02,桃園市,桃園區,M,1,50~54,1,68000,68000010
19CoV,2020,02,桃園市,蘆竹區,F,0,55~59,2,68000,68000050
19CoV,2020,02,桃園市,龜山區,F,0,25~29,1,68000,68000070
19CoV,2020,02,桃園市,龜山區,F,0,40~44,1,68000,68000070
19CoV,2020,02,桃園市,龜山區,F,0,55~59,2,68000,68000070
19CoV,2020,03,宜蘭縣,宜蘭市,F,1,20~24,1,10002,10002010
19CoV,2020,03,新竹縣,新埔鎮,F,1,25~29,1,10004,10004030
19CoV,2020,03,新竹縣,新豐鄉,M,1,65~69,1,10004,10004060
19CoV,2020,03,新竹縣,竹北市,F,1,15~19,1,10004,10004010
19CoV,2020,03,新竹縣,竹北市,M,1,25~29,1,10004,10004010
19CoV,2020,03,新竹縣,竹北市,M,1,35~39,1,10004,10004010
19CoV,2020,03,新竹縣,竹東鎮,M,1,40~44,1,10004,10004020
19CoV,2020,03,苗栗縣,苑裡鎮,F,1,60~64,1,10005,10005020
19CoV,2020,03,苗栗縣,頭份市,M,1,20~24,1,10005,10005050
19CoV,2020,03,苗栗縣,頭份市,M,1,35~39,1,10005,10005050
19CoV,2020,03,彰化縣,和美鎮,M,1,20~24,1,10007,10007030
19CoV,2020,03,彰化縣,員林市,F,1,20~24,1,10007,10007100
19CoV,2020,03,彰化縣,員林市,F,1,35~39,1,10007,10007100
19CoV,2020,03,彰化縣,彰化市,F,1,20~24,1,10007,10007010
19CoV,2020,03,彰化縣,彰化市,M,1,25~29,1,10007,10007010
19CoV,2020,03,彰化縣,彰化市,M,1,55~59,1,10007,10007010
19CoV,2020,03,彰化縣,永靖鄉,F,1,20~24,1,10007,10007160
19CoV,2020,03,彰化縣,溪州鄉,F,1,20~24,1,10007,10007260
19CoV,2020,03,彰化縣,線西鄉,F,1,15~19,1,10007,10007040
19CoV,2020,03,彰化縣,芬園鄉,F,1,20~24,1,10007,10007090
19CoV,2020,03,彰化縣,芬園鄉,M,1,20~24,1,10007,10007090
19CoV,2020,03,彰化縣,鹿港鎮,F,1,25~29,1,10007,10007020
19CoV,2020,03,彰化縣,鹿港鎮,F,1,30~34,1,10007,10007020
19CoV,2020,03,雲林縣,斗六市,F,1,50~54,1,10009,10009010
19CoV,2020,03,雲林縣,斗六市,F,1,70+,1,10009,10009010
19CoV,2020,03,雲林縣,莿桐鄉,F,1,40~44,1,10009,10009090
19CoV,2020,03,雲林縣,虎尾鎮,M,1,30~34,1,10009,10009030
19CoV,2020,03,嘉義縣,大林鎮,F,1,20~24,1,10010,10010040
19CoV,2020,03,嘉義縣,太保市,M,1,20~24,1,10010,10010010
19CoV,2020,03,屏東縣,屏東市,M,1,20~24,1,10013,10013010
