確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0820,2004,22,台南市,仁德區,M,0,60~64,1,67000,67000270
0820,2004,24,台南市,東區,M,0,55~59,1,67000,67000320
0820,2004,25,雲林縣,水林鄉,M,0,20~24,1,10009,10009200
0820,2004,25,高雄市,大寮區,M,0,35~39,1,64000,64000140
0820,2004,26,嘉義縣,竹崎鄉,M,0,20~24,1,10010,10010140
0820,2004,27,高雄市,美濃區,M,0,45~49,1,64000,64000310
0820,2004,28,嘉義縣,新港鄉,F,0,55~59,1,10010,10010070
0820,2004,30,高雄市,楠梓區,F,0,60~64,1,64000,64000040
0820,2004,33,苗栗縣,後龍鎮,M,0,35~39,1,10005,10005060
0820,2004,33,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
0820,2004,33,高雄市,鹽埕區,M,0,45~49,1,64000,64000010
0820,2004,33,台南市,中西區,M,0,65~69,1,67000,67000370
0820,2004,33,台南市,南區,M,0,70+,1,67000,67000330
0820,2004,34,高雄市,六龜區,M,0,70+,1,64000,64000320
0820,2004,34,高雄市,前金區,M,0,65~69,1,64000,64000070
0820,2004,34,高雄市,大寮區,M,0,45~49,1,64000,64000140
0820,2004,34,高雄市,美濃區,F,0,35~39,1,64000,64000310
0820,2004,34,台南市,永康區,M,0,55~59,1,67000,67000310
0820,2004,35,高雄市,橋頭區,M,0,60~64,1,64000,64000200
0820,2004,36,高雄市,仁武區,M,0,25~29,1,64000,64000170
0820,2004,36,高雄市,六龜區,M,0,70+,1,64000,64000320
0820,2004,36,高雄市,湖內區,M,0,65~69,1,64000,64000250
0820,2004,36,桃園市,大溪區,M,0,50~54,1,68000,68000030
0820,2004,37,屏東縣,新埤鄉,M,0,70+,1,10013,10013150
0820,2004,37,高雄市,三民區,M,0,65~69,1,64000,64000050
0820,2004,38,彰化縣,和美鎮,F,0,70+,1,10007,10007030
0820,2004,39,台南市,東區,M,0,65~69,1,67000,67000320
0820,2004,40,高雄市,內門區,M,0,65~69,1,64000,64000350
0820,2004,41,屏東縣,長治鄉,M,0,60~64,1,10013,10013060
0820,2004,41,高雄市,三民區,F,0,70+,1,64000,64000050
0820,2004,43,高雄市,鳳山區,M,0,45~49,1,64000,64000120
0820,2004,43,高雄市,鼓山區,M,0,60~64,1,64000,64000020
0820,2004,44,高雄市,美濃區,F,0,25~29,1,64000,64000310
0820,2004,44,台南市,麻豆區,M,0,40~44,1,67000,67000070
0820,2004,45,高雄市,小港區,F,0,70+,1,64000,64000110
0820,2004,45,高雄市,左營區,M,0,70+,1,64000,64000030
0820,2004,45,高雄市,鳳山區,F,0,70+,1,64000,64000120
0820,2004,46,彰化縣,田中鎮,M,0,30~34,1,10007,10007120
0820,2004,47,台南市,東山區,M,0,50~54,1,67000,67000060
0820,2004,48,彰化縣,芳苑鄉,M,0,45~49,1,10007,10007230
