確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0820,2003,11,台南市,仁德區,M,0,70+,1,67000,67000270
0820,2003,12,彰化縣,秀水鄉,M,0,40~44,1,10007,10007070
0820,2003,12,高雄市,三民區,F,0,55~59,1,64000,64000050
0820,2004,01,高雄市,三民區,M,0,35~39,1,64000,64000050
0820,2004,01,高雄市,苓雅區,M,0,70+,1,64000,64000080
0820,2004,01,台南市,永康區,M,0,70+,1,67000,67000310
0820,2004,03,高雄市,前鎮區,M,0,45~49,1,64000,64000090
0820,2004,03,高雄市,大社區,M,0,55~59,1,64000,64000160
0820,2004,03,桃園市,楊梅區,F,0,65~69,1,68000,68000040
0820,2004,04,台南市,仁德區,M,0,60~64,1,67000,67000270
0820,2004,05,雲林縣,水林鄉,M,0,20~24,1,10009,10009200
0820,2004,05,嘉義縣,竹崎鄉,M,0,20~24,1,10010,10010140
0820,2004,05,高雄市,三民區,M,0,50~54,1,64000,64000050
0820,2004,05,高雄市,大寮區,M,0,35~39,1,64000,64000140
0820,2004,05,高雄市,楠梓區,F,0,60~64,1,64000,64000040
0820,2004,05,高雄市,橋頭區,M,0,60~64,1,64000,64000200
0820,2004,05,高雄市,美濃區,M,0,45~49,1,64000,64000310
0820,2004,05,高雄市,阿蓮區,M,0,25~29,1,64000,64000230
0820,2004,05,台南市,東區,M,0,55~59,1,67000,67000320
0820,2004,06,苗栗縣,後龍鎮,M,0,35~39,1,10005,10005060
0820,2004,06,彰化縣,鹿港鎮,M,0,70+,1,10007,10007020
0820,2004,06,嘉義縣,新港鄉,F,0,55~59,1,10010,10010070
0820,2004,06,高雄市,湖內區,M,0,65~69,1,64000,64000250
0820,2004,06,台南市,中西區,M,0,65~69,1,67000,67000370
0820,2004,06,台南市,南區,M,0,70+,1,67000,67000330
0820,2004,07,南投縣,仁愛鄉,M,0,3,1,10008,10008130
0820,2004,07,南投縣,竹山鎮,M,0,50~54,1,10008,10008040
0820,2004,07,高雄市,三民區,F,0,70+,1,64000,64000050
0820,2004,07,高雄市,仁武區,M,0,25~29,1,64000,64000170
0820,2004,07,高雄市,六龜區,M,0,70+,2,64000,64000320
0820,2004,07,高雄市,前金區,M,0,65~69,1,64000,64000070
0820,2004,07,高雄市,大寮區,M,0,45~49,1,64000,64000140
0820,2004,07,高雄市,美濃區,F,0,35~39,1,64000,64000310
0820,2004,07,高雄市,鹽埕區,M,0,45~49,1,64000,64000010
0820,2004,07,台南市,永康區,M,0,55~59,1,67000,67000310
0820,2004,08,彰化縣,和美鎮,F,0,70+,1,10007,10007030
0820,2004,08,屏東縣,新埤鄉,M,0,70+,1,10013,10013150
0820,2004,08,高雄市,三民區,M,0,65~69,1,64000,64000050
0820,2004,08,高雄市,內門區,M,0,65~69,1,64000,64000350
0820,2004,08,台南市,東區,M,0,65~69,1,67000,67000320
0820,2004,08,台南市,麻豆區,M,0,40~44,1,67000,67000070
0820,2004,08,桃園市,大溪區,M,0,50~54,1,68000,68000030
0820,2004,09,彰化縣,二林鎮,M,0,55~59,1,10007,10007200
0820,2004,09,彰化縣,芳苑鄉,M,0,45~49,1,10007,10007230
0820,2004,09,屏東縣,長治鄉,M,0,60~64,1,10013,10013060
0820,2004,09,高雄市,三民區,F,0,70+,1,64000,64000050
0820,2004,09,高雄市,鳳山區,M,0,45~49,1,64000,64000120
0820,2004,09,高雄市,鳳山區,F,0,70+,1,64000,64000120
0820,2004,09,高雄市,鼓山區,M,0,60~64,1,64000,64000020
