確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,感染國別,縣市別代碼,鄉鎮別代碼,感染國別代碼
001,1994,14,高雄市,永安區,M,1,60~64,1,泰國,64000,64000270,764
001,1994,15,高雄市,永安區,F,1,35~39,1,泰國,64000,64000270,764
001,1995,9,新竹市,東區,M,1,55~59,1,印尼,10018,10018010,360
084,1998,11,新北市,新店區,M,1,25~29,1,索羅門群島,65000,65000060,090
084,1998,33,高雄市,三民區,M,1,55~59,1,未知,64000,64000050,000
084,1998,33,高雄市,三民區,M,1,55~59,1,未知,64000,64000051,000
084,1998,33,高雄市,三民區,M,1,55~59,1,未知,64000,64000052,000
001,1999,34,花蓮縣,玉里鎮,F,1,50~54,1,中國,10015,10015030,156
001,1999,34,花蓮縣,花蓮市,F,1,55~59,1,中國,10015,10015010,156
061,2000,6,高雄市,鹽埕區,M,1,4,1,印尼,64000,64000010,360
006,2000,13,屏東縣,屏東市,F,1,25~29,1,未知,10013,10013010,000
004,2000,14,台中市,清水區,M,1,25~29,1,荷蘭,66000,66000120,528
006,2000,14,台中市,清水區,M,1,25~29,1,荷蘭,66000,66000120,528
055,2000,21,台東縣,台東市,M,1,25~29,1,日本,10014,10014010,392
084,2000,30,彰化縣,彰化市,M,1,45~49,1,未知,10007,10007010,000
084,2000,33,台北市,其他,M,1,50~54,1,賴比瑞亞,63000,63000999,430
061,2000,40,台北市,中正區,M,1,45~49,1,新加坡,63000,63000050,702
084,2000,42,桃園市,桃園區,M,1,35~39,1,賴比瑞亞,68000,68000010,430
084,2000,47,台北市,松山區,M,1,40~44,1,越南,63000,63000010,704
055,2000,48,台南市,北區,F,1,20~24,1,菲律賓,67000,67000340,608
084,2000,51,基隆市,安樂區,M,1,35~39,1,馬拉威,10017,10017060,454
084,2000,52,花蓮縣,鳳林鎮,M,1,55~59,1,印尼,10015,10015020,360
084,2001,2,高雄市,三民區,M,1,25~29,1,印尼,64000,64000050,360
084,2001,2,高雄市,三民區,M,1,25~29,1,印尼,64000,64000051,360
084,2001,2,高雄市,三民區,M,1,25~29,1,印尼,64000,64000052,360
