確定病名,建檔年份,建檔週別,縣市,鄉鎮,性別,非本國籍,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
010m,2008,1,彰化縣,芬園鄉,M,0,50~54,1,10007,10007090
010m,2008,1,南投縣,埔里鎮,F,0,70+,1,10008,10008020
010m,2008,1,嘉義縣,東石鄉,M,0,70+,1,10010,10010090
010m,2008,1,新北市,五股區,M,0,45~49,1,65000,65000150
010m,2008,2,屏東縣,高樹鄉,M,0,70+,1,10013,10013110
010m,2008,2,高雄市,鳳山區,M,0,35~39,1,64000,64000120
010m,2008,2,台南市,仁德區,F,0,60~64,1,67000,67000270
010m,2008,3,台北市,士林區,F,0,70+,1,63000,63000110
010m,2008,4,高雄市,三民區,M,0,65~69,1,64000,64000050
010m,2008,4,高雄市,三民區,M,0,65~69,1,64000,64000051
010m,2008,4,高雄市,三民區,M,0,65~69,1,64000,64000052
010m,2008,4,台南市,安南區,F,0,30~34,1,67000,67000350
010m,2008,4,台南市,歸仁區,M,0,35~39,1,67000,67000280
010m,2008,5,宜蘭縣,南澳鄉,M,0,35~39,1,10002,10002120
010m,2008,5,屏東縣,屏東市,M,0,70+,1,10013,10013010
010m,2008,5,台中市,潭子區,M,0,65~69,1,66000,66000170
010m,2008,5,台中市,豐原區,F,0,45~49,1,66000,66000090
010m,2008,6,高雄市,鳥松區,F,0,35~39,1,64000,64000180
010m,2008,6,新北市,三重區,M,0,45~49,1,65000,65000020
010m,2008,7,嘉義縣,布袋鎮,F,0,70+,1,10010,10010030
010m,2008,7,高雄市,三民區,M,0,65~69,1,64000,64000050
010m,2008,7,高雄市,三民區,M,0,65~69,1,64000,64000051
010m,2008,7,高雄市,三民區,M,0,65~69,1,64000,64000052
010m,2008,7,新北市,三重區,F,0,35~39,1,65000,65000020
010m,2008,7,台南市,仁德區,M,0,65~69,1,67000,67000270
010m,2008,7,台南市,永康區,M,0,60~64,1,67000,67000310
010m,2008,8,彰化縣,員林市,M,0,60~64,1,10007,10007100
010m,2008,8,高雄市,路竹區,F,0,30~34,1,64000,64000240
010m,2008,10,彰化縣,竹塘鄉,M,0,45~49,1,10007,10007250
010m,2008,10,嘉義市,東區,M,0,70+,1,10020,10020010
010m,2008,10,高雄市,大寮區,M,0,35~39,1,64000,64000140
010m,2008,10,高雄市,楠梓區,M,0,60~64,1,64000,64000040
010m,2008,10,高雄市,鼓山區,M,0,70+,1,64000,64000020
010m,2008,11,彰化縣,彰化市,M,0,70+,1,10007,10007010
010m,2008,11,台北市,中山區,F,0,60~64,1,63000,63000040
010m,2008,11,新北市,板橋區,F,1,30~34,1,65000,65000010
010m,2008,11,桃園市,楊梅區,M,0,70+,1,68000,68000040
