確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
A920,2008,1,台東縣,關山鎮,M,1,55~59,1,10014,10014030
A920,2008,1,新北市,中和區,F,1,20~24,1,65000,65000030
A920,2008,7,新北市,新莊區,M,1,25~29,1,65000,65000050
A920,2008,17,桃園市,中壢區,M,1,55~59,1,68000,68000020
A920,2008,28,桃園市,楊梅區,M,1,30~34,1,68000,68000040
A920,2008,43,台北市,中山區,M,1,50~54,1,63000,63000040
A920,2008,43,台北市,松山區,M,1,30~34,1,63000,63000010
A920,2008,49,苗栗縣,竹南鎮,M,1,25~29,1,10005,10005040
A920,2008,50,台北市,中山區,M,1,40~44,1,63000,63000040
A920,2008,50,台北市,北投區,M,1,55~59,1,63000,63000120
A920,2008,50,桃園市,中壢區,M,1,50~54,1,68000,68000020
A920,2009,6,高雄市,楠梓區,F,1,40~44,1,64000,64000040
A920,2009,18,苗栗縣,後龍鎮,M,1,10~14,1,10005,10005060
A920,2009,18,台南市,永康區,F,1,20~24,1,67000,67000310
A920,2009,24,台南市,東區,M,1,25~29,1,67000,67000320
A920,2009,33,桃園市,中壢區,F,1,20~24,1,68000,68000020
A920,2009,38,新北市,林口區,F,1,20~24,1,65000,65000170
A920,2009,48,高雄市(舊),苓雅區,M,1,65~69,1,64000,64000080
A920,2009,51,台北市,中正區,M,1,25~29,1,63000,63000050
A920,2009,53,台北市,中正區,M,1,65~69,1,63000,63000050
A920,2010,6,澎湖縣,望安鄉,M,1,25~29,1,10016,10016050
A920,2010,6,高雄市,三民區,F,1,25~29,1,64000,64000050
A920,2010,8,桃園市,中壢區,M,1,5~9,1,68000,68000020
A920,2010,9,新竹縣,新埔鎮,F,1,30~34,1,10004,10004030
A920,2010,9,苗栗縣,三灣鄉,M,1,50~54,1,10005,10005160
A920,2010,9,台北市,北投區,F,1,25~29,1,63000,63000120
A920,2010,18,桃園市,大園區,M,1,55~59,1,68000,68000060
A920,2010,21,宜蘭縣,蘇澳鎮,M,1,25~29,1,10002,10002030
A920,2010,24,彰化縣,秀水鄉,F,1,30~34,1,10007,10007070
A920,2010,26,台北市,大安區,F,1,35~39,1,63000,63000030
A920,2010,35,桃園市,大園區,M,1,25~29,1,68000,68000060
A920,2010,44,台中市,太平區,M,1,20~24,1,66000,66000270
A920,2010,46,台南市,安定區,F,1,30~34,1,67000,67000210
A920,2011,35,高雄市,旗山區,M,1,55~59,1,64000,64000300
A920,2011,40,桃園市,龜山區,F,1,45~49,1,68000,68000070
A920,2012,29,高雄市,鹽埕區,M,1,25~29,1,64000,64000010
A920,2012,37,高雄市,小港區,F,1,10~14,1,64000,64000110
A920,2012,40,桃園市,蘆竹區,F,1,25~29,1,68000,68000050
