確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
130,2007,49,新竹縣,竹東鎮,F,0,30~34,1,10004,10004020
130,2008,11,桃園市,大園區,F,0,70+,1,68000,68000060
130,2008,42,台北市,北投區,M,0,30~34,1,63000,63000120
130,2009,2,宜蘭縣,冬山鄉,F,0,20~24,1,10002,10002080
130,2009,12,台北市,信義區,F,0,25~29,1,63000,63000020
130,2009,15,宜蘭縣,羅東鎮,F,0,15~19,1,10002,10002020
130,2009,17,彰化縣,鹿港鎮,M,0,20~24,1,10007,10007020
130,2009,21,彰化縣,花壇鄉,M,0,10~14,1,10007,10007080
130,2009,30,宜蘭縣,蘇澳鎮,F,0,40~44,1,10002,10002030
130,2009,33,新北市,八里區,M,0,30~34,1,65000,65000230
130,2009,52,彰化縣,員林市,M,0,35~39,1,10007,10007100
130,2010,1,宜蘭縣,蘇澳鎮,F,0,35~39,1,10002,10002030
130,2010,6,南投縣,信義鄉,M,0,0,1,10008,10008120
130,2010,11,嘉義縣,布袋鎮,F,0,45~49,1,10010,10010030
130,2010,23,高雄市,苓雅區,F,0,30~34,1,64000,64000080
130,2011,7,桃園市,觀音區,F,0,30~34,1,68000,68000120
130,2011,10,雲林縣,斗六市,M,0,30~34,1,10009,10009010
130,2011,21,花蓮縣,新城鄉,M,0,35~39,1,10015,10015040
130,2011,28,花蓮縣,萬榮鄉,F,0,35~39,1,10015,10015120
130,2011,35,苗栗縣,銅鑼鄉,F,0,25~29,1,10005,10005100
130,2012,2,桃園市,中壢區,M,0,20~24,1,68000,68000020
130,2012,5,桃園市,蘆竹區,F,0,15~19,1,68000,68000050
130,2012,13,南投縣,南投市,M,0,35~39,1,10008,10008010
130,2012,14,台東縣,台東市,M,0,35~39,1,10014,10014010
130,2012,16,宜蘭縣,五結鄉,F,0,15~19,1,10002,10002090
130,2012,19,台南市,東區,F,0,25~29,1,67000,67000320
130,2012,20,高雄市,左營區,F,1,50~54,1,64000,64000030
130,2012,31,嘉義縣,民雄鄉,M,0,40~44,1,10010,10010050
130,2012,36,新竹縣,湖口鄉,F,0,55~59,1,10004,10004050
130,2012,36,彰化縣,田尾鄉,F,0,60~64,1,10007,10007210
130,2012,38,彰化縣,鹿港鎮,M,0,40~44,1,10007,10007020
130,2012,49,彰化縣,員林市,F,0,45~49,1,10007,10007100
130,2012,51,台南市,仁德區,M,0,30~34,1,67000,67000270
130,2012,52,宜蘭縣,礁溪鄉,F,0,15~19,1,10002,10002050
130,2013,9,花蓮縣,花蓮市,F,0,40~44,1,10015,10015010
130,2013,11,台北市,松山區,F,1,30~34,1,63000,63000010
130,2013,13,台中市,東區,M,0,25~29,1,66000,66000020
130,2013,15,新竹市,東區,F,0,25~29,1,10018,10018010
130,2013,17,新北市,五股區,M,0,30~34,1,65000,65000150
130,2013,28,彰化縣,秀水鄉,M,0,25~29,1,10007,10007070
130,2013,28,台南市,後壁區,F,0,40~44,1,67000,67000050
130,2013,28,桃園市,楊梅區,F,0,45~49,1,68000,68000040
130,2013,31,台南市,永康區,M,0,20~24,1,67000,67000310
130,2013,33,台中市,豐原區,M,0,60~64,1,66000,66000090
130,2013,37,南投縣,魚池鄉,M,0,45~49,1,10008,10008090
130,2013,40,台南市,永康區,M,0,15~19,1,67000,67000310
130,2013,48,台中市,北屯區,F,0,40~44,1,66000,66000080
130,2013,50,新北市,土城區,M,0,40~44,1,65000,65000130
130,2014,7,台中市,北屯區,M,0,40~44,1,66000,66000080
130,2014,11,台南市,北區,M,0,40~44,1,67000,67000340
130,2014,13,彰化縣,芬園鄉,M,0,30~34,1,10007,10007090
130,2014,15,台東縣,池上鄉,F,0,45~49,1,10014,10014060
130,2014,15,新北市,中和區,M,0,35~39,1,65000,65000030
130,2014,21,台中市,北區,F,0,15~19,1,66000,66000050
130,2014,25,新北市,蘆洲區,M,1,65~69,1,65000,65000140
130,2014,30,花蓮縣,秀林鄉,M,0,20~24,1,10015,10015110
130,2014,41,基隆市,七堵區,F,0,35~39,1,10017,10017020
130,2014,41,基隆市,安樂區,F,0,50~54,1,10017,10017060
130,2014,41,新北市,三重區,M,0,40~44,1,65000,65000020
130,2014,43,嘉義市,東區,M,0,45~49,1,10020,10020010
130,2014,45,台南市,永康區,F,0,55~59,1,67000,67000310
130,2014,48,新北市,板橋區,F,0,60~64,1,65000,65000010
130,2015,14,基隆市,中正區,F,0,30~34,1,10017,10017010
130,2015,17,花蓮縣,吉安鄉,F,0,45~49,1,10015,10015050
130,2015,17,新竹市,東區,F,0,20~24,1,10018,10018010
130,2015,20,新北市,永和區,M,0,20~24,1,65000,65000040
130,2015,20,桃園市,桃園區,M,0,30~34,1,68000,68000010
130,2015,22,台北市,大同區,F,1,30~34,1,63000,63000060
130,2015,33,彰化縣,彰化市,F,0,35~39,1,10007,10007010
130,2015,33,桃園市,平鎮區,M,0,30~34,1,68000,68000100
130,2015,37,高雄市,新興區,M,0,40~44,1,64000,64000060
130,2015,42,彰化縣,田尾鄉,M,0,20~24,1,10007,10007210
130,2015,43,新竹市,北區,F,0,30~34,1,10018,10018020
