確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
130,2007,07,新竹縣,竹東鎮,F,0,30~34,1,10004,10004020
130,2007,12,桃園市,大園區,F,0,70+,1,68000,68000060
130,2008,06,台北市,北投區,M,0,30~34,1,63000,63000120
130,2008,11,宜蘭縣,冬山鄉,F,0,20~24,1,10002,10002080
130,2008,11,台北市,信義區,F,0,25~29,1,63000,63000020
130,2009,02,宜蘭縣,羅東鎮,F,0,15~19,1,10002,10002020
130,2009,02,彰化縣,鹿港鎮,M,0,20~24,1,10007,10007020
130,2009,03,彰化縣,花壇鄉,M,0,10~14,1,10007,10007080
130,2009,06,宜蘭縣,蘇澳鎮,F,0,40~44,1,10002,10002030
130,2009,07,新北市,八里區,M,0,30~34,1,65000,65000230
130,2009,10,宜蘭縣,蘇澳鎮,F,0,35~39,1,10002,10002030
130,2009,11,彰化縣,員林市,M,0,35~39,1,10007,10007100
130,2010,02,南投縣,信義鄉,M,0,0,1,10008,10008120
130,2010,02,嘉義縣,布袋鎮,F,0,45~49,1,10010,10010030
130,2010,05,高雄市,苓雅區,F,0,30~34,1,64000,64000080
130,2010,10,桃園市,觀音區,F,0,30~34,1,68000,68000120
130,2010,12,雲林縣,斗六市,M,0,30~34,1,10009,10009010
130,2011,04,花蓮縣,新城鄉,M,0,35~39,1,10015,10015040
130,2011,04,花蓮縣,萬榮鄉,F,0,35~39,1,10015,10015120
130,2011,05,苗栗縣,銅鑼鄉,F,0,25~29,1,10005,10005100
130,2011,09,桃園市,中壢區,M,0,20~24,1,68000,68000020
130,2011,12,桃園市,蘆竹區,F,0,15~19,1,68000,68000050
130,2012,02,南投縣,南投市,M,0,35~39,1,10008,10008010
130,2012,02,台東縣,台東市,M,0,35~39,1,10014,10014010
130,2012,02,高雄市,左營區,F,1,50~54,1,64000,64000030
130,2012,03,宜蘭縣,五結鄉,F,0,15~19,1,10002,10002090
130,2012,03,台南市,東區,F,0,25~29,1,67000,67000320
130,2012,06,嘉義縣,民雄鄉,M,0,40~44,1,10010,10010050
130,2012,07,彰化縣,鹿港鎮,M,0,40~44,1,10007,10007020
130,2012,07,台南市,仁德區,M,0,30~34,1,67000,67000270
130,2012,08,宜蘭縣,礁溪鄉,F,0,15~19,1,10002,10002050
130,2012,08,新竹縣,湖口鄉,F,0,55~59,1,10004,10004050
130,2012,08,彰化縣,田尾鄉,F,0,60~64,1,10007,10007210
130,2012,11,彰化縣,員林市,F,0,45~49,1,10007,10007100
130,2013,01,花蓮縣,花蓮市,F,0,40~44,1,10015,10015010
130,2013,01,台南市,南區,M,0,10~14,1,67000,67000330
130,2013,02,台北市,松山區,F,1,30~34,1,63000,63000010
130,2013,02,台中市,東區,M,0,25~29,1,66000,66000020
130,2013,03,新竹市,東區,F,0,25~29,1,10018,10018010
130,2013,03,新北市,五股區,M,0,30~34,1,65000,65000150
130,2013,05,台南市,後壁區,F,0,40~44,1,67000,67000050
130,2013,05,桃園市,楊梅區,F,0,45~49,1,68000,68000040
130,2013,06,彰化縣,秀水鄉,M,0,25~29,1,10007,10007070
130,2013,06,台南市,永康區,M,0,20~24,1,67000,67000310
130,2013,07,台中市,豐原區,M,0,60~64,1,66000,66000090
130,2013,08,南投縣,魚池鄉,M,0,45~49,1,10008,10008090
130,2013,09,台南市,永康區,M,0,15~19,1,67000,67000310
130,2013,10,台中市,北屯區,F,0,40~44,1,66000,66000080
130,2013,12,新北市,土城區,M,0,40~44,1,65000,65000130
130,2013,12,新北市,蘆洲區,M,1,65~69,1,65000,65000140
130,2013,12,台南市,北區,M,0,40~44,1,67000,67000340
130,2014,01,台中市,北屯區,M,0,40~44,1,66000,66000080
130,2014,02,彰化縣,芬園鄉,M,0,30~34,1,10007,10007090
130,2014,02,台東縣,池上鄉,F,0,45~49,1,10014,10014060
130,2014,03,新北市,中和區,M,0,35~39,1,65000,65000030
130,2014,04,台中市,北區,F,0,15~19,1,66000,66000050
130,2014,06,花蓮縣,秀林鄉,M,0,20~24,1,10015,10015110
130,2014,08,基隆市,七堵區,F,0,35~39,1,10017,10017020
130,2014,08,嘉義市,東區,M,0,45~49,1,10020,10020010
130,2014,08,新北市,三重區,M,0,40~44,1,65000,65000020
130,2014,08,台南市,永康區,F,0,55~59,1,67000,67000310
130,2014,09,基隆市,安樂區,F,0,50~54,1,10017,10017060
130,2014,11,新北市,板橋區,F,0,60~64,1,65000,65000010
130,2014,12,新竹市,東區,F,0,20~24,1,10018,10018010
130,2015,02,花蓮縣,吉安鄉,F,0,45~49,1,10015,10015050
130,2015,02,基隆市,中正區,F,0,30~34,1,10017,10017010
130,2015,04,桃園市,桃園區,M,0,30~34,1,68000,68000010
130,2015,05,新北市,永和區,M,0,20~24,1,65000,65000040
130,2015,06,彰化縣,彰化市,F,0,35~39,1,10007,10007010
130,2015,06,台北市,大同區,F,1,30~34,1,63000,63000060
130,2015,08,新竹市,北區,F,0,30~34,1,10018,10018020
130,2015,08,桃園市,平鎮區,M,0,30~34,1,68000,68000100
130,2015,09,彰化縣,田尾鄉,M,0,20~24,1,10007,10007210
130,2015,09,高雄市,新興區,M,0,40~44,1,64000,64000060
130,2015,11,雲林縣,西螺鎮,M,0,50~54,1,10009,10009040
130,2015,11,台中市,沙鹿區,M,0,35~39,1,66000,66000130
130,2015,12,新竹縣,竹東鎮,F,0,35~39,1,10004,10004020
130,2016,02,彰化縣,花壇鄉,M,0,30~34,1,10007,10007080
130,2016,02,嘉義縣,民雄鄉,M,0,55~59,1,10010,10010050
130,2016,03,高雄市,鳳山區,F,0,45~49,1,64000,64000120
130,2016,04,桃園市,龜山區,F,0,10~14,1,68000,68000070
130,2016,06,高雄市,苓雅區,M,0,50~54,1,64000,64000080
130,2016,07,台南市,西港區,F,0,40~44,1,67000,67000140
130,2016,08,台中市,大肚區,F,0,30~34,1,66000,66000240
130,2016,10,屏東縣,萬丹鄉,M,0,15~19,1,10013,10013050
130,2016,10,台中市,南屯區,M,0,20~24,1,66000,66000070
130,2016,12,高雄市,三民區,M,0,45~49,1,64000,64000050
130,2017,01,台北市,信義區,M,0,60~64,1,63000,63000020
130,2017,02,新竹縣,新豐鄉,M,0,30~34,1,10004,10004060
130,2017,02,彰化縣,芳苑鄉,F,0,35~39,1,10007,10007230
130,2017,02,花蓮縣,玉里鎮,F,0,70+,1,10015,10015030
130,2017,03,嘉義縣,大林鎮,F,0,55~59,1,10010,10010040
130,2017,03,台北市,大安區,M,0,25~29,1,63000,63000030
130,2017,05,新北市,新店區,M,0,55~59,1,65000,65000060
130,2017,06,雲林縣,二崙鄉,M,0,65~69,1,10009,10009110
130,2017,06,新北市,新店區,F,0,10~14,1,65000,65000060
130,2017,06,新北市,汐止區,F,0,30~34,1,65000,65000110
130,2017,07,花蓮縣,秀林鄉,F,0,40~44,1,10015,10015110
130,2017,07,台南市,安平區,F,0,35~39,1,67000,67000360
130,2017,08,宜蘭縣,冬山鄉,M,0,25~29,1,10002,10002080
130,2017,08,彰化縣,芬園鄉,M,0,25~29,1,10007,10007090
130,2017,08,南投縣,南投市,F,0,30~34,1,10008,10008010
130,2017,08,雲林縣,崙背鄉,F,0,25~29,1,10009,10009120
130,2017,10,台中市,北屯區,M,0,35~39,1,66000,66000080
130,2017,11,彰化縣,員林市,M,0,70+,1,10007,10007100
130,2017,11,台北市,文山區,M,0,50~54,1,63000,63000080
130,2017,12,台北市,信義區,M,0,30~34,1,63000,63000020
130,2017,12,桃園市,平鎮區,M,0,30~34,1,68000,68000100
130,2018,01,新北市,土城區,M,0,35~39,1,65000,65000130
130,2018,02,台東縣,達仁鄉,M,0,30~34,1,10014,10014150
130,2018,02,台南市,七股區,M,0,50~54,1,67000,67000150
130,2018,03,台南市,北區,F,0,35~39,1,67000,67000340
130,2018,04,新北市,永和區,M,0,60~64,1,65000,65000040
130,2018,04,新北市,蘆洲區,F,0,60~64,1,65000,65000140
130,2018,05,屏東縣,新埤鄉,M,0,50~54,1,10013,10013150
130,2018,05,新北市,土城區,M,0,50~54,1,65000,65000130
130,2018,06,台北市,松山區,F,1,30~34,1,63000,63000010
130,2018,07,台南市,南區,M,0,50~54,1,67000,67000330
130,2018,08,苗栗縣,頭份市,M,0,15~19,1,10005,10005050
130,2018,08,台中市,烏日區,M,0,35~39,1,66000,66000230
130,2018,09,雲林縣,虎尾鎮,M,0,35~39,1,10009,10009030
130,2018,09,基隆市,中正區,F,0,65~69,1,10017,10017010
130,2018,11,新北市,永和區,F,0,60~64,1,65000,65000040
130,2018,11,台南市,安平區,M,0,45~49,1,67000,67000360
130,2018,12,高雄市,茄萣區,F,0,30~34,1,64000,64000260
130,2018,12,台中市,太平區,F,0,35~39,1,66000,66000270
130,2019,02,彰化縣,北斗鎮,M,0,50~54,1,10007,10007190
130,2019,03,宜蘭縣,五結鄉,M,0,55~59,1,10002,10002090
130,2019,03,花蓮縣,萬榮鄉,F,0,20~24,1,10015,10015120
130,2019,03,新北市,板橋區,F,0,60~64,1,65000,65000010
130,2019,05,桃園市,新屋區,F,0,35~39,1,68000,68000110
130,2019,06,台南市,官田區,F,0,30~34,1,67000,67000100
130,2019,07,屏東縣,潮州鎮,M,1,25~29,1,10013,10013020
130,2019,07,桃園市,八德區,F,0,20~24,1,68000,68000080
130,2019,08,宜蘭縣,頭城鎮,F,0,30~34,1,10002,10002040
130,2019,08,台北市,北投區,F,1,35~39,1,63000,63000120
130,2019,09,高雄市,旗山區,M,0,50~54,1,64000,64000300
130,2019,10,台中市,西屯區,F,1,25~29,1,66000,66000060
130,2019,10,台南市,永康區,M,1,45~49,1,67000,67000310
130,2019,11,桃園市,八德區,M,0,30~34,1,68000,68000080
130,2019,11,桃園市,平鎮區,M,0,25~29,1,68000,68000100
130,2019,12,新北市,土城區,F,0,50~54,1,65000,65000130
130,2020,03,嘉義市,西區,F,0,35~39,1,10020,10020020
130,2020,05,台中市,東勢區,F,0,30~34,1,66000,66000100
130,2020,06,台中市,豐原區,F,0,40~44,1,66000,66000090
130,2020,07,高雄市,阿蓮區,M,0,40~44,1,64000,64000230
130,2020,07,新北市,汐止區,M,0,50~54,1,65000,65000110
130,2020,07,台中市,后里區,M,0,50~54,1,66000,66000150
130,2020,07,台南市,永康區,M,0,45~49,1,67000,67000310
130,2020,07,桃園市,桃園區,F,0,50~54,1,68000,68000010
130,2020,08,南投縣,埔里鎮,F,0,55~59,1,10008,10008020
130,2020,08,雲林縣,斗南鎮,M,0,55~59,1,10009,10009020
130,2020,08,新北市,三重區,M,0,15~19,1,65000,65000020
130,2020,09,屏東縣,內埔鄉,M,0,35~39,1,10013,10013130
130,2020,09,花蓮縣,吉安鄉,M,0,45~49,1,10015,10015050
130,2020,09,台南市,安南區,M,0,40~44,1,67000,67000350
130,2020,09,台南市,永康區,F,0,45~49,1,67000,67000310
130,2020,11,新北市,三重區,F,0,40~44,1,65000,65000020
130,2020,12,台中市,大里區,M,0,35~39,1,66000,66000280
130,2021,01,花蓮縣,鳳林鎮,F,0,35~39,1,10015,10015020
130,2021,01,台中市,西區,M,0,30~34,1,66000,66000040
130,2021,02,彰化縣,鹿港鎮,F,0,25~29,1,10007,10007020
130,2021,02,新北市,三峽區,M,0,25~29,1,65000,65000090
130,2021,02,桃園市,平鎮區,M,0,50~54,1,68000,68000100
130,2021,03,彰化縣,彰化市,M,0,70+,1,10007,10007010
130,2021,03,台中市,南區,M,0,35~39,1,66000,66000030
130,2021,05,桃園市,龜山區,M,0,40~44,1,68000,68000070
130,2021,07,台中市,北屯區,M,0,30~34,1,66000,66000080
130,2021,08,新北市,烏來區,M,0,25~29,1,65000,65000290
130,2021,08,桃園市,中壢區,M,0,35~39,1,68000,68000020
130,2021,10,新北市,蘆洲區,F,0,40~44,1,65000,65000140
130,2021,10,桃園市,桃園區,F,0,45~49,1,68000,68000010
130,2021,11,南投縣,名間鄉,F,0,40~44,1,10008,10008060
130,2021,11,台中市,北屯區,F,0,70+,1,66000,66000080
130,2021,11,桃園市,中壢區,M,0,50~54,1,68000,68000020
130,2021,11,桃園市,桃園區,M,0,35~39,1,68000,68000010
130,2022,01,高雄市,那瑪夏區,F,0,50~54,1,64000,64000380
130,2022,01,新北市,汐止區,F,0,35~39,1,65000,65000110
130,2022,02,高雄市,左營區,F,0,30~34,1,64000,64000030
130,2022,02,台中市,西屯區,M,0,65~69,1,66000,66000060
130,2022,03,台北市,中山區,M,0,35~39,1,63000,63000040
130,2022,03,高雄市,茄萣區,F,0,40~44,1,64000,64000260
130,2022,03,新北市,新莊區,F,0,35~39,1,65000,65000050
130,2022,03,台南市,仁德區,M,0,25~29,1,67000,67000270
130,2022,04,苗栗縣,苗栗市,M,0,20~24,1,10005,10005010
130,2022,04,花蓮縣,萬榮鄉,M,0,40~44,1,10015,10015120
130,2022,04,新北市,新店區,F,0,70+,1,65000,65000060
130,2022,06,宜蘭縣,五結鄉,M,0,60~64,1,10002,10002090
130,2022,06,高雄市,鳳山區,M,0,65~69,1,64000,64000120
130,2022,07,台北市,中山區,F,0,35~39,1,63000,63000040
130,2022,07,高雄市,楠梓區,M,0,45~49,1,64000,64000040
130,2022,08,新竹市,香山區,M,0,25~29,1,10018,10018030
130,2022,08,桃園市,桃園區,F,0,25~29,1,68000,68000010
130,2022,09,彰化縣,田中鎮,F,0,45~49,1,10007,10007120
130,2022,09,花蓮縣,壽豐鄉,F,0,55~59,1,10015,10015060
130,2022,10,高雄市,鳥松區,F,0,25~29,1,64000,64000180
130,2022,10,台南市,東區,F,0,55~59,1,67000,67000320
130,2022,11,宜蘭縣,羅東鎮,M,0,0,2,10002,10002020
130,2022,11,宜蘭縣,羅東鎮,F,0,30~34,1,10002,10002020
130,2022,11,新北市,板橋區,F,0,45~49,1,65000,65000010
130,2022,11,台南市,麻豆區,M,0,35~39,1,67000,67000070
130,2022,12,苗栗縣,頭份市,F,0,50~54,1,10005,10005050
130,2023,01,宜蘭縣,五結鄉,M,0,65~69,1,10002,10002090
130,2023,01,台中市,豐原區,F,0,35~39,1,66000,66000090
130,2023,02,雲林縣,虎尾鎮,F,0,35~39,1,10009,10009030
130,2023,02,高雄市,楠梓區,F,1,20~24,1,64000,64000040
130,2023,02,新北市,新店區,M,0,50~54,1,65000,65000060
130,2023,02,台南市,安平區,F,0,30~34,1,67000,67000360
130,2023,03,雲林縣,水林鄉,M,0,0,1,10009,10009200
130,2023,03,雲林縣,水林鄉,F,0,30~34,1,10009,10009200
130,2023,03,高雄市,鳥松區,M,1,55~59,1,64000,64000180
130,2023,03,台中市,豐原區,F,0,0,1,66000,66000090
130,2023,04,苗栗縣,頭份市,M,0,70+,1,10005,10005050
130,2023,04,新北市,永和區,M,0,50~54,1,65000,65000040
130,2023,04,桃園市,楊梅區,M,0,65~69,1,68000,68000040
130,2023,05,新北市,土城區,F,0,35~39,1,65000,65000130
130,2023,05,台中市,清水區,M,0,55~59,1,66000,66000120
130,2023,06,台中市,龍井區,F,0,0,1,66000,66000250
130,2023,06,桃園市,桃園區,F,0,30~34,1,68000,68000010
130,2023,07,台中市,大里區,M,0,50~54,1,66000,66000280
130,2023,07,台中市,龍井區,F,0,35~39,1,66000,66000250
130,2023,07,台南市,安平區,F,0,35~39,1,67000,67000360
130,2023,07,桃園市,桃園區,M,0,30~34,1,68000,68000010
130,2023,08,桃園市,龜山區,M,0,40~44,1,68000,68000070
130,2023,12,台北市,內湖區,F,0,25~29,1,63000,63000100
130,2023,12,台中市,豐原區,M,0,0,1,66000,66000090
130,2023,12,桃園市,平鎮區,M,0,35~39,1,68000,68000100
130,2024,01,新竹縣,北埔鄉,F,0,55~59,1,10004,10004090
130,2024,02,新北市,中和區,F,0,65~69,1,65000,65000030
130,2024,02,新北市,新莊區,F,0,30~34,1,65000,65000050
130,2024,03,花蓮縣,吉安鄉,M,0,65~69,1,10015,10015050
130,2024,05,金門縣,金湖鎮,F,0,70+,1,09020,09020030
130,2024,05,宜蘭縣,壯圍鄉,F,0,30~34,1,10002,10002060
130,2024,05,台北市,內湖區,F,0,45~49,1,63000,63000100
130,2024,05,台南市,東區,F,0,35~39,1,67000,67000320
130,2024,07,彰化縣,社頭鄉,M,0,10~14,1,10007,10007170
130,2024,08,台北市,大同區,F,0,35~39,1,63000,63000060
130,2024,08,桃園市,八德區,M,0,25~29,1,68000,68000080
130,2024,11,台南市,新市區,F,0,25~29,1,67000,67000200
130,2024,12,台中市,梧棲區,M,0,65~69,1,66000,66000140
130,2025,01,南投縣,草屯鎮,M,0,45~49,1,10008,10008030
