確定病名,診斷年份,診斷月份,縣市,性別,非本國籍,年齡層,確定病例數,縣市別代碼
042,2003,01,彰化縣,F,0,35~39,1,10007
042,2003,01,彰化縣,M,0,45~49,1,10007
042,2003,01,南投縣,M,0,50~54,1,10008
042,2003,01,嘉義縣,M,0,30~34,1,10010
042,2003,01,嘉義縣,M,0,40~44,1,10010
042,2003,01,花蓮縣,M,0,45~49,1,10015
042,2003,01,台北市,M,0,25~29,1,63000
042,2003,01,台北市,M,0,35~39,1,63000
042,2003,01,高雄市,M,0,25~29,3,64000
042,2003,01,高雄市,M,0,30~34,1,64000
042,2003,01,高雄市,M,0,40~44,3,64000
042,2003,01,新北市,M,0,20~24,1,65000
042,2003,01,新北市,M,0,35~39,1,65000
042,2003,01,新北市,M,0,50~54,1,65000
042,2003,01,台中市,M,0,25~29,1,66000
042,2003,01,台中市,M,0,30~34,1,66000
042,2003,01,台中市,M,1,35~39,1,66000
042,2003,01,台南市,M,0,20~24,1,67000
042,2003,01,桃園市,M,0,35~39,1,68000
042,2003,01,桃園市,M,1,25~29,1,68000
042,2003,02,台北市,M,0,45~49,1,63000
042,2003,02,高雄市,M,0,30~34,1,64000
042,2003,02,高雄市,M,0,35~39,3,64000
042,2003,02,高雄市,M,0,40~44,1,64000
042,2003,02,新北市,M,0,25~29,1,65000
042,2003,02,台中市,F,0,35~39,1,66000
042,2003,02,台中市,M,0,25~29,1,66000
042,2003,02,台中市,M,0,35~39,1,66000
042,2003,02,台中市,M,0,70+,1,66000
042,2003,02,台南市,F,0,40~44,1,67000
042,2003,02,台南市,M,0,30~34,1,67000
042,2003,02,桃園市,M,0,40~44,1,68000
042,2003,03,彰化縣,M,0,40~44,1,10007
042,2003,03,嘉義縣,M,0,40~44,1,10010
042,2003,03,屏東縣,F,0,30~34,1,10013
042,2003,03,屏東縣,F,0,5~9,1,10013
042,2003,03,屏東縣,M,0,35~39,1,10013
042,2003,03,基隆市,M,0,40~44,1,10017
042,2003,03,基隆市,M,0,55~59,1,10017
042,2003,03,嘉義市,M,0,30~34,1,10020
042,2003,03,台北市,M,0,20~24,3,63000
042,2003,03,台北市,M,0,25~29,3,63000
042,2003,03,台北市,M,0,30~34,1,63000
042,2003,03,台北市,M,0,40~44,1,63000
042,2003,03,高雄市,M,0,25~29,2,64000
042,2003,03,高雄市,M,0,35~39,2,64000
042,2003,03,高雄市,M,0,45~49,1,64000
042,2003,03,高雄市,M,0,60~64,1,64000
042,2003,03,新北市,M,0,30~34,1,65000
042,2003,03,新北市,M,0,50~54,1,65000
042,2003,03,新北市,M,0,55~59,1,65000
042,2003,03,台中市,M,0,25~29,1,66000
042,2003,03,台中市,M,0,35~39,1,66000
042,2003,03,桃園市,M,0,50~54,1,68000
042,2003,04,苗栗縣,M,0,25~29,1,10005
042,2003,04,彰化縣,M,0,30~34,1,10007
042,2003,04,南投縣,M,0,30~34,1,10008
042,2003,04,屏東縣,M,0,30~34,1,10013
042,2003,04,屏東縣,M,0,35~39,1,10013
042,2003,04,基隆市,M,0,35~39,1,10017
042,2003,04,台北市,M,0,25~29,6,63000
042,2003,04,台北市,M,0,30~34,1,63000
042,2003,04,台北市,M,0,35~39,3,63000
042,2003,04,高雄市,M,0,60~64,1,64000
042,2003,04,新北市,M,0,35~39,3,65000
042,2003,04,新北市,M,0,65~69,1,65000
042,2003,04,新北市,M,0,70+,1,65000
042,2003,04,台中市,F,0,40~44,2,66000
042,2003,04,台中市,F,0,50~54,1,66000
042,2003,04,台中市,M,0,20~24,1,66000
042,2003,04,台中市,M,0,30~34,2,66000
042,2003,04,台中市,M,0,50~54,1,66000
042,2003,04,台南市,M,0,40~44,3,67000
042,2003,04,桃園市,M,0,50~54,1,68000
042,2003,05,雲林縣,M,0,30~34,1,10009
042,2003,05,台北市,M,0,35~39,1,63000
042,2003,05,高雄市,F,0,20~24,1,64000
042,2003,05,高雄市,M,0,45~49,1,64000
042,2003,05,新北市,M,0,20~24,1,65000
042,2003,05,新北市,M,0,30~34,1,65000
042,2003,05,台中市,M,0,45~49,1,66000
042,2003,05,桃園市,M,0,25~29,1,68000
042,2003,05,桃園市,M,0,30~34,1,68000
042,2003,05,桃園市,M,0,50~54,1,68000
042,2003,06,新竹縣,M,0,35~39,1,10004
042,2003,06,苗栗縣,M,0,30~34,1,10005
042,2003,06,嘉義縣,F,0,35~39,1,10010
042,2003,06,嘉義縣,M,0,45~49,1,10010
042,2003,06,屏東縣,M,0,40~44,1,10013
042,2003,06,台北市,M,0,30~34,5,63000
042,2003,06,台北市,M,0,40~44,1,63000
042,2003,06,高雄市,M,0,35~39,1,64000
042,2003,06,新北市,F,0,45~49,1,65000
042,2003,06,新北市,M,0,30~34,2,65000
042,2003,06,新北市,M,0,70+,1,65000
042,2003,06,台中市,M,0,35~39,1,66000
042,2003,06,台南市,M,0,30~34,1,67000
042,2003,06,桃園市,M,0,25~29,1,68000
042,2003,07,宜蘭縣,F,0,25~29,1,10002
042,2003,07,彰化縣,M,0,60~64,1,10007
042,2003,07,雲林縣,M,0,35~39,1,10009
042,2003,07,嘉義縣,M,0,35~39,1,10010
042,2003,07,台北市,M,0,25~29,3,63000
042,2003,07,台北市,M,0,30~34,1,63000
042,2003,07,台北市,M,0,65~69,1,63000
042,2003,07,高雄市,M,0,25~29,1,64000
042,2003,07,新北市,M,0,20~24,1,65000
042,2003,07,新北市,M,0,25~29,1,65000
042,2003,07,新北市,M,0,30~34,1,65000
042,2003,07,新北市,M,0,45~49,1,65000
042,2003,07,新北市,M,0,65~69,2,65000
042,2003,07,台中市,M,0,35~39,2,66000
042,2003,07,台南市,M,0,25~29,1,67000
042,2003,07,台南市,M,0,35~39,1,67000
042,2003,07,台南市,M,0,45~49,1,67000
042,2003,07,桃園市,F,0,40~44,1,68000
042,2003,08,南投縣,M,0,30~34,1,10008
042,2003,08,屏東縣,M,0,25~29,1,10013
042,2003,08,屏東縣,M,0,60~64,1,10013
042,2003,08,花蓮縣,M,0,60~64,1,10015
042,2003,08,新竹市,M,0,40~44,1,10018
042,2003,08,台北市,M,0,30~34,2,63000
042,2003,08,台北市,M,0,40~44,1,63000
042,2003,08,高雄市,M,0,30~34,3,64000
042,2003,08,高雄市,M,0,45~49,1,64000
042,2003,08,高雄市,M,0,55~59,3,64000
042,2003,08,新北市,M,0,20~24,1,65000
042,2003,08,新北市,M,0,25~29,1,65000
042,2003,08,新北市,M,0,30~34,1,65000
042,2003,08,新北市,M,0,40~44,1,65000
042,2003,08,新北市,M,0,50~54,3,65000
042,2003,08,台中市,M,0,20~24,1,66000
042,2003,08,台中市,M,0,25~29,1,66000
042,2003,08,台中市,M,0,35~39,1,66000
042,2003,08,台中市,M,0,65~69,1,66000
042,2003,08,台南市,M,0,20~24,1,67000
042,2003,08,台南市,M,0,45~49,1,67000
042,2003,08,桃園市,M,0,25~29,1,68000
042,2003,08,桃園市,M,0,35~39,1,68000
042,2003,09,彰化縣,M,0,50~54,1,10007
042,2003,09,嘉義縣,M,0,35~39,1,10010
042,2003,09,台東縣,M,0,40~44,1,10014
042,2003,09,基隆市,M,0,30~34,1,10017
042,2003,09,基隆市,M,0,45~49,1,10017
042,2003,09,台北市,F,0,50~54,1,63000
042,2003,09,台北市,M,0,40~44,1,63000
042,2003,09,高雄市,M,0,25~29,1,64000
042,2003,09,高雄市,M,0,30~34,1,64000
042,2003,09,高雄市,M,0,40~44,1,64000
042,2003,09,新北市,M,0,25~29,1,65000
042,2003,09,新北市,M,0,30~34,4,65000
042,2003,09,新北市,M,0,45~49,1,65000
042,2003,09,新北市,M,0,50~54,1,65000
042,2003,09,新北市,M,0,55~59,1,65000
042,2003,09,新北市,M,0,60~64,1,65000
042,2003,09,台中市,M,0,15~19,1,66000
042,2003,09,台中市,M,0,35~39,2,66000
042,2003,09,台南市,F,0,60~64,1,67000
042,2003,09,台南市,M,0,25~29,1,67000
042,2003,09,台南市,M,0,70+,1,67000
042,2003,09,桃園市,M,0,25~29,1,68000
042,2003,09,桃園市,M,0,35~39,1,68000
042,2003,10,台東縣,M,0,40~44,1,10014
042,2003,10,新竹市,F,0,35~39,1,10018
042,2003,10,台北市,M,0,25~29,1,63000
042,2003,10,台北市,M,0,40~44,3,63000
042,2003,10,台北市,M,0,55~59,1,63000
042,2003,10,新北市,M,0,25~29,1,65000
042,2003,10,新北市,M,0,40~44,1,65000
042,2003,10,台中市,M,0,30~34,1,66000
042,2003,10,台中市,M,1,50~54,1,66000
042,2003,10,台南市,M,0,40~44,1,67000
042,2003,10,桃園市,F,0,50~54,1,68000
042,2003,10,桃園市,M,0,30~34,1,68000
042,2003,10,桃園市,M,0,40~44,1,68000
042,2003,11,苗栗縣,M,0,25~29,1,10005
042,2003,11,苗栗縣,M,0,60~64,1,10005
042,2003,11,屏東縣,M,0,25~29,1,10013
042,2003,11,屏東縣,M,0,35~39,2,10013
042,2003,11,台東縣,M,0,70+,1,10014
042,2003,11,基隆市,M,0,50~54,1,10017
042,2003,11,台北市,M,0,35~39,4,63000
042,2003,11,高雄市,M,0,30~34,4,64000
042,2003,11,高雄市,M,0,35~39,3,64000
042,2003,11,新北市,M,0,20~24,1,65000
042,2003,11,新北市,M,0,25~29,1,65000
042,2003,11,新北市,M,0,30~34,1,65000
042,2003,11,新北市,M,0,65~69,1,65000
042,2003,11,新北市,M,0,70+,1,65000
042,2003,11,台中市,M,0,35~39,1,66000
042,2003,11,台中市,M,0,40~44,1,66000
042,2003,12,彰化縣,M,0,55~59,1,10007
042,2003,12,屏東縣,M,0,35~39,1,10013
042,2003,12,花蓮縣,M,0,40~44,1,10015
042,2003,12,基隆市,M,0,35~39,1,10017
042,2003,12,台北市,F,0,30~34,3,63000
042,2003,12,台北市,M,0,20~24,1,63000
042,2003,12,台北市,M,0,40~44,1,63000
042,2003,12,高雄市,M,0,30~34,3,64000
042,2003,12,高雄市,M,0,50~54,2,64000
042,2003,12,新北市,M,0,25~29,1,65000
042,2003,12,新北市,M,0,35~39,2,65000
042,2003,12,新北市,M,0,40~44,1,65000
042,2003,12,台中市,M,0,25~29,1,66000
042,2003,12,台中市,M,0,45~49,1,66000
042,2003,12,桃園市,F,0,45~49,1,68000
042,2003,12,桃園市,M,0,20~24,2,68000
042,2003,12,桃園市,M,0,30~34,3,68000
042,2003,12,桃園市,M,0,40~44,1,68000
042,2004,01,宜蘭縣,M,0,30~34,1,10002
042,2004,01,南投縣,M,0,40~44,1,10008
042,2004,01,南投縣,M,0,70+,1,10008
042,2004,01,雲林縣,M,0,25~29,1,10009
042,2004,01,屏東縣,M,0,35~39,2,10013
042,2004,01,花蓮縣,M,0,25~29,1,10015
042,2004,01,台北市,M,0,20~24,4,63000
042,2004,01,台北市,M,0,35~39,1,63000
042,2004,01,台北市,M,0,40~44,3,63000
042,2004,01,高雄市,M,0,35~39,1,64000
042,2004,01,高雄市,M,0,40~44,1,64000
042,2004,01,高雄市,M,0,70+,1,64000
042,2004,01,新北市,M,0,40~44,1,65000
042,2004,01,台中市,F,1,30~34,1,66000
042,2004,01,台中市,M,0,20~24,2,66000
042,2004,01,台中市,M,0,25~29,1,66000
042,2004,01,台中市,M,0,45~49,1,66000
042,2004,01,台中市,M,0,55~59,1,66000
042,2004,01,台南市,M,0,30~34,1,67000
042,2004,01,桃園市,F,0,35~39,1,68000
042,2004,01,桃園市,M,0,30~34,1,68000
042,2004,02,宜蘭縣,M,0,30~34,1,10002
042,2004,02,新竹縣,M,0,25~29,1,10004
042,2004,02,彰化縣,M,0,25~29,1,10007
042,2004,02,南投縣,M,0,25~29,1,10008
042,2004,02,南投縣,M,0,30~34,1,10008
042,2004,02,嘉義縣,M,0,40~44,1,10010
042,2004,02,花蓮縣,M,0,50~54,1,10015
042,2004,02,新竹市,M,0,60~64,1,10018
042,2004,02,嘉義市,M,0,30~34,1,10020
042,2004,02,台北市,M,0,40~44,1,63000
042,2004,02,高雄市,M,0,25~29,1,64000
042,2004,02,高雄市,M,0,70+,1,64000
042,2004,02,新北市,F,1,35~39,1,65000
042,2004,02,新北市,M,0,25~29,2,65000
042,2004,02,新北市,M,0,45~49,1,65000
042,2004,02,新北市,M,0,50~54,1,65000
042,2004,02,新北市,M,0,55~59,2,65000
042,2004,02,台南市,M,0,50~54,1,67000
042,2004,02,桃園市,M,0,25~29,1,68000
042,2004,03,彰化縣,F,0,70+,1,10007
042,2004,03,彰化縣,M,0,30~34,2,10007
042,2004,03,南投縣,M,0,30~34,1,10008
042,2004,03,基隆市,M,0,65~69,1,10017
042,2004,03,高雄市,M,0,30~34,3,64000
042,2004,03,新北市,M,0,40~44,1,65000
042,2004,03,新北市,M,0,65~69,1,65000
042,2004,03,台南市,F,0,40~44,1,67000
042,2004,03,台南市,M,0,30~34,1,67000
042,2004,03,台南市,M,0,35~39,2,67000
042,2004,03,桃園市,M,0,20~24,1,68000
042,2004,03,桃園市,M,0,35~39,1,68000
042,2004,03,桃園市,M,0,60~64,1,68000
042,2004,04,苗栗縣,M,0,45~49,1,10005
042,2004,04,彰化縣,M,0,60~64,1,10007
042,2004,04,雲林縣,M,0,35~39,1,10009
042,2004,04,屏東縣,M,0,55~59,1,10013
042,2004,04,新竹市,M,0,20~24,1,10018
042,2004,04,新竹市,M,0,35~39,2,10018
042,2004,04,新竹市,M,0,45~49,1,10018
042,2004,04,台北市,M,0,20~24,1,63000
042,2004,04,台北市,M,0,30~34,2,63000
042,2004,04,台北市,M,0,40~44,2,63000
042,2004,04,台北市,M,0,50~54,1,63000
042,2004,04,高雄市,M,0,45~49,3,64000
042,2004,04,高雄市,M,0,50~54,1,64000
042,2004,04,高雄市,M,0,70+,3,64000
042,2004,04,新北市,F,0,25~29,1,65000
042,2004,04,新北市,M,0,35~39,3,65000
042,2004,04,新北市,M,0,40~44,2,65000
