確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
056,2004,31,台中市,西區,F,0,25~29,1,66000,66000040
056,2004,33,台中市,烏日區,F,0,30~34,1,66000,66000230
056,2004,40,屏東縣,東港鎮,F,0,1,1,10013,10013030
056,2004,42,新北市,林口區,M,0,20~24,1,65000,65000170
056,2005,20,新北市,三重區,M,1,25~29,1,65000,65000020
056,2005,22,高雄市,左營區,F,1,30~34,1,64000,64000030
056,2005,27,桃園市,中壢區,F,0,25~29,1,68000,68000020
056,2005,31,宜蘭縣,宜蘭市,M,1,15~19,1,10002,10002010
056,2005,53,台北市,中山區,F,0,50~54,1,63000,63000040
056,2006,4,台中市,北區,M,0,45~49,1,66000,66000050
056,2006,10,新北市,新莊區,M,0,25~29,1,65000,65000050
056,2006,18,苗栗縣,頭份市,F,0,35~39,1,10005,10005050
056,2006,23,雲林縣,麥寮鄉,M,0,25~29,1,10009,10009130
056,2006,27,台中市,大甲區,M,0,20~24,1,66000,66000110
056,2006,43,新北市,板橋區,M,1,20~24,1,65000,65000010
056,2006,44,高雄市,鼓山區,F,1,35~39,1,64000,64000020
056,2007,7,台北市,文山區,M,1,30~34,1,63000,63000080
056,2007,7,台北市,文山區,M,1,30~34,1,63000,63000081
056,2007,7,台北市,文山區,M,1,30~34,1,63000,63000082
056,2007,7,桃園市,中壢區,M,0,30~34,1,68000,68000020
056,2007,26,苗栗縣,頭份市,M,0,25~29,1,10005,10005050
056,2007,26,桃園市,龜山區,M,0,35~39,1,68000,68000070
056,2007,28,苗栗縣,頭份市,M,0,15~19,3,10005,10005050
056,2007,28,苗栗縣,頭份市,M,0,20~24,13,10005,10005050
056,2007,28,苗栗縣,頭份市,M,0,40~44,1,10005,10005050
056,2007,28,桃園市,觀音區,M,0,15~19,1,68000,68000120
056,2007,28,桃園市,觀音區,M,0,20~24,9,68000,68000120
056,2007,28,桃園市,觀音區,M,1,20~24,1,68000,68000120
056,2007,28,桃園市,觀音區,M,0,25~29,4,68000,68000120
056,2007,28,桃園市,觀音區,M,0,30~34,3,68000,68000120
056,2007,29,台北市,中山區,M,0,35~39,1,63000,63000040
056,2007,30,宜蘭縣,頭城鎮,M,0,35~39,1,10002,10002040
056,2007,30,苗栗縣,頭份市,M,0,25~29,1,10005,10005050
056,2007,30,台北市,文山區,F,0,30~34,1,63000,63000080
056,2007,30,台北市,文山區,F,0,30~34,1,63000,63000081
056,2007,30,台北市,文山區,F,0,30~34,1,63000,63000082
056,2007,30,台北市,松山區,M,1,45~49,1,63000,63000010
056,2007,30,桃園市,觀音區,M,0,20~24,3,68000,68000120
056,2007,30,桃園市,觀音區,M,0,25~29,1,68000,68000120
056,2007,30,桃園市,觀音區,M,0,30~34,1,68000,68000120
056,2007,31,苗栗縣,頭份市,M,0,25~29,1,10005,10005050
056,2007,34,苗栗縣,頭份市,M,0,15~19,1,10005,10005050
056,2007,34,苗栗縣,頭份市,M,0,20~24,1,10005,10005050
056,2007,34,苗栗縣,頭份市,M,0,35~39,1,10005,10005050
056,2008,2,台中市,西區,F,0,25~29,1,66000,66000040
056,2008,11,台北市,中山區,F,0,35~39,1,63000,63000040
056,2008,11,台北市,文山區,F,0,40~44,1,63000,63000080
056,2008,11,台北市,文山區,F,0,40~44,1,63000,63000081
056,2008,11,台北市,文山區,F,0,40~44,1,63000,63000082
056,2008,12,台中市,沙鹿區,F,1,20~24,1,66000,66000130
056,2008,14,新北市,林口區,M,0,15~19,4,65000,65000170
056,2008,14,新北市,林口區,M,0,20~24,1,65000,65000170
056,2008,15,彰化縣,溪州鄉,M,0,15~19,3,10007,10007260
056,2008,15,彰化縣,溪州鄉,M,1,15~19,1,10007,10007260
056,2008,15,彰化縣,溪州鄉,F,0,20~24,1,10007,10007260
056,2008,16,彰化縣,溪州鄉,M,0,20~24,3,10007,10007260
056,2008,17,新北市,林口區,M,0,15~19,2,65000,65000170
056,2008,19,新北市,三峽區,M,1,35~39,1,65000,65000090
056,2008,21,高雄市,三民區,F,0,35~39,1,64000,64000050
056,2008,21,高雄市,三民區,F,0,35~39,1,64000,64000051
056,2008,21,高雄市,三民區,F,0,35~39,1,64000,64000052
056,2008,25,屏東縣,屏東市,M,1,45~49,1,10013,10013010
056,2008,25,桃園市,龜山區,F,0,20~24,1,68000,68000070
056,2008,26,台北市,大安區,M,0,35~39,1,63000,63000030
056,2008,28,桃園市,龜山區,F,0,20~24,2,68000,68000070
056,2008,30,桃園市,中壢區,F,1,20~24,1,68000,68000020
056,2008,32,彰化縣,溪州鄉,M,0,20~24,2,10007,10007260
056,2008,32,台南市,新營區,F,1,5~9,1,67000,67000010
056,2008,34,桃園市,中壢區,F,0,15~19,2,68000,68000020
056,2008,43,台東縣,台東市,F,1,20~24,1,10014,10014010
056,2008,51,新竹縣,竹北市,F,1,20~24,1,10004,10004010
056,2009,9,高雄縣(舊),大社鄉,M,1,20~24,1,10012,10012050
056,2009,9,高雄市,大社區,M,1,20~24,1,64000,64000160
056,2009,9,高雄市,大社區,M,0,25~29,2,64000,64000160
056,2009,10,新竹縣,湖口鄉,F,1,25~29,1,10004,10004050
056,2009,11,台北市,松山區,M,1,50~54,1,63000,63000010
056,2009,11,台北市,萬華區,F,0,20~24,1,63000,63000070
056,2009,11,台北市,萬華區,F,0,20~24,1,63000,63000071
056,2009,11,台北市,萬華區,F,0,20~24,1,63000,63000072
056,2009,12,台北市,中山區,M,0,30~34,1,63000,63000040
056,2009,17,屏東縣,枋山鄉,M,0,10~14,1,10013,10013250
056,2009,17,花蓮縣,花蓮市,M,0,15~19,1,10015,10015010
056,2009,20,桃園市,中壢區,M,0,25~29,1,68000,68000020
056,2009,22,桃園市,桃園區,M,1,45~49,1,68000,68000010
056,2009,25,苗栗縣,竹南鎮,F,0,25~29,1,10005,10005040
056,2009,25,台北市,士林區,M,0,20~24,1,63000,63000110
056,2009,25,桃園市,桃園區,F,0,45~49,1,68000,68000010
056,2009,26,新北市,三峽區,M,0,10~14,1,65000,65000090
056,2009,27,台北市,大同區,M,1,35~39,1,63000,63000060
056,2009,28,台北市,中山區,M,1,25~29,1,63000,63000040
056,2009,28,新北市,三重區,M,0,25~29,1,65000,65000020
056,2009,30,新北市,新店區,F,0,20~24,1,65000,65000060
056,2009,43,高雄市,大樹區,F,1,20~24,1,64000,64000150
056,2009,52,桃園市,中壢區,M,0,25~29,1,68000,68000020
056,2010,5,新北市,蘆洲區,M,0,35~39,1,65000,65000140
056,2010,14,高雄市,鳳山區,F,1,35~39,1,64000,64000120
056,2010,15,桃園市,龜山區,M,0,20~24,1,68000,68000070
056,2010,16,新竹市,北區,F,1,25~29,1,10018,10018020
056,2010,17,新北市,土城區,M,0,30~34,1,65000,65000130
056,2010,18,新北市,萬里區,M,1,45~49,1,65000,65000280
056,2010,20,新北市,汐止區,M,1,40~44,1,65000,65000110
056,2010,21,台北市,內湖區,M,0,30~34,1,63000,63000100
056,2010,23,台北市,大安區,F,0,50~54,1,63000,63000030
056,2010,24,台北市,士林區,M,1,35~39,1,63000,63000110
056,2010,27,高雄市,前鎮區,F,1,5~9,1,64000,64000090
056,2010,28,台東縣,卑南鄉,F,0,20~24,1,10014,10014040
056,2010,28,台東縣,金峰鄉,F,0,20~24,1,10014,10014140
056,2010,29,台北市,北投區,M,1,30~34,1,63000,63000120
056,2010,29,台北市,南港區,F,1,25~29,1,63000,63000090
056,2010,30,新竹市,東區,M,1,35~39,1,10018,10018010
056,2010,38,新竹市,東區,M,1,35~39,1,10018,10018010
056,2010,43,新北市,中和區,M,1,35~39,1,65000,65000030
056,2010,51,新北市,新莊區,M,0,30~34,1,65000,65000050
056,2010,52,台北市,松山區,M,0,40~44,1,63000,63000010
056,2011,1,台北市,松山區,F,0,40~44,1,63000,63000010
056,2011,3,台北市,北投區,F,0,35~39,1,63000,63000120
056,2011,5,桃園市,蘆竹區,F,1,45~49,1,68000,68000050
056,2011,8,台中市,西區,M,1,30~34,1,66000,66000040
056,2011,8,台南市,北區,M,1,20~24,1,67000,67000340
056,2011,8,桃園市,八德區,M,1,25~29,1,68000,68000080
056,2011,9,台中市,北屯區,M,1,15~19,1,66000,66000080
056,2011,9,台中市,太平區,M,1,20~24,1,66000,66000270
056,2011,10,台北市,中正區,F,0,30~34,1,63000,63000050
056,2011,10,新北市,汐止區,F,1,25~29,1,65000,65000110
056,2011,10,台中市,霧峰區,M,1,20~24,1,66000,66000260
056,2011,11,台北市,信義區,F,1,45~49,1,63000,63000020
056,2011,11,台南市,安平區,F,1,45~49,1,67000,67000360
056,2011,11,桃園市,蘆竹區,M,0,25~29,1,68000,68000050
056,2011,12,宜蘭縣,冬山鄉,M,0,20~24,1,10002,10002080
056,2011,12,高雄市,前鎮區,M,1,15~19,1,64000,64000090
056,2011,12,台中市,霧峰區,M,1,25~29,1,66000,66000260
056,2011,13,新竹市,東區,M,0,25~29,1,10018,10018010
056,2011,13,桃園市,中壢區,F,1,20~24,1,68000,68000020
056,2011,13,桃園市,蘆竹區,M,1,20~24,1,68000,68000050
056,2011,14,彰化縣,和美鎮,M,0,30~34,1,10007,10007030
056,2011,14,高雄市,三民區,F,1,45~49,1,64000,64000050
056,2011,14,高雄市,三民區,F,1,45~49,1,64000,64000051
056,2011,14,高雄市,三民區,F,1,45~49,1,64000,64000052
056,2011,14,台中市,梧棲區,M,1,25~29,1,66000,66000140
056,2011,14,台中市,清水區,M,0,35~39,1,66000,66000120
056,2011,14,台中市,龍井區,F,1,30~34,1,66000,66000250
056,2011,15,台北市,內湖區,M,1,55~59,1,63000,63000100
056,2011,15,高雄市,楠梓區,F,1,25~29,1,64000,64000040
056,2011,15,新北市,三重區,M,0,20~24,1,65000,65000020
056,2011,16,台北市,大安區,F,1,45~49,1,63000,63000030
056,2011,16,高雄市,楠梓區,F,1,15~19,1,64000,64000040
056,2011,16,新北市,新莊區,M,1,30~34,1,65000,65000050
056,2011,17,新北市,永和區,F,1,45~49,1,65000,65000040
056,2011,17,新北市,汐止區,F,1,25~29,1,65000,65000110
056,2011,17,台中市,北區,M,1,40~44,1,66000,66000050
056,2011,18,新北市,新莊區,F,0,30~34,1,65000,65000050
056,2011,18,台中市,梧棲區,M,0,20~24,1,66000,66000140
056,2011,18,台中市,龍井區,M,0,20~24,1,66000,66000250
056,2011,18,台南市,中西區,M,0,30~34,1,67000,67000370
056,2011,18,桃園市,桃園區,F,0,20~24,1,68000,68000010
056,2011,19,新竹縣,竹北市,F,0,20~24,1,10004,10004010
056,2011,19,新北市,汐止區,F,1,45~49,1,65000,65000110
056,2011,20,台東縣,台東市,F,0,20~24,1,10014,10014010
056,2011,20,桃園市,龜山區,M,1,55~59,1,68000,68000070
056,2011,21,桃園市,中壢區,F,0,40~44,1,68000,68000020
056,2011,23,台北市,信義區,F,0,35~39,1,63000,63000020
056,2011,23,桃園市,中壢區,F,1,20~24,1,68000,68000020
056,2011,23,桃園市,桃園區,F,0,1,1,68000,68000010
056,2011,23,桃園市,桃園區,M,0,40~44,1,68000,68000010
056,2011,25,新北市,中和區,M,1,40~44,1,65000,65000030
056,2011,25,桃園市,桃園區,F,0,35~39,1,68000,68000010
056,2011,26,新北市,淡水區,F,1,25~29,1,65000,65000100
056,2011,27,宜蘭縣,礁溪鄉,M,0,20~24,1,10002,10002050
056,2011,27,宜蘭縣,羅東鎮,F,0,20~24,1,10002,10002020
056,2011,27,新竹縣,新豐鄉,M,0,40~44,1,10004,10004060
056,2011,27,台中市,北屯區,M,0,20~24,1,66000,66000080
056,2011,28,金門縣,金城鎮,M,1,25~29,1,09020,09020010
056,2011,30,新竹市,東區,M,1,25~29,1,10018,10018010
056,2011,31,台南市,東區,M,1,40~44,1,67000,67000320
056,2011,35,桃園市,中壢區,F,0,40~44,1,68000,68000020
056,2011,44,台中市,龍井區,M,0,30~34,1,66000,66000250
056,2011,46,高雄市,前鎮區,M,0,50~54,1,64000,64000090
056,2011,50,台中市,北屯區,F,0,25~29,1,66000,66000080
056,2012,3,台北市,大安區,M,0,20~24,1,63000,63000030
056,2012,8,新北市,新店區,M,1,40~44,1,65000,65000060
056,2012,16,新北市,三芝區,F,1,40~44,1,65000,65000210
056,2012,17,台中市,西屯區,M,1,30~34,1,66000,66000060
056,2012,18,台中市,北屯區,M,1,20~24,1,66000,66000080
056,2012,20,彰化縣,花壇鄉,M,0,30~34,1,10007,10007080
056,2012,22,彰化縣,線西鄉,M,1,35~39,1,10007,10007040
056,2012,26,桃園市,桃園區,M,0,1,1,68000,68000010
056,2012,27,新北市,中和區,M,1,35~39,1,65000,65000030
056,2012,31,新北市,林口區,F,0,35~39,1,65000,65000170
056,2012,38,新北市,板橋區,M,0,1,1,65000,65000010
056,2012,39,台北市,士林區,M,0,35~39,1,63000,63000110
056,2013,15,台中市,西屯區,M,1,35~39,1,66000,66000060
056,2013,15,桃園市,龜山區,F,1,35~39,1,68000,68000070
056,2013,24,新北市,新店區,F,1,40~44,1,65000,65000060
056,2013,29,宜蘭縣,羅東鎮,M,1,40~44,1,10002,10002020
056,2013,41,新北市,板橋區,M,0,30~34,1,65000,65000010
056,2013,45,台北市,中正區,M,1,20~24,1,63000,63000050
056,2013,47,桃園市,龜山區,F,1,20~24,1,68000,68000070
056,2014,9,台北市,松山區,F,1,10~14,1,63000,63000010
056,2014,11,台北市,文山區,M,1,20~24,1,63000,63000080
056,2014,11,台北市,文山區,M,1,20~24,1,63000,63000081
056,2014,11,台北市,文山區,M,1,20~24,1,63000,63000082
056,2014,13,台中市,西區,M,1,35~39,1,66000,66000040
056,2014,20,屏東縣,屏東市,M,1,40~44,1,10013,10013010
056,2014,27,台南市,東區,M,1,10~14,1,67000,67000320
056,2014,47,新北市,土城區,M,0,30~34,1,65000,65000130
056,2014,53,新北市,三峽區,M,1,25~29,1,65000,65000090
056,2015,4,新北市,五股區,M,0,40~44,1,65000,65000150
056,2015,11,新北市,淡水區,F,1,45~49,1,65000,65000100
056,2015,14,高雄市,三民區,M,1,50~54,1,64000,64000050
056,2015,14,高雄市,三民區,M,1,50~54,1,64000,64000051
056,2015,14,高雄市,三民區,M,1,50~54,1,64000,64000052
056,2015,17,桃園市,桃園區,M,0,45~49,1,68000,68000010
056,2015,18,高雄市,三民區,F,0,50~54,1,64000,64000050
056,2015,18,高雄市,三民區,F,0,50~54,1,64000,64000051
056,2015,18,高雄市,三民區,F,0,50~54,1,64000,64000052
056,2015,19,台南市,鹽水區,M,1,40~44,1,67000,67000020
056,2015,52,新北市,樹林區,M,1,25~29,1,65000,65000070
056,2016,4,台北市,中山區,F,1,35~39,1,63000,63000040
056,2016,8,台南市,北區,M,1,40~44,1,67000,67000340
056,2016,10,台南市,北區,F,0,45~49,1,67000,67000340
056,2016,16,新北市,汐止區,M,1,30~34,1,65000,65000110
056,2017,23,新竹市,北區,M,1,30~34,1,10018,10018020
056,2017,29,新北市,永和區,M,1,15~19,1,65000,65000040
