確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
056,2003,03,台北市,中山區,F,0,35~39,1,63000,63000040
056,2003,07,新北市,永和區,F,1,40~44,1,65000,65000040
056,2004,05,台中市,烏日區,F,0,30~34,1,66000,66000230
056,2004,06,屏東縣,東港鎮,F,0,1,1,10013,10013030
056,2004,06,台中市,西區,F,0,25~29,1,66000,66000040
056,2004,08,新北市,林口區,M,0,20~24,1,65000,65000170
056,2005,04,新北市,三重區,M,1,25~29,1,65000,65000020
056,2005,05,高雄市,左營區,F,1,30~34,1,64000,64000030
056,2005,06,桃園市,中壢區,F,0,25~29,1,68000,68000020
056,2005,07,宜蘭縣,宜蘭市,M,1,15~19,1,10002,10002010
056,2005,11,台北市,中山區,F,0,50~54,1,63000,63000040
056,2005,12,苗栗縣,頭份市,F,0,35~39,1,10005,10005050
056,2005,12,台中市,北區,M,0,45~49,1,66000,66000050
056,2006,02,新北市,新莊區,M,0,25~29,1,65000,65000050
056,2006,05,雲林縣,麥寮鄉,M,0,25~29,1,10009,10009130
056,2006,05,台中市,大甲區,M,0,20~24,1,66000,66000110
056,2006,09,高雄市,鼓山區,F,1,35~39,1,64000,64000020
056,2006,09,新北市,板橋區,M,1,20~24,1,65000,65000010
056,2006,11,台北市,文山區,M,1,30~34,1,63000,63000080
056,2007,01,桃園市,中壢區,M,0,30~34,1,68000,68000020
056,2007,03,台北市,中山區,F,1,25~29,1,63000,63000040
056,2007,05,宜蘭縣,頭城鎮,M,0,35~39,1,10002,10002040
056,2007,05,桃園市,龜山區,M,0,35~39,1,68000,68000070
056,2007,06,苗栗縣,頭份市,M,0,15~19,1,10005,10005050
056,2007,06,苗栗縣,頭份市,M,0,20~24,3,10005,10005050
056,2007,06,苗栗縣,頭份市,M,0,25~29,1,10005,10005050
056,2007,06,台北市,中山區,M,0,35~39,1,63000,63000040
056,2007,06,桃園市,觀音區,M,0,20~24,4,68000,68000120
056,2007,06,桃園市,觀音區,M,0,25~29,2,68000,68000120
056,2007,06,桃園市,觀音區,M,0,30~34,1,68000,68000120
056,2007,07,苗栗縣,頭份市,M,0,15~19,3,10005,10005050
056,2007,07,苗栗縣,頭份市,M,0,20~24,11,10005,10005050
