確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
045a,2004,19,花蓮縣,花蓮市,M,0,1,1,10015,10015010
045a,2004,21,高雄市,旗山區,F,0,40~44,1,64000,64000300
045a,2004,21,高雄市,楠梓區,F,0,40~44,1,64000,64000040
045a,2004,21,桃園市,觀音區,F,0,10~14,1,68000,68000120
045a,2004,23,高雄市,三民區,M,0,5~9,1,64000,64000050
045a,2004,23,高雄市,三民區,M,0,5~9,1,64000,64000051
045a,2004,23,高雄市,三民區,M,0,5~9,1,64000,64000052
045a,2004,23,高雄市,美濃區,M,0,60~64,1,64000,64000310
045a,2004,26,台中市,豐原區,M,0,1,1,66000,66000090
045a,2004,27,台中市,南區,M,0,5~9,1,66000,66000030
045a,2004,27,台中市,南屯區,F,0,5~9,1,66000,66000070
045a,2004,28,台中市,龍井區,F,0,2,1,66000,66000250
045a,2004,31,桃園市,八德區,M,0,15~19,1,68000,68000080
045a,2004,32,屏東縣,獅子鄉,M,0,5~9,1,10013,10013320
045a,2004,33,高雄市,鳳山區,M,0,70+,1,64000,64000120
045a,2004,33,台中市,大安區,F,0,2,1,66000,66000220
045a,2004,34,台北市,內湖區,M,0,3,1,63000,63000100
045a,2004,34,高雄市,前鎮區,M,0,4,1,64000,64000090
045a,2004,34,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2004,34,高雄市,鳳山區,F,0,65~69,1,64000,64000120
045a,2004,36,新竹縣,芎林鄉,M,0,20~24,1,10004,10004070
045a,2004,36,高雄市,梓官區,F,0,60~64,1,64000,64000290
045a,2004,37,彰化縣,大村鄉,M,0,4,1,10007,10007130
045a,2004,37,台北市,萬華區,F,0,1,1,63000,63000070
045a,2004,37,台北市,萬華區,F,0,1,1,63000,63000071
045a,2004,37,台北市,萬華區,F,0,1,1,63000,63000072
045a,2004,40,高雄市,新興區,M,0,5~9,1,64000,64000060
045a,2004,40,高雄市,鼓山區,F,0,5~9,1,64000,64000020
045a,2004,40,新北市,三重區,F,0,25~29,1,65000,65000020
045a,2004,41,嘉義縣,竹崎鄉,M,0,15~19,1,10010,10010140
045a,2004,41,新北市,淡水區,M,0,0,1,65000,65000100
045a,2004,44,屏東縣,屏東市,M,0,10~14,1,10013,10013010
045a,2004,44,屏東縣,屏東市,F,0,5~9,1,10013,10013010
045a,2004,45,屏東縣,屏東市,M,0,10~14,1,10013,10013010
045a,2004,46,雲林縣,虎尾鎮,F,0,5~9,1,10009,10009030
045a,2004,46,高雄市,小港區,F,0,4,1,64000,64000110
045a,2004,48,彰化縣,彰化市,F,0,0,1,10007,10007010
045a,2004,48,高雄市,苓雅區,M,0,3,1,64000,64000080
045a,2004,49,新竹市,北區,M,0,5~9,1,10018,10018020
045a,2004,49,高雄市,楠梓區,M,0,10~14,1,64000,64000040
045a,2004,50,台南市,永康區,F,0,4,1,67000,67000310
045a,2005,3,高雄市,林園區,M,0,5~9,1,64000,64000130
045a,2005,3,新北市,中和區,M,0,70+,1,65000,65000030
045a,2005,4,高雄市,三民區,M,0,5~9,1,64000,64000050
045a,2005,4,高雄市,三民區,M,0,5~9,1,64000,64000051
045a,2005,4,高雄市,三民區,M,0,5~9,1,64000,64000052
045a,2005,4,高雄市,前鎮區,M,0,5~9,1,64000,64000090
045a,2005,4,高雄市,左營區,M,0,10~14,1,64000,64000030
045a,2005,5,高雄市,前鎮區,M,0,10~14,1,64000,64000090
045a,2005,6,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2005,6,屏東縣,麟洛鄉,M,0,5~9,1,10013,10013070
045a,2005,6,高雄市,三民區,M,0,5~9,1,64000,64000050
045a,2005,6,高雄市,三民區,M,0,5~9,1,64000,64000051
045a,2005,6,高雄市,三民區,M,0,5~9,1,64000,64000052
045a,2005,6,新北市,汐止區,M,0,5~9,1,65000,65000110
045a,2005,8,新北市,鶯歌區,M,0,10~14,1,65000,65000080
045a,2005,8,台南市,北區,F,0,2,1,67000,67000340
045a,2005,11,宜蘭縣,壯圍鄉,M,0,10~14,1,10002,10002060
045a,2005,11,台北市,內湖區,F,0,15~19,1,63000,63000100
045a,2005,11,台北市,文山區,M,0,45~49,1,63000,63000080
045a,2005,11,台北市,文山區,M,0,45~49,1,63000,63000081
045a,2005,11,台北市,文山區,M,0,45~49,1,63000,63000082
045a,2005,12,南投縣,國姓鄉,M,0,55~59,1,10008,10008100
045a,2005,12,屏東縣,琉球鄉,M,0,5~9,1,10013,10013220
045a,2005,13,南投縣,國姓鄉,M,0,4,1,10008,10008100
045a,2005,13,台中市,太平區,M,0,10~14,1,66000,66000270
045a,2005,13,台中市,太平區,M,0,4,1,66000,66000270
045a,2005,14,雲林縣,斗南鎮,M,0,10~14,1,10009,10009020
045a,2005,14,高雄市,內門區,M,0,5~9,1,64000,64000350
045a,2005,14,台中市,豐原區,M,0,10~14,1,66000,66000090
045a,2005,15,高雄市,楠梓區,M,0,5~9,1,64000,64000040
045a,2005,15,高雄市,鳳山區,F,0,4,1,64000,64000120
045a,2005,16,高雄市,大社區,M,0,5~9,1,64000,64000160
045a,2005,17,屏東縣,屏東市,F,0,10~14,1,10013,10013010
045a,2005,17,屏東縣,恆春鎮,M,0,10~14,1,10013,10013040
045a,2005,18,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2005,18,台南市,北區,M,0,0,1,67000,67000340
045a,2005,19,台南市,新營區,M,0,5~9,1,67000,67000010
045a,2005,21,高雄市,左營區,M,0,0,1,64000,64000030
045a,2005,23,高雄市,三民區,F,0,2,1,64000,64000050
045a,2005,23,高雄市,三民區,F,0,2,1,64000,64000051
045a,2005,23,高雄市,三民區,F,0,2,1,64000,64000052
045a,2005,23,高雄市,三民區,M,0,3,1,64000,64000050
045a,2005,23,高雄市,三民區,M,0,3,1,64000,64000051
045a,2005,23,高雄市,三民區,M,0,3,1,64000,64000052
045a,2005,24,台中市,大甲區,M,0,5~9,1,66000,66000110
045a,2005,25,高雄市,小港區,M,0,4,1,64000,64000110
045a,2005,27,南投縣,埔里鎮,M,0,0,1,10008,10008020
045a,2005,28,彰化縣,和美鎮,F,0,2,1,10007,10007030
045a,2005,28,台北市,中山區,M,0,1,1,63000,63000040
045a,2005,29,台南市,新營區,F,0,3,1,67000,67000010
045a,2005,30,台北市,大同區,F,0,1,1,63000,63000060
045a,2005,31,台南市,安定區,F,0,3,1,67000,67000210
045a,2005,33,新北市,新店區,F,0,1,1,65000,65000060
045a,2005,34,高雄市,小港區,F,0,4,1,64000,64000110
045a,2005,34,高雄市,小港區,F,0,5~9,1,64000,64000110
045a,2005,35,屏東縣,東港鎮,F,0,10~14,1,10013,10013030
045a,2005,36,桃園市,桃園區,M,0,5~9,1,68000,68000010
045a,2005,37,嘉義市,東區,M,0,5~9,1,10020,10020010
045a,2005,38,台南市,新營區,M,0,0,1,67000,67000010
045a,2005,38,桃園市,龍潭區,F,0,5~9,1,68000,68000090
045a,2005,40,雲林縣,虎尾鎮,F,0,3,1,10009,10009030
045a,2005,40,屏東縣,內埔鄉,F,0,1,1,10013,10013130
045a,2005,41,屏東縣,恆春鎮,M,0,4,1,10013,10013040
045a,2005,43,宜蘭縣,壯圍鄉,M,0,5~9,1,10002,10002060
045a,2005,43,高雄市,林園區,M,0,4,1,64000,64000130
045a,2005,43,高雄市,林園區,F,0,5~9,1,64000,64000130
045a,2005,43,新北市,汐止區,F,0,5~9,1,65000,65000110
045a,2005,43,桃園市,蘆竹區,M,0,1,1,68000,68000050
045a,2005,45,新北市,汐止區,F,0,4,1,65000,65000110
045a,2005,45,新北市,蘆洲區,M,0,0,1,65000,65000140
045a,2005,47,彰化縣,埔鹽鄉,F,0,3,1,10007,10007140
045a,2005,47,高雄市,大寮區,M,0,5~9,1,64000,64000140
045a,2005,51,嘉義縣,新港鄉,F,0,4,1,10010,10010070
045a,2005,51,台北市,內湖區,M,0,2,1,63000,63000100
045a,2006,1,屏東縣,內埔鄉,F,0,10~14,1,10013,10013130
045a,2006,11,雲林縣,北港鎮,F,0,1,1,10009,10009060
045a,2006,11,台中市,豐原區,M,0,70+,1,66000,66000090
045a,2006,13,高雄市,前鎮區,M,0,20~24,1,64000,64000090
045a,2006,13,高雄市,大寮區,M,0,3,1,64000,64000140
045a,2006,13,台南市,東山區,M,0,10~14,1,67000,67000060
045a,2006,19,屏東縣,牡丹鄉,F,0,5~9,1,10013,10013330
045a,2006,20,台中市,西屯區,M,0,5~9,1,66000,66000060
045a,2006,22,屏東縣,屏東市,M,0,4,1,10013,10013010
045a,2006,23,高雄市,甲仙區,M,0,5~9,1,64000,64000330
045a,2006,24,台北市,松山區,M,0,10~14,1,63000,63000010
045a,2006,26,新北市,中和區,F,0,1,1,65000,65000030
045a,2006,27,高雄市,苓雅區,M,0,5~9,1,64000,64000080
045a,2006,28,屏東縣,東港鎮,M,0,1,1,10013,10013030
045a,2006,29,屏東縣,枋山鄉,M,0,0,1,10013,10013250
045a,2006,31,台北市,大安區,M,0,10~14,1,63000,63000030
045a,2006,32,雲林縣,東勢鄉,M,0,5~9,1,10009,10009140
045a,2006,32,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2006,33,屏東縣,屏東市,M,0,2,1,10013,10013010
045a,2006,33,基隆市,七堵區,M,0,10~14,1,10017,10017020
045a,2006,34,彰化縣,和美鎮,F,0,10~14,1,10007,10007030
045a,2006,34,屏東縣,內埔鄉,M,0,5~9,1,10013,10013130
045a,2006,34,屏東縣,屏東市,M,0,3,1,10013,10013010
045a,2006,36,屏東縣,萬丹鄉,M,0,4,1,10013,10013050
045a,2006,36,新北市,三峽區,M,0,2,1,65000,65000090
045a,2006,36,桃園市,大溪區,M,0,4,1,68000,68000030
045a,2006,38,苗栗縣,苑裡鎮,M,1,1,1,10005,10005020
045a,2006,38,屏東縣,屏東市,M,0,10~14,1,10013,10013010
045a,2006,38,屏東縣,屏東市,M,0,4,1,10013,10013010
045a,2006,38,台中市,豐原區,F,0,5~9,1,66000,66000090
045a,2006,38,桃園市,桃園區,F,0,10~14,1,68000,68000010
045a,2006,40,台北市,內湖區,M,0,5~9,1,63000,63000100
045a,2006,40,新北市,汐止區,F,0,5~9,1,65000,65000110
045a,2006,41,彰化縣,彰化市,F,0,4,1,10007,10007010
045a,2006,41,屏東縣,長治鄉,M,0,3,1,10013,10013060
045a,2006,41,台南市,永康區,F,0,1,1,67000,67000310
045a,2006,42,桃園市,平鎮區,M,0,3,1,68000,68000100
045a,2006,44,高雄市,小港區,F,0,5~9,1,64000,64000110
045a,2006,45,高雄市,三民區,F,0,5~9,1,64000,64000050
045a,2006,45,高雄市,三民區,F,0,5~9,1,64000,64000051
045a,2006,45,高雄市,三民區,F,0,5~9,1,64000,64000052
045a,2006,45,新北市,中和區,F,0,2,1,65000,65000030
045a,2006,45,台南市,歸仁區,F,0,10~14,1,67000,67000280
045a,2006,46,屏東縣,長治鄉,F,0,5~9,1,10013,10013060
045a,2006,46,高雄市,林園區,M,0,5~9,1,64000,64000130
045a,2006,46,台南市,將軍區,M,0,1,1,67000,67000160
045a,2006,47,屏東縣,三地門鄉,M,0,10~14,1,10013,10013260
045a,2006,47,屏東縣,新園鄉,M,0,5~9,1,10013,10013170
045a,2006,48,高雄市,前鎮區,M,0,10~14,1,64000,64000090
045a,2006,48,高雄市,前鎮區,F,0,5~9,1,64000,64000090
045a,2006,48,高雄市,小港區,M,0,10~14,1,64000,64000110
045a,2006,48,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2006,48,高雄市,楠梓區,M,0,5~9,1,64000,64000040
045a,2006,49,高雄市,三民區,M,0,4,1,64000,64000050
045a,2006,49,高雄市,三民區,M,0,4,1,64000,64000051
045a,2006,49,高雄市,三民區,M,0,4,1,64000,64000052
045a,2006,49,高雄市,前鎮區,F,0,5~9,1,64000,64000090
045a,2006,49,高雄市,大寮區,F,0,5~9,1,64000,64000140
045a,2006,49,高雄市,大寮區,M,0,5~9,1,64000,64000140
045a,2006,49,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2006,50,新北市,汐止區,M,0,5~9,1,65000,65000110
045a,2006,51,台北市,內湖區,M,0,5~9,1,63000,63000100
045a,2006,51,高雄市,大寮區,F,0,5~9,1,64000,64000140
045a,2006,51,台中市,西屯區,M,0,2,1,66000,66000060
045a,2006,52,彰化縣,大村鄉,M,0,4,1,10007,10007130
045a,2006,52,台北市,內湖區,M,0,5~9,1,63000,63000100
045a,2006,52,新北市,新店區,F,0,5~9,1,65000,65000060
045a,2006,52,新北市,新莊區,M,0,5~9,1,65000,65000050
045a,2007,1,高雄市,小港區,F,0,5~9,1,64000,64000110
045a,2007,1,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2007,1,高雄市,新興區,M,0,4,1,64000,64000060
045a,2007,1,高雄市,鳳山區,F,0,5~9,1,64000,64000120
045a,2007,2,苗栗縣,竹南鎮,M,0,5~9,1,10005,10005040
045a,2007,2,台北市,松山區,M,0,5~9,1,63000,63000010
045a,2007,2,新北市,新店區,F,0,4,1,65000,65000060
045a,2007,3,台北市,內湖區,M,0,5~9,1,63000,63000100
045a,2007,3,高雄市,小港區,M,0,10~14,1,64000,64000110
045a,2007,4,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2007,5,新竹縣,湖口鄉,F,0,3,1,10004,10004050
045a,2007,5,高雄市,前鎮區,F,0,5~9,1,64000,64000090
045a,2007,5,高雄市,大寮區,M,0,5~9,1,64000,64000140
045a,2007,5,高雄市,小港區,M,0,5~9,2,64000,64000110
045a,2007,5,高雄市,林園區,F,0,5~9,1,64000,64000130
045a,2007,5,高雄市,鳳山區,M,0,4,1,64000,64000120
045a,2007,6,高雄市,鳳山區,F,0,3,1,64000,64000120
045a,2007,6,高雄市,鼓山區,M,0,10~14,1,64000,64000020
045a,2007,7,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2007,9,高雄市,林園區,F,0,4,1,64000,64000130
045a,2007,12,新北市,中和區,F,0,5~9,1,65000,65000030
045a,2007,15,台中市,西屯區,M,0,5~9,1,66000,66000060
045a,2007,19,屏東縣,九如鄉,F,0,5~9,1,10013,10013080
045a,2007,20,台中市,南屯區,M,0,10~14,1,66000,66000070
045a,2007,23,台東縣,台東市,M,0,10~14,1,10014,10014010
045a,2007,23,花蓮縣,卓溪鄉,F,0,4,1,10015,10015130
045a,2007,23,台北市,文山區,F,0,5~9,1,63000,63000080
045a,2007,23,台北市,文山區,F,0,5~9,1,63000,63000081
045a,2007,23,台北市,文山區,F,0,5~9,1,63000,63000082
045a,2007,24,高雄市,仁武區,F,0,5~9,1,64000,64000170
045a,2007,24,台中市,烏日區,F,0,1,1,66000,66000230
045a,2007,25,台北市,大安區,F,0,1,1,63000,63000030
045a,2007,25,新北市,樹林區,F,0,5~9,1,65000,65000070
045a,2007,25,桃園市,八德區,F,0,5~9,1,68000,68000080
045a,2007,28,桃園市,蘆竹區,M,0,1,1,68000,68000050
045a,2007,30,新竹縣,關西鎮,M,0,1,1,10004,10004040
