確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
045a,2003,01,苗栗縣,頭份市,M,0,1,1,10005,10005050
045a,2003,01,屏東縣,麟洛鄉,F,0,10~14,1,10013,10013070
045a,2003,01,高雄市,大社區,M,0,30~34,1,64000,64000160
045a,2003,01,新北市,板橋區,F,0,1,1,65000,65000010
045a,2003,01,新北市,永和區,F,0,2,1,65000,65000040
045a,2003,01,新北市,蘆洲區,M,0,0,1,65000,65000140
045a,2003,03,台北市,大同區,M,0,3,1,63000,63000060
045a,2003,03,台北市,萬華區,F,0,5~9,1,63000,63000070
045a,2003,03,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2003,03,台中市,潭子區,F,0,2,1,66000,66000170
045a,2003,03,台南市,東區,M,0,45~49,1,67000,67000320
045a,2003,03,台南市,東區,M,0,50~54,1,67000,67000320
045a,2003,04,苗栗縣,三灣鄉,M,0,0,1,10005,10005160
045a,2003,04,屏東縣,屏東市,F,0,3,1,10013,10013010
045a,2003,04,屏東縣,萬丹鄉,M,0,1,1,10013,10013050
045a,2003,04,屏東縣,萬丹鄉,M,0,5~9,1,10013,10013050
045a,2003,04,台北市,文山區,F,0,5~9,1,63000,63000080
045a,2003,04,高雄市,前鎮區,M,0,5~9,1,64000,64000090
045a,2003,04,高雄市,美濃區,F,0,15~19,1,64000,64000310
045a,2003,04,新北市,三重區,F,0,0,1,65000,65000020
045a,2003,04,新北市,樹林區,M,0,5~9,1,65000,65000070
045a,2003,05,新竹縣,竹東鎮,M,0,0,1,10004,10004020
045a,2003,05,嘉義縣,民雄鄉,M,0,10~14,1,10010,10010050
045a,2003,05,台北市,文山區,F,0,1,1,63000,63000080
045a,2003,05,台中市,大雅區,M,0,1,1,66000,66000180
045a,2003,07,屏東縣,內埔鄉,M,0,2,1,10013,10013130
045a,2003,07,台北市,內湖區,F,0,5~9,1,63000,63000100
045a,2003,07,高雄市,左營區,F,0,25~29,1,64000,64000030
045a,2003,07,高雄市,路竹區,M,0,20~24,1,64000,64000240
045a,2003,07,新北市,板橋區,F,0,1,1,65000,65000010
045a,2003,07,台中市,沙鹿區,M,0,0,1,66000,66000130
045a,2003,08,雲林縣,北港鎮,M,0,10~14,1,10009,10009060
045a,2003,08,屏東縣,屏東市,F,0,1,1,10013,10013010
045a,2003,08,台北市,大安區,F,0,10~14,1,63000,63000030
045a,2003,08,高雄市,左營區,F,0,45~49,1,64000,64000030
045a,2003,08,新北市,蘆洲區,M,0,5~9,1,65000,65000140
045a,2003,09,屏東縣,屏東市,M,0,3,1,10013,10013010
045a,2003,09,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2003,09,台北市,大安區,F,0,3,1,63000,63000030
045a,2003,09,台中市,西屯區,M,0,0,1,66000,66000060
045a,2003,09,台南市,南區,M,0,0,1,67000,67000330
045a,2003,09,台南市,東區,F,0,10~14,1,67000,67000320
045a,2003,10,金門縣,金城鎮,M,0,65~69,1,09020,09020010
045a,2003,10,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
045a,2003,10,基隆市,七堵區,M,0,0,1,10017,10017020
045a,2003,10,高雄市,前鎮區,M,0,20~24,1,64000,64000090
045a,2003,10,新北市,鶯歌區,M,0,2,1,65000,65000080
045a,2003,10,台南市,安南區,F,0,65~69,1,67000,67000350
045a,2003,10,桃園市,蘆竹區,F,0,2,1,68000,68000050
045a,2003,11,宜蘭縣,宜蘭市,F,0,5~9,1,10002,10002010
045a,2003,11,苗栗縣,公館鄉,F,0,5~9,1,10005,10005090
045a,2003,11,南投縣,埔里鎮,M,0,1,1,10008,10008020
045a,2003,11,新竹市,其他,M,0,5~9,1,10018,10018999
045a,2003,11,新竹市,東區,M,0,1,1,10018,10018010
045a,2003,11,台北市,內湖區,M,0,45~49,1,63000,63000100
045a,2003,11,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2003,11,高雄市,左營區,F,0,20~24,1,64000,64000030
045a,2003,11,高雄市,林園區,M,0,10~14,1,64000,64000130
045a,2003,11,台中市,潭子區,F,0,10~14,1,66000,66000170
045a,2003,12,屏東縣,新園鄉,M,0,60~64,1,10013,10013170
045a,2003,12,高雄市,前鎮區,M,0,2,1,64000,64000090
045a,2003,12,高雄市,左營區,M,0,40~44,1,64000,64000030
045a,2003,12,高雄市,橋頭區,M,0,40~44,1,64000,64000200
045a,2003,12,高雄市,苓雅區,M,0,10~14,1,64000,64000080
045a,2003,12,高雄市,鳳山區,M,0,70+,1,64000,64000120
045a,2004,01,屏東縣,屏東市,F,0,5~9,1,10013,10013010
045a,2004,01,新北市,三重區,M,0,35~39,1,65000,65000020
045a,2004,01,台中市,北屯區,M,0,5~9,1,66000,66000080
045a,2004,01,台南市,永康區,M,0,30~34,1,67000,67000310
045a,2004,01,桃園市,大園區,M,0,3,1,68000,68000060
045a,2004,02,南投縣,中寮鄉,M,0,3,1,10008,10008080
045a,2004,02,嘉義縣,新港鄉,F,0,5~9,1,10010,10010070
045a,2004,02,高雄市,三民區,M,0,55~59,1,64000,64000050
045a,2004,02,高雄市,鳥松區,F,0,65~69,1,64000,64000180
045a,2004,02,台中市,清水區,M,0,5~9,1,66000,66000120
045a,2004,03,雲林縣,土庫鎮,F,0,4,1,10009,10009050
045a,2004,03,高雄市,旗山區,F,0,40~44,1,64000,64000300
045a,2004,03,高雄市,美濃區,M,0,60~64,1,64000,64000310
045a,2004,03,台中市,梧棲區,M,0,5~9,1,66000,66000140
045a,2004,03,台南市,永康區,M,0,10~14,1,67000,67000310
045a,2004,04,苗栗縣,苗栗市,M,0,1,1,10005,10005010
045a,2004,04,南投縣,南投市,F,0,5~9,1,10008,10008010
045a,2004,04,雲林縣,斗六市,M,0,5~9,1,10009,10009010
045a,2004,04,高雄市,楠梓區,F,0,40~44,1,64000,64000040
045a,2004,04,高雄市,苓雅區,F,0,5~9,1,64000,64000080
045a,2004,04,台南市,永康區,M,0,4,1,67000,67000310
045a,2004,05,花蓮縣,花蓮市,M,0,1,1,10015,10015010
045a,2004,05,高雄市,三民區,M,0,5~9,1,64000,64000050
045a,2004,05,桃園市,八德區,M,0,15~19,1,68000,68000080
045a,2004,05,桃園市,觀音區,F,0,10~14,1,68000,68000120
045a,2004,06,高雄市,鳳山區,F,0,65~69,1,64000,64000120
045a,2004,06,台中市,南區,M,0,5~9,1,66000,66000030
045a,2004,06,台中市,南屯區,F,0,5~9,1,66000,66000070
045a,2004,06,台中市,豐原區,M,0,1,1,66000,66000090
045a,2004,06,台中市,龍井區,F,0,2,1,66000,66000250
045a,2004,07,新竹縣,芎林鄉,M,0,20~24,1,10004,10004070
045a,2004,07,屏東縣,獅子鄉,M,0,5~9,1,10013,10013320
045a,2004,08,彰化縣,大村鄉,M,0,4,1,10007,10007130
045a,2004,08,台北市,內湖區,M,0,3,1,63000,63000100
045a,2004,08,台北市,萬華區,F,0,1,1,63000,63000070
045a,2004,08,高雄市,前鎮區,M,0,4,1,64000,64000090
045a,2004,08,高雄市,小港區,M,0,5~9,1,64000,64000110
045a,2004,08,高雄市,梓官區,F,0,60~64,1,64000,64000290
045a,2004,08,高雄市,鳳山區,M,0,70+,1,64000,64000120
045a,2004,08,台中市,大安區,F,0,2,1,66000,66000220
045a,2004,09,嘉義縣,竹崎鄉,M,0,15~19,1,10010,10010140
045a,2004,09,高雄市,新興區,M,0,5~9,1,64000,64000060
045a,2004,09,高雄市,鼓山區,F,0,5~9,1,64000,64000020
045a,2004,09,新北市,三重區,F,0,25~29,1,65000,65000020
045a,2004,09,新北市,淡水區,M,0,0,1,65000,65000100
045a,2004,10,屏東縣,屏東市,M,0,10~14,2,10013,10013010
045a,2004,10,屏東縣,屏東市,F,0,5~9,1,10013,10013010
045a,2004,10,高雄市,楠梓區,M,0,10~14,1,64000,64000040
045a,2004,11,彰化縣,彰化市,F,0,0,1,10007,10007010
045a,2004,11,雲林縣,虎尾鎮,F,0,5~9,1,10009,10009030
045a,2004,11,新竹市,北區,M,0,5~9,1,10018,10018020
045a,2004,11,高雄市,小港區,F,0,4,1,64000,64000110
045a,2004,11,高雄市,苓雅區,M,0,3,1,64000,64000080
045a,2004,11,台南市,永康區,F,0,4,1,67000,67000310
045a,2004,12,新北市,中和區,M,0,70+,1,65000,65000030
045a,2005,01,宜蘭縣,壯圍鄉,M,0,10~14,1,10002,10002060
045a,2005,01,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2005,01,屏東縣,麟洛鄉,M,0,5~9,1,10013,10013070
045a,2005,01,高雄市,三民區,M,0,5~9,1,64000,64000050
045a,2005,01,高雄市,前鎮區,M,0,10~14,1,64000,64000090
