確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070d,2005,13,南投縣,南投市,M,0,20~24,1,10008,10008010
070d,2005,17,台南市,鹽水區,M,0,35~39,1,67000,67000020
070d,2005,19,台南市,安南區,M,0,55~59,1,67000,67000350
070d,2005,46,台南市,永康區,M,0,55~59,1,67000,67000310
070d,2006,2,台南市,安平區,M,0,30~34,1,67000,67000360
070d,2006,24,新竹縣,竹東鎮,M,0,40~44,1,10004,10004020
070d,2006,24,台北市,文山區,M,0,70+,1,63000,63000080
070d,2006,24,台北市,文山區,M,0,70+,1,63000,63000081
070d,2006,24,台北市,文山區,M,0,70+,1,63000,63000082
070d,2006,33,新竹縣,竹北市,M,0,20~24,1,10004,10004010
070d,2006,44,彰化縣,彰化市,M,0,15~19,1,10007,10007010
070d,2007,14,台南市,新營區,M,0,50~54,1,67000,67000010
070d,2008,12,台南市,永康區,M,0,55~59,1,67000,67000310
070d,2008,33,台南市,南區,M,0,45~49,1,67000,67000330
070d,2008,36,雲林縣,麥寮鄉,M,0,30~34,1,10009,10009130
070d,2008,39,台南市,永康區,M,0,50~54,1,67000,67000310
070d,2010,5,台南市,北區,M,0,40~44,1,67000,67000340
070d,2010,15,基隆市,中山區,M,0,40~44,1,10017,10017050
070d,2014,32,台中市,南屯區,M,0,35~39,1,66000,66000070
070d,2015,11,新北市,新莊區,M,0,45~49,1,65000,65000050
070d,2015,45,台北市,大安區,M,0,40~44,1,63000,63000030
070d,2016,8,台北市,內湖區,M,0,25~29,1,63000,63000100
070d,2017,2,台南市,北區,M,0,40~44,1,67000,67000340
070d,2021,39,新北市,中和區,M,0,65~69,1,65000,65000030
