確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070d,2003,01,屏東縣,東港鎮,M,0,20~24,1,10013,10013030
070d,2003,01,新竹市,北區,M,0,45~49,1,10018,10018020
070d,2003,02,桃園市,中壢區,M,0,45~49,1,68000,68000020
070d,2003,04,高雄市,小港區,M,0,35~39,1,64000,64000110
070d,2003,04,高雄市,小港區,M,0,40~44,1,64000,64000110
070d,2003,04,高雄市,鳳山區,F,0,35~39,1,64000,64000120
070d,2003,06,新竹市,東區,M,0,30~34,1,10018,10018010
070d,2003,08,基隆市,七堵區,M,0,20~24,1,10017,10017020
070d,2003,09,苗栗縣,頭份市,M,0,45~49,1,10005,10005050
070d,2003,10,桃園市,桃園區,M,0,30~34,1,68000,68000010
070d,2003,12,新北市,蘆洲區,M,0,40~44,1,65000,65000140
070d,2004,01,屏東縣,屏東市,M,0,50~54,1,10013,10013010
070d,2004,01,台北市,松山區,F,0,35~39,1,63000,63000010
070d,2004,01,桃園市,八德區,M,0,40~44,1,68000,68000080
070d,2004,02,苗栗縣,頭份市,M,0,35~39,1,10005,10005050
070d,2004,02,新竹市,北區,M,0,40~44,1,10018,10018020
070d,2004,02,高雄市,大寮區,M,0,35~39,1,64000,64000140
070d,2004,04,新竹市,東區,M,0,50~54,1,10018,10018010
070d,2004,07,宜蘭縣,羅東鎮,F,1,25~29,1,10002,10002020
070d,2004,07,台南市,關廟區,M,0,30~34,1,67000,67000290
070d,2004,10,新竹市,東區,M,0,50~54,1,10018,10018010
070d,2004,12,南投縣,南投市,M,0,20~24,1,10008,10008010
070d,2004,12,台北市,士林區,M,0,30~34,1,63000,63000110
070d,2005,03,新竹縣,新豐鄉,M,0,45~49,1,10004,10004060
070d,2005,04,台南市,安南區,M,0,55~59,1,67000,67000350
070d,2005,04,台南市,鹽水區,M,0,35~39,1,67000,67000020
070d,2005,10,台南市,永康區,M,0,55~59,1,67000,67000310
070d,2006,01,台南市,安平區,M,0,30~34,1,67000,67000360
070d,2006,02,新竹縣,竹東鎮,M,0,40~44,1,10004,10004020
070d,2006,02,台北市,文山區,M,0,70+,1,63000,63000080
070d,2006,02,台北市,文山區,M,0,70+,1,63000,63000081
070d,2006,02,台北市,文山區,M,0,70+,1,63000,63000082
070d,2006,08,新竹縣,竹北市,M,0,20~24,1,10004,10004010
070d,2006,10,彰化縣,彰化市,M,0,15~19,1,10007,10007010
070d,2007,03,台南市,新營區,M,0,50~54,1,67000,67000010
070d,2008,02,台南市,永康區,M,0,55~59,1,67000,67000310
070d,2008,06,台南市,永康區,M,0,50~54,1,67000,67000310
070d,2008,07,台南市,南區,M,0,45~49,1,67000,67000330
070d,2008,09,雲林縣,麥寮鄉,M,0,30~34,1,10009,10009130
070d,2009,05,基隆市,中山區,M,0,40~44,1,10017,10017050
070d,2010,01,台南市,北區,M,0,40~44,1,67000,67000340
070d,2014,07,台中市,南屯區,M,0,35~39,1,66000,66000070
070d,2015,03,新北市,新莊區,M,0,45~49,1,65000,65000050
070d,2015,10,台北市,大安區,M,0,40~44,1,63000,63000030
070d,2016,02,台北市,內湖區,M,0,25~29,1,63000,63000100
070d,2016,12,台南市,北區,M,0,40~44,1,67000,67000340
070d,2021,08,新北市,中和區,M,0,65~69,1,65000,65000030
