確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070e,2004,25,高雄市,苓雅區,M,0,35~39,1,64000,64000080
070e,2004,27,南投縣,竹山鎮,M,0,20~24,1,10008,10008040
070e,2004,28,台南市,仁德區,F,0,70+,1,67000,67000270
070e,2004,30,高雄市,新興區,M,0,50~54,1,64000,64000060
070e,2004,31,台北市,萬華區,M,1,70+,1,63000,63000070
070e,2004,35,桃園市,八德區,M,0,70+,1,68000,68000080
070e,2004,36,新北市,新莊區,F,0,45~49,1,65000,65000050
070e,2004,39,高雄市,那瑪夏區,M,0,55~59,1,64000,64000380
070e,2004,52,台南市,北區,F,0,50~54,1,67000,67000340
070e,2005,5,台南市,北區,M,0,40~44,1,67000,67000340
070e,2005,13,南投縣,南投市,M,0,20~24,1,10008,10008010
070e,2005,13,新北市,新店區,M,0,70+,1,65000,65000060
070e,2005,14,台中市,后里區,M,0,35~39,1,66000,66000150
070e,2005,16,台北市,文山區,M,0,55~59,1,63000,63000080
070e,2005,16,高雄市,鳥松區,M,1,25~29,1,64000,64000180
070e,2005,19,台南市,永康區,F,0,20~24,1,67000,67000310
070e,2005,21,彰化縣,埔心鄉,M,0,65~69,1,10007,10007150
070e,2005,22,彰化縣,彰化市,M,0,55~59,1,10007,10007010
070e,2005,22,花蓮縣,吉安鄉,M,0,60~64,1,10015,10015050
070e,2005,27,桃園市,龜山區,M,1,45~49,1,68000,68000070
070e,2005,38,台東縣,成功鎮,M,0,20~24,1,10014,10014020
070e,2005,40,台中市,西區,M,1,20~24,1,66000,66000040
070e,2005,40,台南市,安南區,F,0,40~44,1,67000,67000350
070e,2005,41,新北市,三重區,M,0,40~44,1,65000,65000020
070e,2006,7,高雄市,三民區,F,0,30~34,1,64000,64000050
070e,2006,10,台南市,永康區,F,0,35~39,1,67000,67000310
070e,2006,11,高雄市,那瑪夏區,M,0,70+,1,64000,64000380
070e,2006,15,雲林縣,古坑鄉,M,0,40~44,1,10009,10009070
070e,2006,17,新北市,蘆洲區,M,1,45~49,1,65000,65000140
070e,2006,20,桃園市,八德區,M,0,70+,1,68000,68000080
070e,2006,21,高雄市,前鎮區,M,0,70+,1,64000,64000090
070e,2006,27,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
070e,2006,32,台北市,大安區,M,0,30~34,1,63000,63000030
070e,2006,44,雲林縣,林內鄉,M,0,55~59,1,10009,10009100
070e,2007,7,台北市,士林區,M,0,55~59,1,63000,63000110
070e,2007,7,新北市,新店區,M,0,70+,1,65000,65000060
070e,2007,10,新北市,三重區,M,1,50~54,1,65000,65000020
070e,2007,15,新北市,永和區,F,0,70+,1,65000,65000040
070e,2007,18,新北市,新莊區,M,0,40~44,1,65000,65000050
070e,2007,21,台中市,北區,M,1,40~44,1,66000,66000050
070e,2007,23,台北市,大安區,M,1,60~64,1,63000,63000030
070e,2007,45,台中市,太平區,M,0,70+,1,66000,66000270
070e,2007,48,南投縣,信義鄉,M,0,70+,1,10008,10008120
070e,2008,1,雲林縣,虎尾鎮,M,1,60~64,1,10009,10009030
070e,2008,2,台北市,文山區,F,1,50~54,1,63000,63000080
070e,2008,3,台北市,萬華區,M,1,25~29,1,63000,63000070
070e,2008,11,台北市,大安區,M,0,35~39,1,63000,63000030
070e,2008,20,台中市,西區,M,0,35~39,1,66000,66000040
070e,2008,22,台北市,文山區,M,1,55~59,1,63000,63000080
070e,2008,28,新竹市,東區,M,1,25~29,1,10018,10018010
070e,2008,29,新北市,土城區,M,1,50~54,1,65000,65000130
070e,2008,30,新北市,中和區,M,1,50~54,1,65000,65000030
070e,2008,31,新北市,新店區,F,0,20~24,1,65000,65000060
070e,2008,31,台南市,楠西區,F,0,30~34,1,67000,67000240
070e,2008,32,新北市,新店區,F,0,65~69,1,65000,65000060
070e,2008,32,新北市,蘆洲區,M,0,30~34,1,65000,65000140
070e,2008,33,新北市,新店區,M,0,45~49,1,65000,65000060
070e,2008,34,基隆市,七堵區,F,0,35~39,1,10017,10017020
070e,2008,37,台北市,士林區,F,0,30~34,1,63000,63000110
070e,2008,45,嘉義市,東區,M,0,70+,1,10020,10020010
070e,2009,4,台北市,大安區,M,0,60~64,1,63000,63000030
070e,2009,4,台中市,西屯區,M,0,50~54,1,66000,66000060
070e,2009,6,南投縣,信義鄉,M,0,55~59,1,10008,10008120
070e,2009,13,雲林縣,西螺鎮,M,0,50~54,1,10009,10009040
070e,2009,29,高雄市,鳳山區,F,1,30~34,1,64000,64000120
070e,2009,34,新竹市,香山區,M,1,30~34,1,10018,10018030
070e,2009,38,新北市,中和區,F,1,65~69,1,65000,65000030
070e,2009,40,新北市,中和區,M,1,70+,1,65000,65000030
070e,2009,47,雲林縣,斗南鎮,M,0,60~64,1,10009,10009020
070e,2010,6,桃園市,桃園區,M,0,45~49,1,68000,68000010
070e,2010,26,台北市,中山區,F,0,40~44,1,63000,63000040
070e,2010,28,高雄市,三民區,M,0,70+,1,64000,64000050
070e,2010,29,新北市,新莊區,F,1,30~34,1,65000,65000050
070e,2010,32,桃園市,桃園區,F,0,25~29,1,68000,68000010
070e,2010,36,台南市,東區,M,1,60~64,1,67000,67000320
070e,2010,52,新北市,中和區,F,0,30~34,1,65000,65000030
070e,2011,5,台中市,潭子區,M,0,65~69,1,66000,66000170
070e,2011,13,新竹市,東區,M,1,30~34,1,10018,10018010
070e,2011,13,桃園市,桃園區,M,1,50~54,1,68000,68000010
070e,2011,17,新北市,新店區,M,1,50~54,1,65000,65000060
070e,2011,22,台北市,萬華區,M,0,70+,1,63000,63000070
070e,2011,23,新北市,三重區,M,0,50~54,1,65000,65000020
070e,2011,36,新北市,汐止區,M,1,45~49,1,65000,65000110
070e,2011,40,新北市,三芝區,M,0,60~64,1,65000,65000210
070e,2011,44,彰化縣,二林鎮,M,0,40~44,1,10007,10007200
070e,2011,49,新北市,三重區,M,0,40~44,1,65000,65000020
070e,2011,50,台中市,南區,M,1,60~64,1,66000,66000030
070e,2011,52,台中市,西屯區,M,1,55~59,1,66000,66000060
070e,2012,2,台北市,文山區,F,0,65~69,1,63000,63000080
070e,2012,8,新竹縣,新埔鎮,M,0,55~59,1,10004,10004030
070e,2012,10,台北市,萬華區,M,0,70+,1,63000,63000070
070e,2012,20,新北市,永和區,M,1,45~49,1,65000,65000040
070e,2012,22,屏東縣,內埔鄉,M,0,40~44,1,10013,10013130
070e,2012,38,桃園市,平鎮區,M,1,50~54,1,68000,68000100
070e,2012,41,屏東縣,高樹鄉,F,0,70+,1,10013,10013110
070e,2012,41,台南市,新營區,M,0,60~64,1,67000,67000010
070e,2012,50,新北市,中和區,F,0,60~64,1,65000,65000030
070e,2013,4,台北市,文山區,M,1,35~39,1,63000,63000080
070e,2013,15,台北市,中山區,F,0,25~29,1,63000,63000040
070e,2013,21,雲林縣,古坑鄉,F,0,55~59,1,10009,10009070
