確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070e,2003,02,屏東縣,竹田鄉,M,0,35~39,1,10013,10013140
070e,2003,03,台北市,內湖區,M,0,30~34,1,63000,63000100
070e,2003,03,高雄市,岡山區,M,0,50~54,1,64000,64000190
070e,2003,03,台南市,新市區,F,0,15~19,1,67000,67000200
070e,2003,04,新北市,板橋區,M,0,55~59,1,65000,65000010
070e,2003,04,桃園市,復興區,M,0,50~54,1,68000,68000130
070e,2003,05,新北市,三峽區,M,0,65~69,1,65000,65000090
070e,2003,09,南投縣,竹山鎮,M,0,20~24,1,10008,10008040
070e,2003,10,台北市,文山區,F,0,45~49,1,63000,63000080
070e,2003,10,高雄市,茄萣區,M,0,35~39,1,64000,64000260
070e,2003,11,台南市,南區,M,0,35~39,1,67000,67000330
070e,2004,01,基隆市,暖暖區,M,1,70+,1,10017,10017030
070e,2004,01,台南市,東區,F,0,35~39,1,67000,67000320
070e,2004,03,台北市,文山區,M,1,70+,1,63000,63000080
070e,2004,03,高雄市,橋頭區,F,0,20~24,1,64000,64000200
070e,2004,03,桃園市,中壢區,M,1,70+,1,68000,68000020
070e,2004,04,台中縣(舊),太平市,M,0,35~39,1,10006,10006190
070e,2004,04,台北市,信義區,M,1,35~39,1,63000,63000020
070e,2004,04,新北市,新店區,M,0,65~69,1,65000,65000060
070e,2004,05,高雄市,苓雅區,M,0,35~39,1,64000,64000080
070e,2004,06,高雄市,新興區,M,0,50~54,1,64000,64000060
070e,2004,06,台南市,仁德區,F,0,70+,1,67000,67000270
070e,2004,07,台北市,萬華區,M,1,70+,1,63000,63000070
070e,2004,07,桃園市,八德區,M,0,70+,1,68000,68000080
070e,2004,08,高雄市,那瑪夏區,M,0,55~59,1,64000,64000380
070e,2004,08,新北市,新莊區,F,0,45~49,1,65000,65000050
070e,2004,11,台南市,北區,M,0,40~44,1,67000,67000340
070e,2004,11,台南市,北區,F,0,50~54,1,67000,67000340
070e,2004,12,南投縣,南投市,M,0,20~24,1,10008,10008010
070e,2004,12,新北市,三重區,M,0,40~44,1,65000,65000020
070e,2005,01,南投縣,仁愛鄉,M,0,55~59,1,10008,10008130
070e,2005,01,新竹市,東區,M,1,40~44,1,10018,10018010
070e,2005,02,台中市,后里區,M,0,35~39,1,66000,66000150
070e,2005,03,台北市,內湖區,M,0,35~39,1,63000,63000100
070e,2005,03,台北市,文山區,M,0,55~59,1,63000,63000080
070e,2005,03,高雄市,鳥松區,M,1,25~29,1,64000,64000180
070e,2005,03,新北市,新店區,M,0,70+,1,65000,65000060
070e,2005,04,彰化縣,彰化市,M,0,55~59,1,10007,10007010
070e,2005,04,台南市,永康區,F,0,20~24,1,67000,67000310
070e,2005,04,桃園市,龜山區,M,1,45~49,1,68000,68000070
070e,2005,05,彰化縣,埔心鄉,M,0,65~69,1,10007,10007150
070e,2005,05,台東縣,成功鎮,M,0,20~24,1,10014,10014020
070e,2005,05,花蓮縣,吉安鄉,M,0,60~64,1,10015,10015050
070e,2005,05,台北市,信義區,F,0,35~39,1,63000,63000020
070e,2005,06,高雄市,楠梓區,M,0,70+,1,64000,64000040
070e,2005,08,嘉義縣,中埔鄉,M,0,40~44,1,10010,10010130
070e,2005,09,台中市,西區,M,1,20~24,1,66000,66000040
070e,2005,09,台南市,安南區,F,0,40~44,1,67000,67000350
070e,2005,10,新北市,三重區,M,0,40~44,1,65000,65000020
070e,2005,11,桃園市,中壢區,M,1,55~59,2,68000,68000020
070e,2006,01,高雄市,三民區,F,0,30~34,1,64000,64000050
070e,2006,02,台北市,大安區,M,0,30~34,1,63000,63000030
070e,2006,03,雲林縣,古坑鄉,M,0,40~44,1,10009,10009070
070e,2006,03,台南市,永康區,F,0,35~39,1,67000,67000310
070e,2006,04,彰化縣,鹿港鎮,M,0,55~59,1,10007,10007020
070e,2006,04,高雄市,前鎮區,M,0,70+,1,64000,64000090
070e,2006,04,新北市,蘆洲區,M,1,45~49,1,65000,65000140
070e,2006,05,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
070e,2006,07,桃園市,復興區,M,0,50~54,1,68000,68000130
070e,2006,10,雲林縣,林內鄉,M,0,55~59,1,10009,10009100
070e,2007,01,台北市,士林區,M,0,55~59,1,63000,63000110
070e,2007,01,新北市,三重區,M,1,50~54,1,65000,65000020
070e,2007,01,新北市,新店區,M,0,70+,1,65000,65000060
070e,2007,03,新北市,永和區,F,0,70+,1,65000,65000040
070e,2007,04,新北市,新莊區,M,0,40~44,1,65000,65000050
070e,2007,04,台中市,北區,M,1,40~44,1,66000,66000050
070e,2007,05,台北市,大安區,M,1,60~64,1,63000,63000030
070e,2007,09,雲林縣,虎尾鎮,M,1,60~64,1,10009,10009030
070e,2007,10,台中市,太平區,M,0,70+,1,66000,66000270
070e,2007,11,南投縣,信義鄉,M,0,70+,1,10008,10008120
070e,2007,12,台北市,文山區,F,1,50~54,1,63000,63000080
070e,2007,12,台北市,萬華區,M,1,25~29,1,63000,63000070
070e,2008,02,台北市,大安區,M,0,35~39,1,63000,63000030
070e,2008,02,新北市,蘆洲區,M,0,30~34,1,65000,65000140
070e,2008,04,新北市,新店區,F,0,65~69,1,65000,65000060
070e,2008,05,台北市,文山區,M,1,55~59,1,63000,63000080
070e,2008,05,新北市,土城區,M,1,50~54,1,65000,65000130
070e,2008,05,台中市,西區,M,0,35~39,1,66000,66000040
070e,2008,06,新竹市,東區,M,1,25~29,1,10018,10018010
070e,2008,07,新北市,中和區,M,1,50~54,1,65000,65000030
070e,2008,07,新北市,新店區,F,0,20~24,1,65000,65000060
070e,2008,07,新北市,新店區,M,0,45~49,1,65000,65000060
070e,2008,07,台南市,楠西區,F,0,30~34,1,67000,67000240
070e,2008,08,基隆市,七堵區,F,0,35~39,1,10017,10017020
070e,2008,09,台北市,士林區,F,0,30~34,1,63000,63000110
070e,2008,10,嘉義市,東區,M,0,70+,1,10020,10020010
070e,2009,01,南投縣,信義鄉,M,0,55~59,1,10008,10008120
070e,2009,01,台北市,大安區,M,0,60~64,1,63000,63000030
070e,2009,01,台中市,西屯區,M,0,50~54,1,66000,66000060
070e,2009,02,雲林縣,西螺鎮,M,0,50~54,1,10009,10009040
070e,2009,05,高雄市,鳳山區,F,1,30~34,1,64000,64000120
070e,2009,08,新竹市,香山區,M,1,30~34,1,10018,10018030
070e,2009,08,新北市,中和區,M,1,70+,1,65000,65000030
