確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070x,2005,41,嘉義市,西區,M,0,3,1,10020,10020020
070x,2005,41,台北市,中正區,M,0,70+,1,63000,63000050
070x,2005,41,桃園市,中壢區,F,0,4,1,68000,68000020
070x,2005,44,彰化縣,鹿港鎮,M,0,5~9,1,10007,10007020
070x,2005,45,桃園市,楊梅區,M,0,70+,1,68000,68000040
070x,2005,46,雲林縣,斗六市,F,0,65~69,1,10009,10009010
070x,2005,49,雲林縣,斗六市,M,0,40~44,1,10009,10009010
070x,2005,50,高雄市,前金區,F,0,15~19,1,64000,64000070
070x,2005,50,台南市,鹽水區,F,0,55~59,1,67000,67000020
070x,2006,3,台南市,北區,M,0,50~54,1,67000,67000340
070x,2006,7,高雄市,左營區,F,0,40~44,1,64000,64000030
070x,2006,24,苗栗縣,公館鄉,F,0,55~59,1,10005,10005090
070x,2006,27,新竹縣,尖石鄉,M,0,20~24,1,10004,10004120
070x,2006,27,台北市,士林區,M,0,25~29,1,63000,63000110
070x,2006,27,新北市,三重區,M,0,60~64,1,65000,65000020
070x,2006,27,桃園市,大園區,F,0,45~49,1,68000,68000060
070x,2006,29,台北市,文山區,F,0,30~34,1,63000,63000080
070x,2006,29,台北市,文山區,F,0,30~34,1,63000,63000081
070x,2006,29,台北市,文山區,F,0,30~34,1,63000,63000082
070x,2006,32,台北市,南港區,M,0,15~19,1,63000,63000090
070x,2006,33,新竹市,北區,F,0,65~69,1,10018,10018020
070x,2006,38,台北市,北投區,M,0,45~49,1,63000,63000120
070x,2006,42,台北市,中山區,F,0,65~69,1,63000,63000040
070x,2007,9,宜蘭縣,礁溪鄉,M,0,35~39,1,10002,10002050
070x,2007,11,高雄市,苓雅區,F,0,15~19,1,64000,64000080
070x,2007,23,台北市,南港區,F,0,35~39,1,63000,63000090
070x,2007,25,台北市,大同區,F,0,70+,1,63000,63000060
070x,2007,32,台南市,安南區,M,0,20~24,1,67000,67000350
070x,2007,35,高雄市,大寮區,F,0,30~34,1,64000,64000140
070x,2007,36,嘉義縣,東石鄉,F,0,60~64,1,10010,10010090
070x,2007,42,新北市,蘆洲區,M,0,10~14,1,65000,65000140
070x,2007,46,台北市,南港區,F,0,10~14,1,63000,63000090
070x,2007,52,新北市,淡水區,M,0,25~29,1,65000,65000100
070x,2008,2,高雄市,前鎮區,F,0,50~54,1,64000,64000090
070x,2008,8,高雄市,鼓山區,M,0,65~69,1,64000,64000020
