確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
070x,2005,02,台北市,中正區,M,0,70+,1,63000,63000050
070x,2005,04,桃園市,中壢區,F,0,4,1,68000,68000020
070x,2005,05,彰化縣,鹿港鎮,M,0,5~9,1,10007,10007020
070x,2005,05,嘉義市,西區,M,0,3,1,10020,10020020
070x,2005,09,台南市,鹽水區,F,0,55~59,1,67000,67000020
070x,2005,09,桃園市,楊梅區,M,0,70+,1,68000,68000040
070x,2005,11,雲林縣,斗六市,M,0,40~44,1,10009,10009010
070x,2005,11,雲林縣,斗六市,F,0,65~69,1,10009,10009010
070x,2005,11,高雄市,前金區,F,0,15~19,1,64000,64000070
070x,2005,12,新竹縣,尖石鄉,M,0,20~24,1,10004,10004120
070x,2005,12,台北市,士林區,M,0,25~29,1,63000,63000110
070x,2005,12,新北市,三重區,M,0,60~64,1,65000,65000020
070x,2005,12,台南市,北區,M,0,50~54,1,67000,67000340
070x,2006,02,高雄市,左營區,F,0,40~44,1,64000,64000030
070x,2006,03,苗栗縣,公館鄉,F,0,55~59,1,10005,10005090
070x,2006,05,台北市,南港區,M,0,15~19,1,63000,63000090
070x,2006,05,桃園市,大園區,F,0,45~49,1,68000,68000060
070x,2006,06,台北市,中山區,F,0,65~69,1,63000,63000040
070x,2006,07,新竹市,北區,F,0,65~69,1,10018,10018020
070x,2006,07,台北市,文山區,F,0,30~34,1,63000,63000080
070x,2006,09,台北市,北投區,M,0,45~49,1,63000,63000120
070x,2006,12,宜蘭縣,礁溪鄉,M,0,35~39,1,10002,10002050
070x,2007,03,高雄市,苓雅區,F,0,15~19,1,64000,64000080
070x,2007,05,台北市,南港區,F,0,35~39,1,63000,63000090
070x,2007,06,台北市,大同區,F,0,70+,1,63000,63000060
070x,2007,06,高雄市,大寮區,F,0,30~34,1,64000,64000140
070x,2007,08,嘉義縣,東石鄉,F,0,60~64,1,10010,10010090
070x,2007,08,台南市,安南區,M,0,20~24,1,67000,67000350
070x,2007,09,台北市,南港區,F,0,10~14,1,63000,63000090
070x,2007,10,新北市,蘆洲區,M,0,10~14,1,65000,65000140
070x,2007,11,台南市,麻豆區,F,0,65~69,1,67000,67000070
070x,2007,12,高雄市,前鎮區,F,0,50~54,1,64000,64000090
070x,2007,12,新北市,淡水區,M,0,25~29,1,65000,65000100
070x,2008,01,高雄市,鳳山區,M,0,50~54,1,64000,64000120
070x,2008,02,高雄市,鼓山區,M,0,65~69,1,64000,64000020
070x,2008,03,屏東縣,萬巒鄉,F,0,40~44,1,10013,10013120
070x,2008,03,台南市,仁德區,F,0,25~29,1,67000,67000270
070x,2008,04,雲林縣,斗六市,F,0,20~24,1,10009,10009010
070x,2008,04,台中市,南區,F,0,30~34,1,66000,66000030
070x,2008,04,台中市,東勢區,M,0,60~64,1,66000,66000100
070x,2008,04,台南市,南區,F,0,50~54,1,67000,67000330
070x,2008,04,台南市,東區,M,0,50~54,1,67000,67000320
070x,2008,07,基隆市,七堵區,F,0,10~14,1,10017,10017020
070x,2008,07,新北市,新莊區,M,0,3,1,65000,65000050
070x,2008,07,台南市,永康區,F,0,30~34,1,67000,67000310
070x,2008,08,高雄市,三民區,M,0,35~39,1,64000,64000050
070x,2008,09,基隆市,七堵區,M,0,10~14,1,10017,10017020
070x,2008,09,台北市,松山區,F,0,35~39,1,63000,63000010
070x,2008,10,台北市,士林區,F,0,40~44,1,63000,63000110
070x,2008,10,新北市,蘆洲區,M,0,30~34,1,65000,65000140
070x,2008,11,高雄市,前鎮區,F,0,30~34,1,64000,64000090
070x,2008,11,高雄市,苓雅區,F,0,35~39,1,64000,64000080
070x,2008,11,台南市,安南區,M,0,45~49,1,67000,67000350
070x,2008,12,高雄市,前鎮區,M,0,55~59,1,64000,64000090
070x,2008,12,台南市,新化區,M,0,60~64,1,67000,67000180
070x,2009,01,台北市,松山區,F,0,55~59,1,63000,63000010
070x,2009,02,嘉義市,西區,M,0,50~54,1,10020,10020020
070x,2009,02,台南市(舊),北區,M,0,4,1,10021,10021040
070x,2009,02,高雄市,路竹區,F,0,45~49,1,64000,64000240
070x,2009,02,台南市,安南區,F,0,70+,1,67000,67000350
070x,2009,02,台南市,歸仁區,M,0,35~39,1,67000,67000280
070x,2009,03,台北市,信義區,F,0,30~34,1,63000,63000020
