確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0701,2004,19,屏東縣,九如鄉,M,0,60~64,1,10013,10013080
0701,2004,19,嘉義市,其他,F,0,15~19,1,10020,10020999
0701,2004,19,台北市,文山區,M,0,50~54,1,63000,63000080
0701,2004,19,高雄市,三民區,F,0,35~39,1,64000,64000050
0701,2004,19,高雄市,大寮區,M,0,25~29,1,64000,64000140
0701,2004,20,嘉義縣,民雄鄉,F,0,30~34,1,10010,10010050
0701,2004,20,基隆市,仁愛區,M,0,30~34,1,10017,10017040
0701,2004,21,嘉義縣,水上鄉,M,0,45~49,1,10010,10010120
0701,2004,21,台北市,松山區,F,0,25~29,1,63000,63000010
0701,2004,21,台南市,北區,M,0,5~9,1,67000,67000340
0701,2004,23,彰化縣,北斗鎮,F,0,20~24,1,10007,10007190
0701,2004,23,雲林縣,斗六市,M,1,30~34,1,10009,10009010
0701,2004,23,雲林縣,虎尾鎮,F,0,15~19,1,10009,10009030
0701,2004,23,桃園市,龜山區,M,1,30~34,1,68000,68000070
0701,2004,24,嘉義縣,梅山鄉,F,0,45~49,1,10010,10010150
0701,2004,24,嘉義縣,竹崎鄉,M,0,25~29,1,10010,10010140
0701,2004,24,台北市,中正區,M,0,25~29,1,63000,63000050
0701,2004,24,台南市,官田區,M,0,25~29,1,67000,67000100
0701,2004,24,台南市,將軍區,M,0,25~29,1,67000,67000160
0701,2004,24,台南市,新市區,M,0,20~24,1,67000,67000200
0701,2004,24,台南市,永康區,F,0,20~24,1,67000,67000310
0701,2004,24,台南市,永康區,M,0,30~34,1,67000,67000310
0701,2004,25,高雄市,美濃區,M,0,60~64,1,64000,64000310
0701,2004,26,嘉義縣,民雄鄉,F,0,5~9,2,10010,10010050
0701,2004,26,新竹市,東區,F,0,20~24,1,10018,10018010
0701,2004,26,新竹市,東區,M,0,25~29,1,10018,10018010
0701,2004,26,嘉義市,西區,M,0,3,1,10020,10020020
0701,2004,26,嘉義市,西區,M,0,30~34,1,10020,10020020
0701,2004,26,嘉義市,西區,F,0,4,1,10020,10020020
0701,2004,26,台北市,中山區,F,1,30~34,1,63000,63000040
0701,2004,26,台中市,北屯區,M,0,25~29,1,66000,66000080
0701,2004,26,台南市,善化區,M,0,25~29,1,67000,67000190
0701,2004,26,台南市,白河區,M,1,30~34,1,67000,67000030
0701,2004,27,台南市,安南區,F,0,20~24,1,67000,67000350
0701,2004,27,台南市,永康區,M,0,25~29,1,67000,67000310
0701,2004,28,嘉義市,西區,F,0,25~29,1,10020,10020020
0701,2004,30,嘉義縣,民雄鄉,F,0,25~29,1,10010,10010050
0701,2004,30,台北市,士林區,F,0,20~24,1,63000,63000110
0701,2004,30,新北市,五股區,M,1,25~29,1,65000,65000150
0701,2004,30,新北市,新莊區,M,1,25~29,1,65000,65000050
0701,2004,30,新北市,汐止區,F,0,30~34,1,65000,65000110
0701,2004,30,桃園市,桃園區,M,0,50~54,1,68000,68000010
0701,2004,31,苗栗縣,竹南鎮,F,0,30~34,1,10005,10005040
