確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0701,2003,01,苗栗縣,苗栗市,M,0,35~39,1,10005,10005010
0701,2003,01,花蓮縣,富里鄉,F,0,35~39,1,10015,10015100
0701,2003,01,新竹市,東區,M,0,20~24,1,10018,10018010
0701,2003,01,台北市,士林區,F,0,45~49,1,63000,63000110
0701,2003,01,台北市,松山區,F,1,25~29,1,63000,63000010
0701,2003,01,新北市,三重區,F,0,30~34,1,65000,65000020
0701,2003,01,新北市,中和區,F,0,20~24,1,65000,65000030
0701,2003,01,新北市,新店區,F,0,15~19,1,65000,65000060
0701,2003,01,新北市,板橋區,M,0,25~29,1,65000,65000010
0701,2003,01,新北市,樹林區,F,0,15~19,1,65000,65000070
0701,2003,01,新北市,永和區,F,0,25~29,1,65000,65000040
0701,2003,01,台中市,豐原區,F,0,55~59,1,66000,66000090
0701,2003,01,台南市,南區,F,0,45~49,1,67000,67000330
0701,2003,02,苗栗縣,苗栗市,F,0,40~44,1,10005,10005010
0701,2003,02,彰化縣,花壇鄉,M,1,20~24,1,10007,10007080
0701,2003,02,屏東縣,屏東市,F,0,20~24,1,10013,10013010
0701,2003,02,高雄市,小港區,M,0,15~19,1,64000,64000110
0701,2003,02,高雄市,左營區,F,0,25~29,1,64000,64000030
0701,2003,02,高雄市,苓雅區,M,0,25~29,1,64000,64000080
0701,2003,02,新北市,中和區,M,0,20~24,1,65000,65000030
0701,2003,02,台南市,北區,M,0,30~34,1,67000,67000340
0701,2003,02,桃園市,龜山區,F,0,30~34,1,68000,68000070
0701,2003,03,新竹縣,竹北市,M,0,20~24,1,10004,10004010
0701,2003,03,新竹縣,竹北市,M,0,30~34,1,10004,10004010
0701,2003,03,苗栗縣,後龍鎮,F,0,30~34,1,10005,10005060
0701,2003,03,屏東縣,長治鄉,M,0,5~9,1,10013,10013060
0701,2003,03,花蓮縣,吉安鄉,F,0,35~39,1,10015,10015050
0701,2003,03,基隆市,仁愛區,M,0,25~29,1,10017,10017040
0701,2003,03,台北市,內湖區,F,0,25~29,1,63000,63000100
0701,2003,03,台北市,士林區,M,1,25~29,1,63000,63000110
0701,2003,03,台北市,大同區,F,0,15~19,1,63000,63000060
0701,2003,03,台北市,大同區,M,0,35~39,1,63000,63000060
0701,2003,03,台北市,大安區,F,0,40~44,1,63000,63000030
0701,2003,03,台北市,萬華區,F,0,55~59,1,63000,63000070
0701,2003,03,台北市,萬華區,F,0,55~59,1,63000,63000071
0701,2003,03,台北市,萬華區,F,0,55~59,1,63000,63000072
0701,2003,03,新北市,三重區,F,0,35~39,1,65000,65000020
0701,2003,03,新北市,新莊區,M,0,25~29,1,65000,65000050
