確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0703,2004,19,高雄市,美濃區,M,0,65~69,1,64000,64000310
0703,2004,19,新北市,中和區,M,0,70+,1,65000,65000030
0703,2004,19,桃園市,中壢區,M,0,25~29,1,68000,68000020
0703,2004,20,苗栗縣,竹南鎮,F,0,30~34,2,10005,10005040
0703,2004,20,苗栗縣,頭份市,F,0,20~24,1,10005,10005050
0703,2004,20,苗栗縣,頭份市,M,0,30~34,1,10005,10005050
0703,2004,20,彰化縣,員林市,M,0,20~24,1,10007,10007100
0703,2004,20,台北市,內湖區,F,0,50~54,1,63000,63000100
0703,2004,20,台北市,北投區,M,0,20~24,1,63000,63000120
0703,2004,20,台北市,士林區,M,0,30~34,1,63000,63000110
0703,2004,20,新北市,三峽區,M,0,20~24,1,65000,65000090
0703,2004,20,新北市,土城區,M,0,50~54,1,65000,65000130
0703,2004,20,新北市,永和區,M,0,30~34,1,65000,65000040
0703,2004,20,新北市,永和區,M,0,65~69,1,65000,65000040
0703,2004,20,桃園市,八德區,M,0,25~29,1,68000,68000080
0703,2004,20,桃園市,平鎮區,F,0,15~19,2,68000,68000100
0703,2004,20,桃園市,桃園區,M,0,50~54,1,68000,68000010
0703,2004,21,基隆市,暖暖區,M,0,45~49,1,10017,10017030
0703,2004,21,高雄市,左營區,M,0,35~39,1,64000,64000030
0703,2004,21,高雄市,鼓山區,F,0,40~44,1,64000,64000020
0703,2004,21,新北市,樹林區,F,0,30~34,1,65000,65000070
0703,2004,21,台中市,大里區,F,0,20~24,1,66000,66000280
0703,2004,21,桃園市,中壢區,F,0,35~39,1,68000,68000020
0703,2004,21,桃園市,平鎮區,M,0,20~24,1,68000,68000100
0703,2004,22,苗栗縣,竹南鎮,M,0,40~44,1,10005,10005040
0703,2004,22,基隆市,七堵區,M,0,55~59,1,10017,10017020
0703,2004,22,台北市,內湖區,M,0,25~29,1,63000,63000100
0703,2004,22,高雄市,三民區,F,0,40~44,1,64000,64000050
0703,2004,22,高雄市,楠梓區,M,0,15~19,1,64000,64000040
0703,2004,22,新北市,土城區,M,0,20~24,1,65000,65000130
0703,2004,23,宜蘭縣,頭城鎮,M,0,15~19,1,10002,10002040
0703,2004,23,苗栗縣,南庄鄉,M,0,20~24,1,10005,10005110
0703,2004,23,高雄市,岡山區,M,0,45~49,1,64000,64000190
0703,2004,23,新北市,永和區,F,0,70+,1,65000,65000040
0703,2004,23,台南市,南區,M,0,35~39,1,67000,67000330
0703,2004,23,桃園市,龜山區,M,0,35~39,1,68000,68000070
0703,2004,24,基隆市,仁愛區,M,0,20~24,1,10017,10017040
0703,2004,24,新北市,林口區,M,0,15~19,1,65000,65000170
0703,2004,24,新北市,樹林區,M,0,20~24,1,65000,65000070
0703,2004,24,新北市,汐止區,F,0,25~29,1,65000,65000110
0703,2004,25,苗栗縣,公館鄉,M,0,25~29,1,10005,10005090
0703,2004,25,台北市,文山區,M,0,35~39,1,63000,63000080
0703,2004,25,高雄市,三民區,M,0,20~24,1,64000,64000050
0703,2004,25,高雄市,大社區,F,0,15~19,1,64000,64000160
0703,2004,25,高雄市,楠梓區,F,0,20~24,1,64000,64000040
0703,2004,25,台中市,中區,M,0,20~24,1,66000,66000010
0703,2004,25,台南市,安南區,M,0,25~29,1,67000,67000350
0703,2004,25,桃園市,平鎮區,F,0,35~39,1,68000,68000100
0703,2004,26,屏東縣,屏東市,M,0,20~24,1,10013,10013010
0703,2004,26,新竹市,東區,M,0,30~34,1,10018,10018010
0703,2004,26,台北市,信義區,M,0,60~64,1,63000,63000020
0703,2004,26,台北市,內湖區,M,0,30~34,1,63000,63000100
0703,2004,26,高雄市,旗山區,M,0,40~44,1,64000,64000300
0703,2004,26,新北市,板橋區,M,0,25~29,1,65000,65000010
0703,2004,27,屏東縣,鹽埔鄉,M,0,55~59,1,10013,10013100
0703,2004,27,台北市,大同區,M,0,50~54,1,63000,63000060
0703,2004,27,台北市,松山區,M,0,20~24,1,63000,63000010
0703,2004,27,新北市,中和區,M,0,25~29,1,65000,65000030
0703,2004,27,新北市,蘆洲區,M,0,60~64,1,65000,65000140
0703,2004,27,台中市,霧峰區,M,0,40~44,1,66000,66000260
0703,2004,27,桃園市,八德區,M,0,40~44,1,68000,68000080
0703,2004,28,台北市,信義區,M,0,30~34,1,63000,63000020
0703,2004,28,台北市,信義區,M,0,40~44,1,63000,63000020
0703,2004,28,高雄市,三民區,M,0,25~29,1,64000,64000050
0703,2004,28,高雄市,鳳山區,F,0,25~29,1,64000,64000120
0703,2004,28,新北市,中和區,M,0,35~39,1,65000,65000030
0703,2004,28,新北市,板橋區,F,0,25~29,1,65000,65000010
0703,2004,29,台北市,南港區,M,0,30~34,1,63000,63000090
0703,2004,29,台北市,文山區,F,0,70+,1,63000,63000080
0703,2004,29,新北市,三重區,M,0,20~24,1,65000,65000020
0703,2004,29,新北市,三重區,M,0,35~39,1,65000,65000020
0703,2004,29,新北市,中和區,M,0,35~39,1,65000,65000030
0703,2004,29,桃園市,平鎮區,M,0,35~39,1,68000,68000100
0703,2004,30,嘉義縣,水上鄉,M,0,25~29,1,10010,10010120
0703,2004,30,屏東縣,長治鄉,F,0,30~34,1,10013,10013060
0703,2004,30,基隆市,七堵區,M,0,20~24,1,10017,10017020
0703,2004,31,台北市,信義區,F,0,50~54,1,63000,63000020
0703,2004,31,台北市,萬華區,M,0,25~29,1,63000,63000070
0703,2004,31,高雄市,林園區,M,0,30~34,1,64000,64000130
0703,2004,31,高雄市,楠梓區,M,0,30~34,1,64000,64000040
0703,2004,31,高雄市,苓雅區,M,0,20~24,1,64000,64000080
0703,2004,31,新北市,中和區,M,0,30~34,1,65000,65000030
0703,2004,31,新北市,林口區,F,0,20~24,1,65000,65000170
0703,2004,31,桃園市,龍潭區,M,0,50~54,1,68000,68000090
0703,2004,32,新竹縣,芎林鄉,M,0,25~29,1,10004,10004070
0703,2004,32,南投縣,埔里鎮,F,0,15~19,1,10008,10008020
0703,2004,32,南投縣,埔里鎮,M,0,25~29,1,10008,10008020
0703,2004,32,台北市,內湖區,M,0,35~39,1,63000,63000100
0703,2004,32,台北市,大安區,M,0,30~34,1,63000,63000030
0703,2004,32,新北市,樹林區,M,0,20~24,1,65000,65000070
0703,2004,32,台南市,七股區,F,0,35~39,1,67000,67000150
