確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0703,2003,01,南投縣,仁愛鄉,F,0,15~19,1,10008,10008130
0703,2003,01,南投縣,埔里鎮,M,0,20~24,1,10008,10008020
0703,2003,01,雲林縣,西螺鎮,M,0,35~39,1,10009,10009040
0703,2003,01,屏東縣,長治鄉,M,0,25~29,1,10013,10013060
0703,2003,01,花蓮縣,秀林鄉,M,0,40~44,1,10015,10015110
0703,2003,01,台北市,信義區,F,0,25~29,1,63000,63000020
0703,2003,01,台北市,北投區,M,0,25~29,1,63000,63000120
0703,2003,01,台北市,大同區,M,0,30~34,1,63000,63000060
0703,2003,01,台北市,文山區,M,0,50~54,1,63000,63000080
0703,2003,01,高雄市,鳳山區,F,0,50~54,1,64000,64000120
0703,2003,01,新北市,三重區,F,0,25~29,1,65000,65000020
0703,2003,01,新北市,三重區,F,0,55~59,1,65000,65000020
0703,2003,01,新北市,中和區,F,0,25~29,1,65000,65000030
0703,2003,01,新北市,新店區,F,0,35~39,1,65000,65000060
0703,2003,01,新北市,新店區,M,0,45~49,1,65000,65000060
0703,2003,01,新北市,汐止區,F,0,35~39,1,65000,65000110
0703,2003,01,新北市,汐止區,M,0,35~39,1,65000,65000110
0703,2003,01,台中市,北區,F,0,30~34,1,66000,66000050
0703,2003,01,台中市,南屯區,M,0,60~64,1,66000,66000070
0703,2003,01,台南市,仁德區,M,0,40~44,1,67000,67000270
0703,2003,01,桃園市,桃園區,M,0,40~44,1,68000,68000010
0703,2003,01,桃園市,楊梅區,M,0,20~24,1,68000,68000040
0703,2003,01,桃園市,觀音區,M,0,20~24,1,68000,68000120
0703,2003,01,桃園市,觀音區,M,0,25~29,1,68000,68000120
0703,2003,02,新竹縣,竹北市,M,0,35~39,1,10004,10004010
0703,2003,02,苗栗縣,通霄鎮,F,0,20~24,1,10005,10005030
0703,2003,02,南投縣,埔里鎮,M,0,30~34,1,10008,10008020
0703,2003,02,新竹市,北區,M,0,30~34,1,10018,10018020
0703,2003,02,台北市,內湖區,M,0,35~39,1,63000,63000100
0703,2003,02,台北市,士林區,M,0,45~49,1,63000,63000110
0703,2003,02,台北市,大安區,F,0,60~64,1,63000,63000030
0703,2003,02,台北市,萬華區,M,0,40~44,1,63000,63000070
0703,2003,02,高雄市,楠梓區,M,0,65~69,1,64000,64000040
0703,2003,02,高雄市,茄萣區,M,0,30~34,1,64000,64000260
0703,2003,02,新北市,中和區,F,0,70+,1,65000,65000030
0703,2003,02,新北市,土城區,M,0,25~29,1,65000,65000130
0703,2003,02,新北市,新莊區,F,0,35~39,1,65000,65000050
0703,2003,02,新北市,汐止區,M,0,30~34,1,65000,65000110
