確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0812,2004,19,彰化縣,溪湖鎮,M,0,45~49,1,10007,10007110
0812,2004,20,高雄市,楠梓區,M,0,25~29,1,64000,64000040
0812,2004,21,台東縣,太麻里鄉,F,0,70+,1,10014,10014090
0812,2004,21,台東縣,延平鄉,M,0,4,1,10014,10014130
0812,2004,21,花蓮縣,光復鄉,M,0,65~69,1,10015,10015070
0812,2004,21,花蓮縣,瑞穗鄉,M,0,40~44,1,10015,10015090
0812,2004,21,花蓮縣,瑞穗鄉,M,0,70+,1,10015,10015090
0812,2004,21,花蓮縣,花蓮市,F,0,25~29,1,10015,10015010
0812,2004,21,新北市,板橋區,M,0,60~64,1,65000,65000010
0812,2004,22,花蓮縣,瑞穗鄉,M,0,60~64,1,10015,10015090
0812,2004,22,花蓮縣,秀林鄉,M,0,40~44,1,10015,10015110
0812,2004,23,屏東縣,瑪家鄉,M,0,30~34,1,10013,10013280
0812,2004,23,台東縣,大武鄉,M,0,1,1,10014,10014100
0812,2004,23,台東縣,蘭嶼鄉,F,0,1,1,10014,10014160
0812,2004,23,台東縣,蘭嶼鄉,F,0,40~44,1,10014,10014160
0812,2004,23,新北市,新店區,F,0,10~14,1,65000,65000060
0812,2004,24,台東縣,蘭嶼鄉,M,0,2,1,10014,10014160
0812,2004,24,台東縣,蘭嶼鄉,M,0,4,1,10014,10014160
0812,2004,24,台東縣,鹿野鄉,M,0,3,1,10014,10014050
0812,2004,24,花蓮縣,新城鄉,M,0,65~69,1,10015,10015040
0812,2004,24,花蓮縣,玉里鎮,F,0,25~29,1,10015,10015030
0812,2004,25,金門縣,金城鎮,M,0,5~9,1,09020,09020010
0812,2004,25,金門縣,金城鎮,M,0,60~64,1,09020,09020010
0812,2004,25,南投縣,信義鄉,F,0,25~29,1,10008,10008120
0812,2004,25,南投縣,埔里鎮,M,0,70+,1,10008,10008020
0812,2004,25,台東縣,台東市,M,0,50~54,1,10014,10014010
0812,2004,25,台東縣,台東市,F,0,65~69,1,10014,10014010
0812,2004,25,台東縣,大武鄉,M,0,45~49,1,10014,10014100
0812,2004,25,台東縣,太麻里鄉,M,0,65~69,1,10014,10014090
0812,2004,25,台東縣,成功鎮,F,0,70+,1,10014,10014020
0812,2004,25,台東縣,池上鄉,F,0,1,1,10014,10014060
0812,2004,25,台東縣,海端鄉,F,0,45~49,1,10014,10014120
0812,2004,25,花蓮縣,光復鄉,F,0,55~59,1,10015,10015070
0812,2004,25,花蓮縣,吉安鄉,M,0,35~39,1,10015,10015050
0812,2004,25,花蓮縣,壽豐鄉,F,0,25~29,1,10015,10015060
0812,2004,25,花蓮縣,壽豐鄉,F,0,60~64,1,10015,10015060
0812,2004,25,花蓮縣,玉里鎮,F,0,30~34,1,10015,10015030
0812,2004,25,花蓮縣,玉里鎮,F,0,40~44,1,10015,10015030
0812,2004,25,花蓮縣,玉里鎮,M,0,65~69,1,10015,10015030
0812,2004,25,花蓮縣,瑞穗鄉,F,0,70+,1,10015,10015090
0812,2004,25,花蓮縣,花蓮市,M,0,40~44,1,10015,10015010
0812,2004,25,花蓮縣,花蓮市,M,0,5~9,1,10015,10015010
0812,2004,25,花蓮縣,萬榮鄉,M,0,55~59,1,10015,10015120
0812,2004,25,新北市,土城區,F,0,35~39,1,65000,65000130
0812,2004,26,南投縣,竹山鎮,M,0,45~49,1,10008,10008040
