確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0812,2003,01,花蓮縣,玉里鎮,F,0,30~34,1,10015,10015030
0812,2003,01,花蓮縣,玉里鎮,F,0,35~39,1,10015,10015030
0812,2003,01,花蓮縣,玉里鎮,M,0,45~49,1,10015,10015030
0812,2003,01,花蓮縣,瑞穗鄉,F,0,70+,1,10015,10015090
0812,2003,01,新竹市,東區,M,0,20~24,1,10018,10018010
0812,2003,01,台北市,士林區,M,1,45~49,1,63000,63000110
0812,2003,01,台北市,松山區,F,0,40~44,1,63000,63000010
0812,2003,01,新北市,三重區,F,0,35~39,1,65000,65000020
0812,2003,02,台東縣,太麻里鄉,F,0,65~69,1,10014,10014090
0812,2003,02,花蓮縣,秀林鄉,F,0,50~54,1,10015,10015110
0812,2003,02,花蓮縣,花蓮市,M,0,5~9,1,10015,10015010
0812,2003,02,澎湖縣,馬公市,M,0,35~39,1,10016,10016010
0812,2003,02,台中市,北區,F,0,30~34,1,66000,66000050
0812,2003,03,台東縣,金峰鄉,F,0,70+,1,10014,10014140
0812,2003,03,花蓮縣,壽豐鄉,M,0,60~64,1,10015,10015060
0812,2003,04,台東縣,台東市,M,0,50~54,2,10014,10014010
0812,2003,04,花蓮縣,吉安鄉,M,0,50~54,1,10015,10015050
0812,2003,04,花蓮縣,壽豐鄉,F,0,65~69,1,10015,10015060
0812,2003,04,花蓮縣,花蓮市,M,0,40~44,1,10015,10015010
0812,2003,04,花蓮縣,花蓮市,M,0,45~49,1,10015,10015010
0812,2003,04,澎湖縣,湖西鄉,M,0,25~29,1,10016,10016020
0812,2003,04,新竹市,東區,M,0,30~34,1,10018,10018010
0812,2003,04,台北市,大安區,M,0,20~24,1,63000,63000030
0812,2003,04,高雄市,六龜區,F,0,55~59,1,64000,64000320
0812,2003,04,高雄市,甲仙區,F,0,30~34,1,64000,64000330
0812,2003,04,高雄市,鳥松區,M,0,25~29,1,64000,64000180
0812,2003,05,金門縣,金城鎮,F,0,55~59,1,09020,09020010
0812,2003,05,金門縣,金沙鎮,F,0,60~64,1,09020,09020020
0812,2003,05,金門縣,金湖鎮,M,0,20~24,1,09020,09020030
0812,2003,05,金門縣,金湖鎮,M,0,4,1,09020,09020030
0812,2003,05,宜蘭縣,羅東鎮,F,0,30~34,1,10002,10002020
0812,2003,05,宜蘭縣,羅東鎮,M,0,45~49,1,10002,10002020
0812,2003,05,彰化縣,溪州鄉,M,0,20~24,1,10007,10007260
0812,2003,05,嘉義縣,大林鎮,M,0,45~49,1,10010,10010040
0812,2003,05,台東縣,台東市,F,0,65~69,1,10014,10014010
0812,2003,05,台東縣,太麻里鄉,M,0,5~9,1,10014,10014090
0812,2003,05,台東縣,成功鎮,M,0,65~69,1,10014,10014020
0812,2003,05,台東縣,海端鄉,F,0,45~49,1,10014,10014120
