確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19SC,2024,36,苗栗縣,後龍鎮,M,0,35~39,1,10005,10005060
19SC,2024,36,苗栗縣,後龍鎮,F,0,70+,1,10005,10005060
19SC,2024,36,彰化縣,和美鎮,M,0,70+,1,10007,10007030
19SC,2024,36,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2024,36,彰化縣,永靖鄉,M,0,65~69,1,10007,10007160
19SC,2024,36,彰化縣,田中鎮,F,0,70+,1,10007,10007120
19SC,2024,36,彰化縣,芳苑鄉,M,0,70+,1,10007,10007230
19SC,2024,36,南投縣,竹山鎮,F,0,70+,1,10008,10008040
19SC,2024,36,雲林縣,土庫鎮,M,0,70+,1,10009,10009050
19SC,2024,36,雲林縣,斗南鎮,M,0,40~44,1,10009,10009020
19SC,2024,36,雲林縣,西螺鎮,F,0,40~44,1,10009,10009040
19SC,2024,36,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19SC,2024,36,嘉義縣,大林鎮,F,0,70+,1,10010,10010040
19SC,2024,36,嘉義縣,太保市,M,0,70+,1,10010,10010010
19SC,2024,36,嘉義縣,民雄鄉,F,0,60~64,1,10010,10010050
19SC,2024,36,嘉義縣,竹崎鄉,M,0,60~64,1,10010,10010140
19SC,2024,36,屏東縣,內埔鄉,M,0,35~39,1,10013,10013130
19SC,2024,36,屏東縣,新園鄉,M,0,65~69,1,10013,10013170
19SC,2024,36,屏東縣,新園鄉,M,0,70+,1,10013,10013170
19SC,2024,36,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2024,36,台東縣,延平鄉,F,0,40~44,1,10014,10014130
19SC,2024,36,嘉義市,東區,F,0,70+,1,10020,10020010
19SC,2024,36,嘉義市,西區,M,0,65~69,1,10020,10020020
19SC,2024,36,嘉義市,西區,F,0,70+,1,10020,10020020
19SC,2024,36,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2024,36,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024,36,台北市,萬華區,M,0,70+,1,63000,63000070
19SC,2024,36,台北市,萬華區,M,0,70+,1,63000,63000071
19SC,2024,36,台北市,萬華區,M,0,70+,1,63000,63000072
19SC,2024,36,高雄市,旗山區,M,0,65~69,1,64000,64000300
19SC,2024,36,高雄市,旗山區,M,0,70+,1,64000,64000300
19SC,2024,36,高雄市,燕巢區,M,0,70+,1,64000,64000210
19SC,2024,36,新北市,中和區,F,0,70+,1,65000,65000030
19SC,2024,36,新北市,永和區,M,0,70+,1,65000,65000040
19SC,2024,36,台中市,南屯區,F,0,70+,1,66000,66000070
