確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0620,2004,25,花蓮縣,卓溪鄉,F,0,55~59,1,10015,10015130
0620,2004,25,台南市,新市區,M,0,35~39,1,67000,67000200
0620,2004,25,台南市,永康區,M,0,40~44,1,67000,67000310
0620,2004,26,高雄市,苓雅區,M,0,50~54,1,64000,64000080
0620,2004,26,台南市,新化區,F,0,35~39,1,67000,67000180
0620,2004,27,屏東縣,潮州鎮,F,0,45~49,1,10013,10013020
0620,2004,28,台東縣,台東市,F,0,50~54,1,10014,10014010
0620,2004,28,花蓮縣,玉里鎮,M,0,50~54,1,10015,10015030
0620,2004,28,台中市,南區,M,0,20~24,1,66000,66000030
0620,2004,28,台中市,豐原區,M,0,40~44,1,66000,66000090
0620,2004,29,雲林縣,斗六市,F,0,25~29,1,10009,10009010
0620,2004,29,台中市,北屯區,F,0,70+,1,66000,66000080
0620,2004,29,台南市,南區,M,0,15~19,1,67000,67000330
0620,2004,30,新竹縣,新埔鎮,F,0,40~44,1,10004,10004030
0620,2004,30,花蓮縣,壽豐鄉,F,0,40~44,1,10015,10015060
0620,2004,30,花蓮縣,壽豐鄉,F,0,50~54,1,10015,10015060
0620,2004,30,台南市,新化區,M,0,50~54,1,67000,67000180
0620,2004,31,彰化縣,和美鎮,M,1,30~34,1,10007,10007030
0620,2004,31,南投縣,南投市,M,0,35~39,1,10008,10008010
0620,2004,31,花蓮縣,光復鄉,M,0,60~64,1,10015,10015070
0620,2004,31,台中市,大甲區,M,0,35~39,1,66000,66000110
0620,2004,31,台中市,西屯區,F,0,40~44,1,66000,66000060
0620,2004,32,彰化縣,花壇鄉,M,0,40~44,1,10007,10007080
0620,2004,34,苗栗縣,頭屋鄉,M,0,30~34,1,10005,10005120
0620,2004,34,屏東縣,鹽埔鄉,M,0,30~34,1,10013,10013100
0620,2004,34,台中市,北區,M,0,40~44,1,66000,66000050
0620,2004,34,台南市,東區,M,0,40~44,1,67000,67000320
0620,2004,35,花蓮縣,秀林鄉,F,0,50~54,1,10015,10015110
0620,2004,40,台南市,七股區,F,0,50~54,1,67000,67000150
0620,2004,44,花蓮縣,新城鄉,F,0,25~29,1,10015,10015040
0620,2004,46,高雄市,左營區,M,0,20~24,1,64000,64000030
0620,2005,24,台南市,永康區,M,0,60~64,1,67000,67000310
0620,2005,26,南投縣,埔里鎮,M,0,30~34,1,10008,10008020
0620,2005,26,新竹市,東區,M,1,50~54,1,10018,10018010
0620,2005,26,高雄市,鳳山區,F,0,45~49,1,64000,64000120
0620,2005,27,宜蘭縣,羅東鎮,M,0,70+,1,10002,10002020
0620,2005,27,南投縣,信義鄉,M,0,15~19,1,10008,10008120
0620,2005,27,南投縣,埔里鎮,F,0,65~69,1,10008,10008020
0620,2005,27,屏東縣,崁頂鄉,M,0,50~54,1,10013,10013180
0620,2005,27,高雄市,左營區,F,0,40~44,1,64000,64000030
0620,2005,27,新北市,新店區,M,0,45~49,1,65000,65000060
0620,2005,27,台南市,中西區,F,0,55~59,1,67000,67000370
0620,2005,28,彰化縣,埤頭鄉,M,0,30~34,1,10007,10007220
0620,2005,28,屏東縣,佳冬鄉,F,0,30~34,1,10013,10013210
0620,2005,28,台中市,大肚區,F,0,40~44,1,66000,66000240
0620,2005,30,彰化縣,花壇鄉,M,0,20~24,1,10007,10007080
0620,2005,30,台中市,南屯區,M,0,50~54,1,66000,66000070
0620,2005,31,花蓮縣,光復鄉,M,0,45~49,1,10015,10015070
0620,2005,31,新北市,鶯歌區,M,0,70+,1,65000,65000080
0620,2005,31,台中市,大甲區,M,0,30~34,1,66000,66000110
0620,2005,31,台中市,太平區,M,0,30~34,1,66000,66000270
0620,2005,31,台南市,東區,F,1,35~39,1,67000,67000320
0620,2005,32,花蓮縣,光復鄉,M,0,20~24,1,10015,10015070
