確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0620,2003,05,嘉義縣,水上鄉,F,0,40~44,1,10010,10010120
0620,2003,05,高雄市,大寮區,F,0,30~34,1,64000,64000140
0620,2003,05,高雄市,岡山區,M,0,35~39,1,64000,64000190
0620,2003,05,高雄市,苓雅區,F,0,20~24,1,64000,64000080
0620,2003,06,苗栗縣,頭份市,F,0,20~24,1,10005,10005050
0620,2003,06,雲林縣,西螺鎮,F,0,2,1,10009,10009040
0620,2003,06,嘉義市,東區,F,0,30~34,1,10020,10020010
0620,2003,06,嘉義市,西區,M,0,25~29,1,10020,10020020
0620,2003,06,台中市,大肚區,M,0,25~29,1,66000,66000240
0620,2003,06,台中市,大雅區,M,0,15~19,1,66000,66000180
0620,2003,06,台南市,新營區,M,0,45~49,1,67000,67000010
0620,2003,06,台南市,永康區,F,0,40~44,1,67000,67000310
0620,2003,07,彰化縣,二林鎮,M,0,45~49,1,10007,10007200
0620,2003,07,彰化縣,大村鄉,M,0,15~19,1,10007,10007130
0620,2003,07,彰化縣,溪湖鎮,F,0,25~29,1,10007,10007110
0620,2003,07,南投縣,埔里鎮,M,0,20~24,1,10008,10008020
0620,2003,07,台北市,信義區,M,0,45~49,1,63000,63000020
0620,2003,07,台北市,士林區,M,0,65~69,1,63000,63000110
0620,2003,07,新北市,三芝區,M,0,25~29,1,65000,65000210
0620,2003,07,台中市,北屯區,M,0,30~34,1,66000,66000080
0620,2003,07,台中市,西屯區,M,0,30~34,1,66000,66000060
0620,2003,07,桃園市,八德區,M,0,35~39,1,68000,68000080
0620,2003,08,高雄市,甲仙區,M,0,70+,1,64000,64000330
0620,2003,08,新北市,淡水區,F,0,35~39,1,65000,65000100
0620,2003,10,嘉義縣,鹿草鄉,F,0,35~39,1,10010,10010110
0620,2004,05,花蓮縣,卓溪鄉,F,0,55~59,1,10015,10015130
0620,2004,05,高雄市,苓雅區,M,0,50~54,1,64000,64000080
0620,2004,05,台中市,南區,M,0,20~24,1,66000,66000030
0620,2004,05,台南市,新化區,F,0,35~39,1,67000,67000180
0620,2004,06,苗栗縣,頭屋鄉,M,0,30~34,1,10005,10005120
0620,2004,06,雲林縣,斗六市,F,0,25~29,1,10009,10009010
0620,2004,06,屏東縣,潮州鎮,F,0,45~49,1,10013,10013020
0620,2004,06,台東縣,台東市,F,0,50~54,1,10014,10014010
0620,2004,06,花蓮縣,壽豐鄉,F,0,50~54,1,10015,10015060
0620,2004,06,花蓮縣,玉里鎮,M,0,50~54,1,10015,10015030
0620,2004,06,台中市,北區,M,0,40~44,1,66000,66000050
0620,2004,06,台中市,北屯區,F,0,70+,1,66000,66000080
0620,2004,06,台中市,豐原區,M,0,40~44,1,66000,66000090
0620,2004,06,台南市,南區,M,0,15~19,1,67000,67000330
0620,2004,06,台南市,新化區,M,0,50~54,1,67000,67000180
0620,2004,06,台南市,新市區,M,0,35~39,1,67000,67000200
0620,2004,06,台南市,東區,M,0,40~44,1,67000,67000320
0620,2004,06,台南市,永康區,M,0,40~44,1,67000,67000310
0620,2004,07,新竹縣,新埔鎮,F,0,40~44,1,10004,10004030
0620,2004,07,彰化縣,和美鎮,M,1,30~34,1,10007,10007030
0620,2004,07,彰化縣,花壇鄉,M,0,40~44,1,10007,10007080
0620,2004,07,南投縣,南投市,M,0,35~39,1,10008,10008010
0620,2004,07,屏東縣,鹽埔鄉,M,0,30~34,1,10013,10013100
0620,2004,07,花蓮縣,光復鄉,M,0,60~64,1,10015,10015070
0620,2004,07,花蓮縣,壽豐鄉,F,0,40~44,1,10015,10015060
0620,2004,07,花蓮縣,秀林鄉,F,0,50~54,1,10015,10015110
0620,2004,07,台中市,大甲區,M,0,35~39,1,66000,66000110
0620,2004,07,台中市,西屯區,F,0,40~44,1,66000,66000060
0620,2004,08,台南市,七股區,F,0,50~54,1,67000,67000150
0620,2004,10,花蓮縣,新城鄉,F,0,25~29,1,10015,10015040
0620,2004,10,花蓮縣,花蓮市,F,0,55~59,1,10015,10015010
0620,2004,10,高雄市,左營區,M,0,20~24,1,64000,64000030
0620,2005,05,台南市,永康區,M,0,60~64,1,67000,67000310
0620,2005,06,宜蘭縣,羅東鎮,M,0,70+,1,10002,10002020
0620,2005,06,彰化縣,埤頭鄉,M,0,30~34,1,10007,10007220
0620,2005,06,彰化縣,永靖鄉,F,0,40~44,1,10007,10007160
0620,2005,06,南投縣,信義鄉,M,0,15~19,1,10008,10008120
