確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
027,2018,2,台中市,石岡區,M,0,70+,1,66000,66000200
027,2018,3,台中市,沙鹿區,F,0,55~59,1,66000,66000130
027,2018,4,台北市,中山區,M,0,70+,1,63000,63000040
027,2018,4,桃園市,新屋區,M,0,70+,1,68000,68000110
027,2018,4,桃園市,桃園區,F,0,65~69,1,68000,68000010
027,2018,5,彰化縣,和美鎮,M,0,50~54,1,10007,10007030
027,2018,5,高雄市,梓官區,M,0,60~64,1,64000,64000290
027,2018,5,桃園市,楊梅區,M,0,65~69,1,68000,68000040
027,2018,6,彰化縣,花壇鄉,M,0,60~64,1,10007,10007080
027,2018,6,桃園市,桃園區,M,0,70+,1,68000,68000010
027,2018,8,台東縣,卑南鄉,M,0,35~39,1,10014,10014040
027,2018,9,新北市,中和區,F,0,20~24,1,65000,65000030
027,2018,9,台南市,大內區,M,0,70+,1,67000,67000110
027,2018,12,宜蘭縣,員山鄉,M,0,60~64,1,10002,10002070
027,2018,12,宜蘭縣,羅東鎮,F,0,45~49,1,10002,10002020
027,2018,12,高雄市,鳳山區,M,0,60~64,1,64000,64000120
027,2018,12,桃園市,蘆竹區,M,0,60~64,1,68000,68000050
027,2018,13,台北市,大安區,M,0,65~69,1,63000,63000030
027,2018,13,台北市,萬華區,M,0,50~54,1,63000,63000070
027,2018,13,高雄市,大寮區,F,0,40~44,1,64000,64000140
027,2018,13,高雄市,路竹區,M,0,35~39,1,64000,64000240
027,2018,13,高雄市,路竹區,M,0,70+,1,64000,64000240
027,2018,13,新北市,永和區,M,0,0,1,65000,65000040
027,2018,13,新北市,蘆洲區,M,0,70+,1,65000,65000140
027,2018,13,台中市,南區,F,0,20~24,1,66000,66000030
027,2018,13,台南市,仁德區,M,0,70+,1,67000,67000270
027,2018,13,台南市,後壁區,F,0,70+,1,67000,67000050
027,2018,15,新竹縣,湖口鄉,F,0,30~34,1,10004,10004050
027,2018,15,彰化縣,社頭鄉,F,0,55~59,1,10007,10007170
027,2018,15,基隆市,安樂區,M,0,50~54,1,10017,10017060
027,2018,15,高雄市,岡山區,M,0,70+,1,64000,64000190
027,2018,15,高雄市,鼓山區,M,0,45~49,1,64000,64000020
027,2018,15,新北市,新店區,F,0,65~69,1,65000,65000060
027,2018,15,台中市,北屯區,M,0,70+,1,66000,66000080
027,2018,15,台中市,東勢區,F,0,70+,1,66000,66000100
027,2018,15,台中市,沙鹿區,M,0,70+,1,66000,66000130
027,2018,15,台中市,烏日區,M,0,50~54,1,66000,66000230
027,2018,15,台中市,石岡區,M,0,70+,1,66000,66000200
