確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
004,2003,01,南投縣,仁愛鄉,F,0,2,1,10008,10008130
004,2003,01,南投縣,仁愛鄉,M,0,5~9,2,10008,10008130
004,2003,01,南投縣,仁愛鄉,F,0,65~69,1,10008,10008130
004,2003,01,花蓮縣,秀林鄉,F,0,10~14,1,10015,10015110
004,2003,01,台北市,北投區,M,0,5~9,1,63000,63000120
004,2003,01,桃園市,八德區,F,0,10~14,1,68000,68000080
004,2003,01,桃園市,八德區,M,0,10~14,1,68000,68000080
004,2003,01,桃園市,八德區,F,0,60~64,1,68000,68000080
004,2003,01,桃園市,大溪區,M,0,3,1,68000,68000030
004,2003,02,新竹縣,尖石鄉,M,0,5~9,1,10004,10004120
004,2003,02,新竹縣,湖口鄉,M,0,20~24,1,10004,10004050
004,2003,02,彰化縣,彰化市,F,1,70+,1,10007,10007010
004,2003,02,花蓮縣,玉里鎮,M,0,50~54,1,10015,10015030
004,2003,02,台北市,文山區,F,0,1,1,63000,63000080
004,2003,02,台北市,文山區,F,0,1,1,63000,63000081
004,2003,02,台北市,文山區,F,0,1,1,63000,63000082
004,2003,02,台北市,文山區,F,0,20~24,1,63000,63000080
004,2003,02,台北市,文山區,F,0,20~24,1,63000,63000081
004,2003,02,台北市,文山區,F,0,20~24,1,63000,63000082
004,2003,02,新北市,深坑區,F,1,20~24,1,65000,65000180
004,2003,02,新北市,深坑區,M,0,40~44,1,65000,65000180
004,2003,02,桃園市,平鎮區,M,1,10~14,1,68000,68000100
004,2003,03,新竹縣,尖石鄉,F,0,10~14,2,10004,10004120
004,2003,03,新竹縣,尖石鄉,F,0,25~29,1,10004,10004120
004,2003,03,新竹縣,尖石鄉,F,0,5~9,4,10004,10004120
004,2003,03,新竹縣,尖石鄉,F,0,70+,1,10004,10004120
004,2003,03,新竹縣,尖石鄉,M,0,70+,1,10004,10004120
004,2003,03,南投縣,仁愛鄉,F,0,10~14,1,10008,10008130
004,2003,03,新竹市,北區,M,0,65~69,1,10018,10018020
004,2003,03,高雄市,苓雅區,M,0,20~24,1,64000,64000080
004,2003,03,桃園市,桃園區,M,0,0,1,68000,68000010
004,2003,03,桃園市,桃園區,F,1,20~24,1,68000,68000010
004,2003,04,新竹縣,尖石鄉,F,0,3,1,10004,10004120
004,2003,04,新竹縣,尖石鄉,F,0,35~39,1,10004,10004120
004,2003,04,新竹縣,尖石鄉,F,0,5~9,1,10004,10004120
004,2003,04,新竹縣,尖石鄉,F,0,70+,1,10004,10004120
004,2003,04,花蓮縣,玉里鎮,F,0,50~54,1,10015,10015030
004,2003,04,台中市,龍井區,M,0,5~9,1,66000,66000250
004,2003,04,台南市,新市區,F,0,1,1,67000,67000200
004,2003,04,桃園市,八德區,M,0,15~19,1,68000,68000080
004,2003,04,桃園市,八德區,M,0,25~29,1,68000,68000080
004,2003,04,桃園市,八德區,M,0,30~34,1,68000,68000080
004,2003,04,桃園市,八德區,F,0,35~39,1,68000,68000080
004,2003,04,桃園市,八德區,M,0,40~44,1,68000,68000080
004,2003,04,桃園市,八德區,F,0,45~49,1,68000,68000080
004,2003,04,桃園市,八德區,M,0,45~49,1,68000,68000080
004,2003,04,桃園市,八德區,F,0,50~54,1,68000,68000080
004,2003,05,南投縣,信義鄉,M,0,5~9,1,10008,10008120
004,2003,05,花蓮縣,玉里鎮,F,0,40~44,2,10015,10015030
004,2003,05,花蓮縣,玉里鎮,F,0,50~54,2,10015,10015030
004,2003,05,花蓮縣,玉里鎮,F,0,55~59,1,10015,10015030
004,2003,05,花蓮縣,玉里鎮,M,0,55~59,1,10015,10015030
004,2003,05,花蓮縣,玉里鎮,F,0,65~69,1,10015,10015030
004,2003,05,花蓮縣,玉里鎮,F,0,70+,1,10015,10015030
004,2003,06,宜蘭縣,大同鄉,F,0,70+,1,10002,10002110
004,2003,06,台東縣,台東市,M,0,15~19,1,10014,10014010
004,2003,06,台東縣,台東市,M,0,3,1,10014,10014010
004,2003,06,花蓮縣,玉里鎮,F,0,10~14,1,10015,10015030
004,2003,06,花蓮縣,玉里鎮,M,0,15~19,2,10015,10015030
004,2003,06,花蓮縣,玉里鎮,M,0,70+,1,10015,10015030
004,2003,07,台東縣,台東市,F,0,20~24,1,10014,10014010
004,2003,07,新北市,永和區,F,1,25~29,1,65000,65000040
