確定病名,診斷年份,診斷月份,縣市,性別,是否為境外移入,年齡層,確定病例數
梅毒,2003,1,台北市,F,否,15-19,2
梅毒,2003,1,台北市,F,否,20-24,4
梅毒,2003,1,台北市,F,否,25-29,1
梅毒,2003,1,台北市,F,否,30-34,1
梅毒,2003,1,台北市,F,否,45-49,1
梅毒,2003,1,台北市,F,否,60-64,1
梅毒,2003,1,台北市,F,否,65-69,1
梅毒,2003,1,台北市,F,否,70+,3
梅毒,2003,1,台北市,M,否,0,1
梅毒,2003,1,台北市,M,否,15-19,1
梅毒,2003,1,台北市,M,否,20-24,1
梅毒,2003,1,台北市,M,否,25-29,5
梅毒,2003,1,台北市,M,否,30-34,1
梅毒,2003,1,台北市,M,否,35-39,4
梅毒,2003,1,台北市,M,否,40-44,2
梅毒,2003,1,台北市,M,否,45-49,1
梅毒,2003,1,台北市,M,否,50-54,1
梅毒,2003,1,台北市,M,否,55-59,2
梅毒,2003,1,台北市,M,否,65-69,3
梅毒,2003,1,台北市,M,否,70+,6
梅毒,2003,1,台中市,F,否,0,1
梅毒,2003,1,台中市,F,否,25-29,1
梅毒,2003,1,台中市,F,否,35-39,1
梅毒,2003,1,台中市,F,否,50-54,1
梅毒,2003,1,台中市,F,否,60-64,1
梅毒,2003,1,台中市,M,否,20-24,1
梅毒,2003,1,台中市,M,否,30-34,2
梅毒,2003,1,台中市,M,否,35-39,1
梅毒,2003,1,台中市,M,否,40-44,1
梅毒,2003,1,台中市,M,否,65-69,1
梅毒,2003,1,台中市,M,否,70+,1
梅毒,2003,1,台南市,F,否,30-34,5
梅毒,2003,1,台南市,F,否,35-39,1
梅毒,2003,1,台南市,F,否,45-49,1
梅毒,2003,1,台南市,F,否,55-59,1
梅毒,2003,1,台南市,F,否,60-64,1
梅毒,2003,1,台南市,F,否,70+,1
梅毒,2003,1,台南市,M,否,0,1
梅毒,2003,1,台南市,M,否,30-34,1
梅毒,2003,1,台南市,M,否,40-44,1
梅毒,2003,1,台南市,M,否,70+,3
梅毒,2003,1,高雄市,F,否,15-19,2
梅毒,2003,1,高雄市,F,否,20-24,1
梅毒,2003,1,高雄市,F,否,30-34,1
梅毒,2003,1,高雄市,F,否,35-39,2
梅毒,2003,1,高雄市,F,否,45-49,1
梅毒,2003,1,高雄市,F,否,50-54,3
梅毒,2003,1,高雄市,F,否,55-59,2
梅毒,2003,1,高雄市,F,否,60-64,1
梅毒,2003,1,高雄市,F,否,65-69,1
梅毒,2003,1,高雄市,F,否,70+,4
梅毒,2003,1,高雄市,M,否,20-24,1
梅毒,2003,1,高雄市,M,否,25-29,2
梅毒,2003,1,高雄市,M,否,30-34,4
梅毒,2003,1,高雄市,M,否,35-39,5
梅毒,2003,1,高雄市,M,否,40-44,2
梅毒,2003,1,高雄市,M,否,45-49,3
梅毒,2003,1,高雄市,M,否,50-54,2
梅毒,2003,1,高雄市,M,否,55-59,4
梅毒,2003,1,高雄市,M,否,60-64,4
梅毒,2003,1,高雄市,M,否,65-69,2
梅毒,2003,1,高雄市,M,否,70+,2
梅毒,2003,1,基隆市,F,否,25-29,1
梅毒,2003,1,基隆市,F,是,20-24,1
梅毒,2003,1,基隆市,F,是,25-29,2
梅毒,2003,1,基隆市,M,否,0,1
梅毒,2003,1,基隆市,M,否,20-24,2
梅毒,2003,1,基隆市,M,否,25-29,2
梅毒,2003,1,基隆市,M,否,30-34,1
梅毒,2003,1,基隆市,M,否,40-44,1
梅毒,2003,1,基隆市,M,否,50-54,1
梅毒,2003,1,基隆市,M,否,55-59,1
梅毒,2003,1,基隆市,M,否,70+,1
梅毒,2003,1,基隆市,M,是,70+,1
梅毒,2003,1,新竹市,F,否,20-24,1
梅毒,2003,1,新竹市,F,否,25-29,2
梅毒,2003,1,新竹市,F,否,45-49,1
梅毒,2003,1,新竹市,F,否,50-54,1
梅毒,2003,1,新竹市,M,否,40-44,1
梅毒,2003,1,台中市(舊),M,否,30-34,1
梅毒,2003,1,台中市(舊),M,否,45-49,1
梅毒,2003,1,台中市(舊),M,否,50-54,1
梅毒,2003,1,嘉義市,F,否,70+,1
梅毒,2003,1,嘉義市,M,否,55-59,1
梅毒,2003,1,嘉義市,M,否,70+,1
梅毒,2003,1,新北市,F,否,20-24,1
梅毒,2003,1,新北市,F,否,25-29,2
梅毒,2003,1,新北市,F,否,30-34,2
梅毒,2003,1,新北市,F,否,35-39,1
梅毒,2003,1,新北市,F,否,45-49,2
梅毒,2003,1,新北市,F,否,50-54,1
梅毒,2003,1,新北市,F,否,60-64,2
梅毒,2003,1,新北市,F,否,65-69,1
梅毒,2003,1,新北市,F,否,70+,3
梅毒,2003,1,新北市,M,否,15-19,2
梅毒,2003,1,新北市,M,否,20-24,3
梅毒,2003,1,新北市,M,否,25-29,4
梅毒,2003,1,新北市,M,否,30-34,4
梅毒,2003,1,新北市,M,否,35-39,5
梅毒,2003,1,新北市,M,否,40-44,6
梅毒,2003,1,新北市,M,否,45-49,6
梅毒,2003,1,新北市,M,否,50-54,4
梅毒,2003,1,新北市,M,否,55-59,4
梅毒,2003,1,新北市,M,否,70+,6
梅毒,2003,1,桃園市,F,否,35-39,1
梅毒,2003,1,桃園市,F,否,40-44,3
梅毒,2003,1,桃園市,F,否,60-64,1
梅毒,2003,1,桃園市,F,否,70+,4
梅毒,2003,1,桃園市,M,否,15-19,1
梅毒,2003,1,桃園市,M,否,20-24,2
梅毒,2003,1,桃園市,M,否,25-29,1
梅毒,2003,1,桃園市,M,否,35-39,2
梅毒,2003,1,桃園市,M,否,40-44,1
梅毒,2003,1,桃園市,M,否,45-49,1
梅毒,2003,1,桃園市,M,否,55-59,1
梅毒,2003,1,桃園市,M,否,60-64,1
梅毒,2003,1,桃園市,M,否,70+,1
梅毒,2003,1,新竹縣,F,否,15-19,1
梅毒,2003,1,新竹縣,F,否,45-49,1
梅毒,2003,1,新竹縣,M,否,25-29,1
梅毒,2003,1,新竹縣,M,否,60-64,1
梅毒,2003,1,宜蘭縣,F,否,30-34,1
梅毒,2003,1,宜蘭縣,F,否,70+,2
梅毒,2003,1,宜蘭縣,M,否,25-29,2
梅毒,2003,1,宜蘭縣,M,否,30-34,2
