確定病名,診斷年份,診斷週別,縣市,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼
090,2003,1,新竹縣,M,0,60~64,1,10004
090,2003,1,彰化縣,F,0,45~49,1,10007
090,2003,1,彰化縣,M,0,30~34,1,10007
090,2003,1,南投縣,M,0,65~69,1,10008
090,2003,1,嘉義縣,M,0,45~49,1,10010
090,2003,1,嘉義縣,M,0,50~54,1,10010
090,2003,1,屏東縣,M,0,0,1,10013
090,2003,1,屏東縣,M,0,35~39,1,10013
090,2003,1,屏東縣,M,0,60~64,1,10013
090,2003,1,花蓮縣,M,0,35~39,1,10015
090,2003,1,基隆市,M,0,0,1,10017
090,2003,1,基隆市,M,1,70+,1,10017
090,2003,1,台北市,F,0,65~69,1,63000
090,2003,1,台北市,M,0,20~24,1,63000
090,2003,1,台北市,M,0,55~59,1,63000
090,2003,1,台北市,M,0,70+,1,63000
090,2003,1,高雄市,M,0,25~29,1,64000
090,2003,1,高雄市,M,0,55~59,1,64000
090,2003,1,高雄市,M,0,60~64,1,64000
090,2003,1,新北市,F,0,50~54,1,65000
090,2003,1,新北市,M,0,30~34,2,65000
090,2003,1,台南市,F,0,55~59,1,67000
090,2003,1,台南市,F,0,70+,1,67000
090,2003,1,台南市,M,0,30~34,1,67000
090,2003,1,桃園市,M,0,20~24,2,68000
090,2003,1,桃園市,M,0,55~59,1,68000
090,2003,2,金門縣,F,0,20~24,1,09020
090,2003,2,宜蘭縣,F,0,70+,1,10002
090,2003,2,新竹縣,F,0,45~49,1,10004
090,2003,2,苗栗縣,F,1,30~34,1,10005
090,2003,2,苗栗縣,M,0,0,1,10005
090,2003,2,苗栗縣,M,0,45~49,1,10005
090,2003,2,彰化縣,F,0,40~44,1,10007
090,2003,2,彰化縣,F,0,55~59,1,10007
090,2003,2,彰化縣,M,0,70+,1,10007
090,2003,2,南投縣,M,0,40~44,1,10008
090,2003,2,南投縣,M,0,50~54,1,10008
