確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
052VC,2014,2,花蓮縣,玉里鎮,M,0,45~49,1,10015,10015030
052VC,2014,2,高雄市,楠梓區,F,0,2,1,64000,64000040
052VC,2014,2,台中市,西區,F,0,40~44,1,66000,66000040
052VC,2014,2,桃園市,桃園區,M,0,70+,1,68000,68000010
052VC,2014,3,台北市,文山區,M,0,15~19,1,63000,63000080
052VC,2014,7,嘉義縣,朴子市,M,0,15~19,1,10010,10010020
052VC,2014,7,新竹市,東區,F,0,30~34,1,10018,10018010
052VC,2014,7,新竹市,香山區,M,0,25~29,1,10018,10018030
052VC,2014,7,台北市,松山區,F,0,0,1,63000,63000010
052VC,2014,7,高雄市,大寮區,M,0,40~44,1,64000,64000140
052VC,2014,7,新北市,土城區,F,0,40~44,1,65000,65000130
052VC,2014,7,新北市,板橋區,F,0,25~29,2,65000,65000010
052VC,2014,7,新北市,林口區,M,0,30~34,1,65000,65000170
052VC,2014,7,台中市,大雅區,M,1,20~24,1,66000,66000180
052VC,2014,7,台南市,南區,F,0,15~19,1,67000,67000330
052VC,2014,7,桃園市,中壢區,F,0,35~39,1,68000,68000020
052VC,2014,8,台北市,中山區,F,0,40~44,1,63000,63000040
052VC,2014,8,新北市,永和區,F,0,30~34,1,65000,65000040
052VC,2014,8,台中市,大雅區,M,0,35~39,1,66000,66000180
052VC,2014,10,台北市,中山區,F,0,35~39,1,63000,63000040
052VC,2014,11,宜蘭縣,宜蘭市,M,0,15~19,1,10002,10002010
052VC,2014,13,嘉義縣,新港鄉,F,0,50~54,1,10010,10010070
052VC,2014,14,台北市,信義區,M,0,2,1,63000,63000020
052VC,2014,14,新北市,瑞芳區,F,0,1,1,65000,65000120
052VC,2014,18,台東縣,關山鎮,F,0,0,1,10014,10014030
052VC,2014,18,台中市,大安區,F,0,20~24,1,66000,66000220
052VC,2014,21,台北市,文山區,M,0,25~29,1,63000,63000080
052VC,2014,21,新北市,土城區,M,0,5~9,1,65000,65000130
052VC,2014,21,台中市,北屯區,F,0,3,1,66000,66000080
052VC,2014,21,台南市,安南區,M,0,10~14,1,67000,67000350
052VC,2014,24,新北市,新莊區,F,0,30~34,1,65000,65000050
052VC,2014,25,高雄市,三民區,M,0,35~39,1,64000,64000050
052VC,2014,28,新北市,板橋區,F,0,10~14,1,65000,65000010
052VC,2014,30,屏東縣,新園鄉,F,0,10~14,1,10013,10013170
052VC,2014,31,南投縣,國姓鄉,M,0,1,1,10008,10008100
052VC,2014,36,花蓮縣,卓溪鄉,M,0,0,1,10015,10015130
052VC,2014,36,台中市,西屯區,M,0,15~19,1,66000,66000060
052VC,2014,38,台中市,西屯區,F,0,70+,1,66000,66000060
052VC,2014,39,新北市,板橋區,F,0,15~19,1,65000,65000010
