確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
487a,2004,19,彰化縣,和美鎮,M,0,70+,1,10007,10007030
487a,2004,23,台北市,中正區,F,0,2,1,63000,63000050
487a,2004,31,桃園市,桃園區,M,0,70+,1,68000,68000010
487a,2004,43,高雄市,林園區,M,0,45~49,1,64000,64000130
487a,2005,3,新北市,三重區,F,0,5~9,1,65000,65000020
487a,2005,4,新北市,新莊區,M,0,5~9,1,65000,65000050
487a,2005,4,桃園市,桃園區,F,0,50~54,1,68000,68000010
487a,2005,6,新北市,五股區,F,0,4,1,65000,65000150
487a,2005,6,台南市,新化區,M,0,20~24,1,67000,67000180
487a,2005,8,台北市,中山區,F,0,5~9,1,63000,63000040
487a,2005,8,新北市,中和區,M,0,5~9,1,65000,65000030
487a,2005,8,新北市,淡水區,M,0,10~14,1,65000,65000100
487a,2005,8,桃園市,龜山區,M,0,4,1,68000,68000070
487a,2005,9,基隆市,信義區,M,0,20~24,1,10017,10017070
487a,2005,9,台北市,南港區,M,0,70+,1,63000,63000090
487a,2005,9,新北市,中和區,M,0,55~59,1,65000,65000030
487a,2005,9,桃園市,桃園區,F,0,55~59,1,68000,68000010
487a,2005,10,屏東縣,里港鄉,F,0,30~34,1,10013,10013090
487a,2005,10,新竹市,其他,F,0,0,1,10018,10018999
487a,2005,10,新北市,三重區,M,0,3,1,65000,65000020
487a,2005,10,桃園市,復興區,M,0,30~34,1,68000,68000130
487a,2005,10,桃園市,蘆竹區,M,0,70+,1,68000,68000050
487a,2005,11,台北市,中山區,F,0,40~44,1,63000,63000040
487a,2005,12,宜蘭縣,宜蘭市,F,0,10~14,1,10002,10002010
487a,2005,12,新竹市,北區,F,0,2,1,10018,10018020
487a,2005,12,新北市,貢寮區,M,0,5~9,1,65000,65000260
487a,2005,13,台中市,霧峰區,F,0,5~9,1,66000,66000260
487a,2005,14,新竹縣,關西鎮,F,0,5~9,1,10004,10004040
487a,2005,14,台北市,中山區,M,0,10~14,1,63000,63000040
487a,2005,14,台中市,大肚區,F,0,3,1,66000,66000240
487a,2005,15,新竹縣,竹北市,F,0,1,1,10004,10004010
487a,2005,15,台北市,松山區,F,0,60~64,1,63000,63000010
487a,2005,19,台北市,士林區,M,0,50~54,1,63000,63000110
487a,2005,20,桃園市,蘆竹區,F,0,40~44,1,68000,68000050
487a,2005,25,嘉義縣,布袋鎮,M,1,30~34,1,10010,10010030
487a,2005,25,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
487a,2005,28,台北市,北投區,M,0,70+,1,63000,63000120
487a,2005,30,屏東縣,九如鄉,F,0,5~9,1,10013,10013080
487a,2005,31,高雄市,美濃區,F,0,70+,1,64000,64000310
487a,2005,35,台中市,梧棲區,M,0,3,1,66000,66000140
487a,2005,36,新北市,五股區,F,0,70+,1,65000,65000150
487a,2005,43,嘉義縣,朴子市,F,0,70+,1,10010,10010020
487a,2005,45,宜蘭縣,礁溪鄉,F,0,45~49,1,10002,10002050
487a,2006,6,新北市,板橋區,M,0,5~9,1,65000,65000010
487a,2006,6,台中市,豐原區,M,0,5~9,1,66000,66000090
487a,2006,7,新北市,板橋區,M,0,50~54,1,65000,65000010
487a,2006,8,台南市,永康區,F,0,70+,1,67000,67000310
487a,2006,11,台北市,萬華區,M,0,5~9,1,63000,63000070
487a,2006,11,新北市,土城區,M,0,2,1,65000,65000130
487a,2006,13,台中市,北屯區,F,0,5~9,1,66000,66000080
487a,2006,14,台北市,松山區,M,0,45~49,1,63000,63000010
