確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
487a,2003,01,台北市,中正區,M,0,3,1,63000,63000050
487a,2003,01,台北市,大同區,F,0,3,1,63000,63000060
487a,2003,01,新北市,永和區,M,0,10~14,1,65000,65000040
487a,2003,01,新北市,永和區,F,0,4,1,65000,65000040
487a,2003,01,新北市,汐止區,M,0,0,1,65000,65000110
487a,2003,01,新北市,汐止區,M,0,2,1,65000,65000110
487a,2003,02,新北市,三重區,M,0,1,1,65000,65000020
487a,2003,02,新北市,土城區,M,0,2,1,65000,65000130
487a,2003,02,新北市,板橋區,M,0,4,1,65000,65000010
487a,2003,03,台北市,中正區,M,0,5~9,1,63000,63000050
487a,2003,11,彰化縣,埔心鄉,M,0,45~49,1,10007,10007150
487a,2003,11,新北市,新莊區,F,0,3,1,65000,65000050
487a,2003,12,花蓮縣,花蓮市,M,0,1,1,10015,10015010
487a,2003,12,新北市,新莊區,M,0,5~9,1,65000,65000050
487a,2003,12,新北市,板橋區,F,0,2,1,65000,65000010
487a,2003,12,台中市,南屯區,F,0,25~29,1,66000,66000070
487a,2004,01,台北市,松山區,M,0,70+,1,63000,63000010
487a,2004,01,新北市,三重區,M,0,70+,1,65000,65000020
487a,2004,01,新北市,淡水區,F,0,60~64,1,65000,65000100
487a,2004,01,新北市,蘆洲區,F,0,70+,1,65000,65000140
487a,2004,02,台北市,士林區,M,0,10~14,1,63000,63000110
487a,2004,02,新北市,汐止區,M,0,20~24,1,65000,65000110
487a,2004,02,新北市,烏來區,F,0,50~54,1,65000,65000290
487a,2004,03,花蓮縣,秀林鄉,F,0,1,1,10015,10015110
487a,2004,03,台北市,中正區,F,0,2,1,63000,63000050
487a,2004,04,彰化縣,和美鎮,M,0,70+,1,10007,10007030
487a,2004,04,新北市,淡水區,M,0,50~54,1,65000,65000100
487a,2004,07,桃園市,桃園區,M,0,70+,1,68000,68000010
487a,2004,08,高雄市,林園區,M,0,45~49,1,64000,64000130
487a,2004,08,桃園市,龜山區,M,0,4,1,68000,68000070
487a,2004,11,新北市,中和區,M,0,5~9,1,65000,65000030
487a,2004,12,台北市,中山區,F,0,5~9,1,63000,63000040
487a,2004,12,新北市,三重區,F,0,5~9,1,65000,65000020
487a,2004,12,新北市,新莊區,M,0,5~9,1,65000,65000050
487a,2004,12,新北市,貢寮區,M,0,5~9,1,65000,65000260
487a,2005,01,基隆市,信義區,M,0,20~24,1,10017,10017070
487a,2005,01,新竹市,北區,F,0,2,1,10018,10018020
487a,2005,01,台北市,南港區,M,0,70+,1,63000,63000090
487a,2005,01,新北市,三重區,M,0,3,1,65000,65000020
487a,2005,01,新北市,五股區,F,0,4,1,65000,65000150
