確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0360,2004,19,台東縣,海端鄉,M,0,0,1,10014,10014120
0360,2004,21,金門縣,金湖鎮,M,0,20~24,1,09020,09020030
0360,2004,23,彰化縣,彰化市,M,0,15~19,1,10007,10007010
0360,2004,24,彰化縣,二林鎮,M,0,10~14,1,10007,10007200
0360,2004,25,台東縣,鹿野鄉,M,0,70+,1,10014,10014050
0360,2004,25,基隆市,七堵區,M,0,0,1,10017,10017020
0360,2004,25,台中市,北屯區,M,0,20~24,1,66000,66000080
0360,2004,33,桃園市,大園區,M,0,0,1,68000,68000060
0360,2004,47,彰化縣,鹿港鎮,M,0,20~24,1,10007,10007020
0360,2004,48,桃園市,龜山區,M,0,0,1,68000,68000070
0360,2005,5,台北市,松山區,F,0,50~54,1,63000,63000010
0360,2005,6,台東縣,台東市,F,0,10~14,1,10014,10014010
0360,2005,6,新北市,樹林區,M,0,70+,1,65000,65000070
0360,2005,9,宜蘭縣,五結鄉,F,0,25~29,1,10002,10002090
0360,2005,12,桃園市,大溪區,F,0,45~49,1,68000,68000030
0360,2005,14,宜蘭縣,大同鄉,F,0,5~9,1,10002,10002110
0360,2005,15,新北市,新莊區,F,0,55~59,1,65000,65000050
0360,2005,16,高雄市,旗山區,M,0,0,1,64000,64000300
0360,2005,16,高雄市,美濃區,M,0,70+,1,64000,64000310
0360,2005,16,新北市,板橋區,M,0,45~49,1,65000,65000010
0360,2005,17,台中市,大肚區,M,0,0,1,66000,66000240
0360,2005,18,雲林縣,北港鎮,F,0,0,1,10009,10009060
0360,2005,20,金門縣,金湖鎮,M,0,20~24,1,09020,09020030
0360,2005,28,台中市,太平區,M,0,20~24,1,66000,66000270
0360,2005,31,台中市,太平區,M,0,0,1,66000,66000270
0360,2005,33,新北市,中和區,F,0,65~69,1,65000,65000030
0360,2005,34,新北市,土城區,M,0,70+,1,65000,65000130
0360,2005,35,桃園市,桃園區,F,0,10~14,1,68000,68000010
0360,2005,41,新北市,三重區,M,0,2,1,65000,65000020
0360,2005,44,桃園市,桃園區,M,0,0,1,68000,68000010
0360,2006,4,新竹縣,竹東鎮,M,0,2,1,10004,10004020
0360,2006,12,屏東縣,屏東市,M,0,20~24,1,10013,10013010
0360,2006,13,台北市,大安區,M,0,35~39,1,63000,63000030
0360,2006,20,彰化縣,彰化市,F,0,5~9,1,10007,10007010
0360,2006,23,新北市,新莊區,M,0,4,1,65000,65000050
0360,2006,27,台中市,西屯區,M,0,5~9,1,66000,66000060
0360,2006,30,桃園市,平鎮區,F,0,50~54,1,68000,68000100
0360,2006,32,嘉義縣,大林鎮,F,0,0,1,10010,10010040
0360,2006,34,彰化縣,二林鎮,F,0,65~69,1,10007,10007200
0360,2006,34,台中市,西屯區,M,0,4,1,66000,66000060
0360,2006,38,花蓮縣,花蓮市,F,0,0,1,10015,10015010
0360,2006,39,桃園市,八德區,F,1,40~44,1,68000,68000080
0360,2006,40,雲林縣,斗六市,F,0,60~64,1,10009,10009010
0360,2006,49,新竹市,東區,F,0,65~69,1,10018,10018010
0360,2006,52,台南市,永康區,F,0,30~34,1,67000,67000310
0360,2007,2,高雄市,茄萣區,F,0,60~64,1,64000,64000260
0360,2007,3,台東縣,達仁鄉,M,0,70+,1,10014,10014150
0360,2007,3,高雄市,內門區,M,0,35~39,1,64000,64000350
0360,2007,5,高雄市,三民區,M,0,70+,1,64000,64000050
0360,2007,7,台南市,南區,F,0,10~14,1,67000,67000330
0360,2007,9,新北市,板橋區,M,0,0,1,65000,65000010
0360,2007,9,台中市,潭子區,M,0,0,1,66000,66000170
0360,2007,10,新北市,鶯歌區,M,0,35~39,1,65000,65000080
0360,2007,10,台南市,東區,M,0,55~59,1,67000,67000320
0360,2007,11,台中市,北屯區,F,0,35~39,1,66000,66000080
0360,2007,13,屏東縣,高樹鄉,F,0,70+,1,10013,10013110
0360,2007,15,南投縣,南投市,M,0,0,1,10008,10008010
0360,2007,21,新竹市,北區,F,0,5~9,1,10018,10018020
0360,2007,29,苗栗縣,南庄鄉,M,0,25~29,1,10005,10005110
0360,2007,32,台北市,松山區,M,0,20~24,1,63000,63000010
0360,2007,34,桃園市,蘆竹區,M,0,0,1,68000,68000050
0360,2007,35,新北市,淡水區,M,0,55~59,1,65000,65000100
0360,2007,38,南投縣,埔里鎮,M,0,2,1,10008,10008020
0360,2007,50,台南市,北區,F,0,0,1,67000,67000340
0360,2007,52,高雄市,楠梓區,F,0,20~24,1,64000,64000040
0360,2008,1,台中市,大肚區,M,0,0,1,66000,66000240
