確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0360,2003,01,新竹縣,竹東鎮,M,0,20~24,1,10004,10004020
0360,2003,01,新竹市,北區,M,0,0,1,10018,10018020
0360,2003,01,新北市,永和區,M,0,20~24,1,65000,65000040
0360,2003,02,宜蘭縣,蘇澳鎮,F,0,0,1,10002,10002030
0360,2003,03,新竹縣,竹北市,M,0,15~19,1,10004,10004010
0360,2003,03,新竹市,北區,F,0,15~19,1,10018,10018020
0360,2003,03,台北市,萬華區,F,0,0,1,63000,63000070
0360,2003,03,新北市,新莊區,M,0,25~29,1,65000,65000050
0360,2003,04,宜蘭縣,冬山鄉,M,0,0,1,10002,10002080
0360,2003,04,屏東縣,瑪家鄉,M,0,0,1,10013,10013280
0360,2003,04,台北市,南港區,M,0,25~29,1,63000,63000090
0360,2003,05,新北市,土城區,F,0,25~29,1,65000,65000130
0360,2003,06,南投縣,仁愛鄉,M,0,3,1,10008,10008130
0360,2003,07,基隆市,中正區,M,0,5~9,1,10017,10017010
0360,2003,07,新北市,烏來區,M,0,3,1,65000,65000290
0360,2003,08,花蓮縣,卓溪鄉,M,0,5~9,1,10015,10015130
0360,2003,08,台北市,中正區,M,0,65~69,1,63000,63000050
0360,2003,08,台南市,下營區,F,0,1,1,67000,67000080
0360,2003,09,台北市,大安區,M,0,35~39,1,63000,63000030
0360,2003,09,台中市,西屯區,F,0,55~59,1,66000,66000060
0360,2003,10,台南市,北區,F,0,70+,1,67000,67000340
0360,2003,11,台南市,七股區,M,0,45~49,1,67000,67000150
0360,2003,11,桃園市,平鎮區,F,0,0,1,68000,68000100
0360,2003,11,桃園市,桃園區,F,0,1,1,68000,68000010
0360,2003,12,台東縣,鹿野鄉,M,0,65~69,1,10014,10014050
0360,2003,12,新竹市,東區,M,0,20~24,1,10018,10018010
0360,2004,01,新竹縣,竹北市,M,0,15~19,1,10004,10004010
0360,2004,01,南投縣,國姓鄉,F,0,30~34,1,10008,10008100
0360,2004,01,高雄市,大寮區,M,0,25~29,1,64000,64000140
0360,2004,01,台中市,北屯區,F,0,0,1,66000,66000080
0360,2004,01,台中市,豐原區,M,0,55~59,1,66000,66000090
0360,2004,01,台南市,南區,M,0,5~9,1,67000,67000330
0360,2004,02,彰化縣,溪湖鎮,M,0,0,1,10007,10007110
0360,2004,02,台南市,安南區,M,0,20~24,1,67000,67000350
0360,2004,02,桃園市,八德區,M,0,1,1,68000,68000080
0360,2004,03,金門縣,金湖鎮,M,0,20~24,1,09020,09020030
0360,2004,03,彰化縣,永靖鄉,M,0,15~19,1,10007,10007160
0360,2004,03,嘉義縣,朴子市,M,0,50~54,1,10010,10010020
0360,2004,03,新竹市,北區,M,0,15~19,1,10018,10018020
0360,2004,03,台北市,文山區,F,0,70+,1,63000,63000080
0360,2004,04,台東縣,海端鄉,M,0,0,1,10014,10014120
0360,2004,04,台北市,萬華區,F,0,20~24,1,63000,63000070
0360,2004,05,彰化縣,彰化市,M,0,15~19,1,10007,10007010
0360,2004,06,彰化縣,二林鎮,M,0,10~14,1,10007,10007200
0360,2004,06,台東縣,鹿野鄉,M,0,70+,1,10014,10014050
0360,2004,06,基隆市,七堵區,M,0,0,1,10017,10017020
0360,2004,06,台中市,北屯區,M,0,20~24,1,66000,66000080
0360,2004,08,桃園市,大園區,M,0,0,1,68000,68000060
