確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
072,2006,06,台中市,大甲區,F,0,20~24,1,66000,66000110
072,2006,07,台北市,中山區,M,0,5~9,1,63000,63000040
072,2006,08,台北市,北投區,F,1,25~29,1,63000,63000120
072,2006,11,新北市,板橋區,M,0,40~44,1,65000,65000010
072,2006,12,台北市,信義區,M,1,10~14,1,63000,63000020
072,2007,05,雲林縣,東勢鄉,M,0,10~14,1,10009,10009140
072,2007,05,花蓮縣,花蓮市,F,0,5~9,1,10015,10015010
072,2007,05,台北市,中山區,M,0,3,1,63000,63000040
072,2007,08,嘉義市,西區,F,0,5~9,1,10020,10020020
072,2007,08,新北市,五股區,F,0,5~9,1,65000,65000150
072,2007,08,台中市,大甲區,M,0,5~9,1,66000,66000110
072,2007,09,台中市,梧棲區,M,1,35~39,1,66000,66000140
072,2007,10,高雄市,楠梓區,F,1,25~29,1,64000,64000040
072,2007,11,新竹縣,竹北市,F,0,35~39,1,10004,10004010
072,2007,11,新北市,中和區,F,1,30~34,1,65000,65000030
072,2007,12,台北市,大安區,M,1,35~39,1,63000,63000030
072,2008,01,台中市,大安區,M,0,1,1,66000,66000220
072,2008,02,台北市,北投區,M,1,4,1,63000,63000120
072,2008,02,高雄市,岡山區,F,1,10~14,1,64000,64000190
072,2008,04,新北市,新莊區,F,0,30~34,1,65000,65000050
072,2008,05,台北市,松山區,M,0,65~69,1,63000,63000010
072,2009,05,新北市,蘆洲區,F,1,30~34,1,65000,65000140
072,2009,06,台北市,文山區,F,0,3,1,63000,63000080
072,2009,08,新北市,蘆洲區,M,0,10~14,1,65000,65000140
072,2009,12,新北市,永和區,F,0,25~29,1,65000,65000040
072,2010,03,桃園市,桃園區,M,0,50~54,1,68000,68000010
072,2010,05,台南市,山上區,M,1,25~29,1,67000,67000220
072,2012,05,苗栗縣,竹南鎮,F,1,25~29,1,10005,10005040
072,2013,08,高雄市,鳳山區,M,0,45~49,1,64000,64000120
072,2015,03,高雄市,左營區,M,0,35~39,1,64000,64000030
072,2016,11,台中市,大里區,F,0,30~34,1,66000,66000280
072,2024,09,新竹縣,新豐鄉,F,0,25~29,1,10004,10004060
072,2024,12,新北市,樹林區,M,1,0,1,65000,65000070
