確定病名,診斷年份,診斷月份,縣市,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼
098,2003,01,新竹縣,M,0,30~34,1,10004
098,2003,01,苗栗縣,M,0,20~24,1,10005
098,2003,01,彰化縣,M,0,20~24,1,10007
098,2003,01,雲林縣,M,0,20~24,1,10009
098,2003,01,嘉義縣,M,0,15~19,1,10010
098,2003,01,嘉義縣,M,0,25~29,1,10010
098,2003,01,嘉義縣,M,0,55~59,1,10010
098,2003,01,花蓮縣,M,0,35~39,1,10015
098,2003,01,基隆市,M,0,20~24,2,10017
098,2003,01,新竹市,M,0,20~24,1,10018
098,2003,01,新竹市,M,0,25~29,1,10018
098,2003,01,新竹市,M,0,30~34,2,10018
098,2003,01,台北市,F,0,15~19,1,63000
098,2003,01,台北市,F,0,25~29,1,63000
098,2003,01,台北市,F,0,40~44,1,63000
098,2003,01,台北市,M,0,20~24,5,63000
098,2003,01,台北市,M,0,25~29,3,63000
098,2003,01,台北市,M,0,30~34,5,63000
098,2003,01,台北市,M,0,35~39,4,63000
098,2003,01,台北市,M,0,40~44,4,63000
098,2003,01,台北市,M,0,45~49,1,63000
098,2003,01,高雄市,M,0,20~24,2,64000
098,2003,01,高雄市,M,0,25~29,1,64000
098,2003,01,高雄市,M,0,35~39,1,64000
098,2003,01,高雄市,M,0,50~54,1,64000
098,2003,01,新北市,F,0,15~19,1,65000
098,2003,01,新北市,F,0,20~24,2,65000
098,2003,01,新北市,M,0,20~24,5,65000
098,2003,01,新北市,M,0,25~29,1,65000
098,2003,01,新北市,M,0,30~34,2,65000
098,2003,01,新北市,M,0,35~39,2,65000
098,2003,01,新北市,M,0,45~49,1,65000
098,2003,01,新北市,M,0,50~54,1,65000
098,2003,01,台中市,F,0,55~59,1,66000
098,2003,01,台中市,M,0,25~29,1,66000
098,2003,01,台中市,M,0,30~34,1,66000
098,2003,01,台中市,M,0,35~39,2,66000
098,2003,01,台中市,M,0,45~49,1,66000
098,2003,01,台南市,F,0,50~54,1,67000
098,2003,01,台南市,M,0,15~19,1,67000
098,2003,01,台南市,M,0,20~24,3,67000
098,2003,01,台南市,M,0,35~39,1,67000
098,2003,01,桃園市,M,0,20~24,2,68000
098,2003,01,桃園市,M,0,25~29,1,68000
098,2003,02,宜蘭縣,M,0,20~24,1,10002
098,2003,02,新竹縣,M,0,70+,1,10004
098,2003,02,苗栗縣,F,0,30~34,1,10005
098,2003,02,苗栗縣,F,0,50~54,1,10005
098,2003,02,苗栗縣,M,0,20~24,1,10005
098,2003,02,苗栗縣,M,0,25~29,1,10005
098,2003,02,雲林縣,M,0,20~24,1,10009
098,2003,02,嘉義縣,F,0,25~29,1,10010
098,2003,02,嘉義縣,M,0,20~24,1,10010
098,2003,02,花蓮縣,M,0,25~29,1,10015
098,2003,02,基隆市,M,0,20~24,1,10017
098,2003,02,新竹市,F,0,15~19,1,10018
098,2003,02,新竹市,F,0,20~24,1,10018
098,2003,02,新竹市,M,0,20~24,1,10018
098,2003,02,新竹市,M,0,30~34,1,10018
098,2003,02,台北市,F,0,20~24,1,63000
098,2003,02,台北市,M,0,15~19,2,63000
098,2003,02,台北市,M,0,20~24,7,63000
098,2003,02,台北市,M,0,25~29,11,63000
098,2003,02,台北市,M,0,30~34,4,63000
098,2003,02,台北市,M,0,35~39,2,63000
098,2003,02,台北市,M,0,40~44,1,63000
098,2003,02,高雄市,M,0,15~19,1,64000
098,2003,02,新北市,F,0,15~19,1,65000
098,2003,02,新北市,F,0,20~24,1,65000
098,2003,02,新北市,F,0,60~64,1,65000
098,2003,02,新北市,M,0,1,1,65000
098,2003,02,新北市,M,0,15~19,1,65000
098,2003,02,新北市,M,0,20~24,7,65000
